time v(acsrc) v(acn) i(Vac) v(load) v(vb) i(Lboost) v(vd) v(sw) v(gate) v(q) v(en) v(fault) v(vcomp) v(icomp)
4.86061495241585477e-6 1.56504414083525889e-1 -1.54465474562417993e-1 -6.49991200707411565e-6 1.30882358190114029e-20 6.88854516920956192e-11 4.65521635352145693e-7 1.13768296414540499e-9 1.96425864376994401e-3 1.11522885998131849e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974386089e0 -4.59811855706324528e-288 2.99999996051755291e0
4.95704786124315268e-6 1.59634321578325772e-1 -1.57505094307375443e-1 -6.50573430049927737e-6 1.36772463292362574e-20 7.19855070096575527e-11 4.71872084759229133e-7 1.16265488640014511e-9 2.04687978717114786e-3 1.13248644298163655e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025612756e0 -4.59769557353133215e-288 2.99999997248238692e0
5.08228641715255549e-6 1.63702839827790464e-1 -1.61449013213412734e-1 -6.51439944676646121e-6 1.44602884474142256e-20 7.61067813166404272e-11 4.87862767438935816e-7 1.19595022417899621e-9 2.15673868321098524e-3 1.15944744880665047e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974387954e0 -4.59714629794883979e-288 2.99999998284338032e0
5.21374128624129067e-6 1.67973014404093457e-1 -1.65588978565869516e-1 -6.52500231290709110e-6 1.53073028796220343e-20 8.05647520133180157e-11 5.13566924414215547e-7 1.23874129649510444e-9 2.27706273468921815e-3 1.20232812056514023e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025611246e0 -4.59656982927896674e-288 2.99999998956109604e0
5.31240586639075838e-6 1.71175718693110185e-1 -1.68698576439748255e-1 -6.53371674363967259e-6 1.59637094075274265e-20 8.40195232134764852e-11 5.35112201297968796e-7 1.27793195089149716e-9 2.37163581451140144e-3 1.24480855147959463e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974389819e0 -4.59613720329276482e-288 2.99999999278642093e0
5.42226286418764800e-6 1.74739935036380717e-1 -1.72162723356388075e-1 -6.54375534814288784e-6 1.67193937708406107e-20 8.79968093369331456e-11 5.55707215933024738e-7 1.32603401610693849e-9 2.48116897266733834e-3 1.29581299142688762e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025609204e0 -4.59565554855996454e-288 2.99999999522530336e0
5.55142686185135265e-6 1.78932229645412055e-1 -1.76234002576804050e-1 -6.55572907859447440e-6 1.76425950501496315e-20 9.28557634394827589e-11 5.72092328095673441e-7 1.38176859486386398e-9 2.61431620354601229e-3 1.34957606899435100e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974391507e0 -4.59508930922226705e-288 2.99999999706855647e0
5.70272338030199197e-6 1.83851167290656675e-1 -1.80994618324601925e-1 -6.57043364660214735e-6 1.87679371316739656e-20 9.87786165012625036e-11 5.85342302293297081e-7 1.43950713982952863e-9 2.77437267812003473e-3 1.39755231965042804e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025607783e0 -4.59442613237288384e-288 2.99999999835170428e0
5.82183131839461846e-6 1.87731117764815325e-1 -1.84734879683547848e-1 -6.58326570135425726e-6 1.96834979091289016e-20 1.03597357436151401e-10 5.98676700073213139e-7 1.48047052300512648e-9 2.90326910178187675e-3 1.42939826597729791e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974393017e0 -4.59390411485583601e-288 2.99999999894743485e0
5.96653390996852166e-6 1.92449509790344975e-1 -1.89274176924819959e-1 -6.60126605445121584e-6 2.08301337634393875e-20 1.09632282986300603e-10 6.25970949561172974e-7 1.53423489471340464e-9 3.06523839668048585e-3 1.47774200953561374e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025606184e0 -4.59327000282313003e-288 2.99999999939232609e0
6.11315177080381768e-6 1.97229606373186678e-1 -1.93874302314095276e-1 -6.62223628189462232e-6 2.20369427931451668e-20 1.15983909459643081e-10 6.63364662775263848e-7 1.60135109733289094e-9 3.23802391720008804e-3 1.54721242757052906e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974394527e0 -4.59262758707897662e-288 2.99999999965184694e0
6.22700808094739823e-6 2.00939447013736339e-1 -1.97448685678439539e-1 -6.63996846528291940e-6 2.30117509832747146e-20 1.21114478882352366e-10 6.92755934456586743e-7 1.66265555466144498e-9 3.37915270929589010e-3 1.61247601137980124e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025604674e0 -4.59212878023000689e-288 2.99999999977309528e0
6.37344088105234685e-6 2.05712011097191033e-1 -2.02044501733202125e-1 -6.66390571246733288e-6 2.43200763773427974e-20 1.28000402010334804e-10 7.22898542803264425e-7 1.74521262747438696e-9 3.56862838839161001e-3 1.69535731983591011e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974396125e0 -4.59148733480049042e-288 2.99999999986990451e0
6.52394835465948056e-6 2.10625705427765431e-1 -2.06759872992557159e-1 -6.69020033183809204e-6 2.57282691243740839e-20 1.35411942785591882e-10 7.46734761873431340e-7 1.82603094176681188e-9 3.77079865013088588e-3 1.76844574947877661e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025603253e0 -4.59082813379528399e-288 2.99999999992661692e0
6.63865099717666193e-6 2.14378687192496475e-1 -2.10345258593358120e-1 -6.71212278413602093e-6 2.68422074973207416e-20 1.41274776328530327e-10 7.66373461328666949e-7 1.88407953161386013e-9 3.92942971317379337e-3 1.81792888513266532e-6 0.00000000000000000e0 1.40779337255100529e-19 4.99999999974397635e0 -4.59032581637181566e-288 2.99999999995233013e0
6.78021632113321046e-6 2.19017870325343478e-1 -2.14763044025958194e-1 -6.74272624834326706e-6 2.82650068220422423e-20 1.48763193828487338e-10 8.01225162158705872e-7 1.95921530565885955e-9 4.13226265729306919e-3 1.88655784317027113e-6 0.00000000000000000e0 1.40779337255100529e-19 5.00000000025601654e0 -4.58970593500106647e-288 2.99999999997213251e0
