 time            v(out)          i(Lboost)       v(anode)       
 5.72500000e-07  4.48849505e+02  1.91472393e+01  4.49659684e+02 
 5.77500000e-07  4.49053153e+02  1.91394600e+01  4.49863313e+02 
 5.82500000e-07  4.49256718e+02  1.91316750e+01  4.50066860e+02 
 5.87500000e-07  4.49460200e+02  1.91238844e+01  4.50270324e+02 
 5.92500000e-07  4.49663600e+02  1.91160881e+01  4.50473705e+02 
 5.97500000e-07  4.49866916e+02  1.91082862e+01  4.50677003e+02 
 6.02500000e-07  4.50070150e+02  1.91004786e+01  4.50880218e+02 
 6.07500000e-07  4.50273300e+02  1.90926654e+01  4.51083350e+02 
 6.12500000e-07  4.50476367e+02  1.90848465e+01  4.51286399e+02 
 6.17500000e-07  4.50679351e+02  1.90770220e+01  4.51489364e+02 
 6.22500000e-07  4.50882252e+02  1.90691918e+01  4.51692247e+02 
 6.27500000e-07  4.51085069e+02  1.90613561e+01  4.51895045e+02 
 6.32500000e-07  4.51287803e+02  1.90535147e+01  4.52097761e+02 
 6.37500000e-07  4.51490453e+02  1.90456676e+01  4.52300393e+02 
 6.42500000e-07  4.51693020e+02  1.90378149e+01  4.52502941e+02 
 6.47500000e-07  4.51895504e+02  1.90299567e+01  4.52705406e+02 
 6.52500000e-07  4.52097903e+02  1.90220927e+01  4.52907787e+02 
 6.57500000e-07  4.52300219e+02  1.90142232e+01  4.53110085e+02 
 6.62500000e-07  4.52502452e+02  1.90063481e+01  4.53312298e+02 
 6.67500000e-07  4.52704600e+02  1.89984673e+01  4.53514428e+02 
 6.72500000e-07  4.52906665e+02  1.89905809e+01  4.53716474e+02 
 6.77500000e-07  4.53108646e+02  1.89826889e+01  4.53918436e+02 
 6.82500000e-07  4.53310542e+02  1.89747913e+01  4.54120315e+02 
 6.87500000e-07  4.53512355e+02  1.89668881e+01  4.54322108e+02 
 6.92500000e-07  4.53714084e+02  1.89589793e+01  4.54523818e+02 
 6.97500000e-07  4.53915728e+02  1.89510649e+01  4.54725444e+02 
 7.02500000e-07  4.54117288e+02  1.89431448e+01  4.54926985e+02 
 7.07500000e-07  4.54318764e+02  1.89352192e+01  4.55128443e+02 
 7.12500000e-07  4.54520155e+02  1.89272880e+01  4.55329815e+02 
 7.17500000e-07  4.54721463e+02  1.89193512e+01  4.55531104e+02 
 7.22500000e-07  4.54922685e+02  1.89114088e+01  4.55732308e+02 
 7.27500000e-07  4.55123823e+02  1.89034609e+01  4.55933427e+02 
 7.32500000e-07  4.55324877e+02  1.88955073e+01  4.56134462e+02 
 7.37500000e-07  4.55525846e+02  1.88875481e+01  4.56335412e+02 
 7.42500000e-07  4.55726730e+02  1.88795834e+01  4.56536277e+02 
 7.47500000e-07  4.55927529e+02  1.88716131e+01  4.56737057e+02 
 7.52500000e-07  4.56128244e+02  1.88636372e+01  4.56937753e+02 
 7.57500000e-07  4.56328874e+02  1.88556558e+01  4.57138364e+02 
 7.62500000e-07  4.56529419e+02  1.88476687e+01  4.57338890e+02 
 7.67500000e-07  4.56729878e+02  1.88396761e+01  4.57539331e+02 
 7.72500000e-07  4.56930253e+02  1.88316780e+01  4.57739686e+02 
 7.77500000e-07  4.57130543e+02  1.88236743e+01  4.57939957e+02 
 7.82500000e-07  4.57330747e+02  1.88156650e+01  4.58140142e+02 
 7.87500000e-07  4.57530866e+02  1.88076501e+01  4.58340243e+02 
 7.92500000e-07  4.57730900e+02  1.87996297e+01  4.58540257e+02 
 7.97500000e-07  4.57930849e+02  1.87916038e+01  4.58740187e+02 
 8.02500000e-07  4.58130712e+02  1.87835722e+01  4.58940031e+02 
 8.07500000e-07  4.58330490e+02  1.87755352e+01  4.59139790e+02 
 8.12500000e-07  4.58530182e+02  1.87674926e+01  4.59339463e+02 
 8.17500000e-07  4.58729788e+02  1.87594444e+01  4.59539050e+02 
 8.22500000e-07  4.58929309e+02  1.87513907e+01  4.59738552e+02 
 8.27500000e-07  4.59128744e+02  1.87433315e+01  4.59937968e+02 
 8.32500000e-07  4.59328094e+02  1.87352667e+01  4.60137298e+02 
 8.37500000e-07  4.59527357e+02  1.87271964e+01  4.60336542e+02 
 8.42500000e-07  4.59726535e+02  1.87191205e+01  4.60535701e+02 
 8.47500000e-07  4.59925627e+02  1.87110392e+01  4.60734773e+02 
 8.52500000e-07  4.60124633e+02  1.87029523e+01  4.60933760e+02 
 8.57500000e-07  4.60323552e+02  1.86948598e+01  4.61132660e+02 
 8.62500000e-07  4.60522386e+02  1.86867619e+01  4.61331474e+02 
 8.67500000e-07  4.60721133e+02  1.86786584e+01  4.61530202e+02 
 8.72500000e-07  4.60919794e+02  1.86705494e+01  4.61728844e+02 
 8.77500000e-07  4.61118369e+02  1.86624349e+01  4.61927400e+02 
 8.82500000e-07  4.61316858e+02  1.86543149e+01  4.62125869e+02 
 8.87500000e-07  4.61515260e+02  1.86461893e+01  4.62324251e+02 
 8.92500000e-07  4.61713575e+02  1.86380583e+01  4.62522548e+02 
 8.97500000e-07  4.61911804e+02  1.86299217e+01  4.62720757e+02 
 9.02500000e-07  4.62109947e+02  1.86217796e+01  4.62918880e+02 
 9.07500000e-07  4.62308003e+02  1.86136321e+01  4.63116917e+02 
 9.12500000e-07  4.62505972e+02  1.86054790e+01  4.63314866e+02 
 9.17500000e-07  4.62703854e+02  1.85973205e+01  4.63512729e+02 
 9.22500000e-07  4.62901650e+02  1.85891564e+01  4.63710505e+02 
 9.27500000e-07  4.63099358e+02  1.85809869e+01  4.63908194e+02 
 9.32500000e-07  4.63296980e+02  1.85728118e+01  4.64105796e+02 
 9.37500000e-07  4.63494515e+02  1.85646313e+01  4.64303312e+02 
 9.42500000e-07  4.63691962e+02  1.85564453e+01  4.64500740e+02 
 9.47500000e-07  4.63889323e+02  1.85482538e+01  4.64698081e+02 
 9.52500000e-07  4.64086596e+02  1.85400568e+01  4.64895334e+02 
 9.57500000e-07  4.64283782e+02  1.85318544e+01  4.65092501e+02 
 9.62500000e-07  4.64480881e+02  1.85236464e+01  4.65289580e+02 
 9.67500000e-07  4.64677893e+02  1.85154330e+01  4.65486572e+02 
 9.72500000e-07  4.64874817e+02  1.85072142e+01  4.65683476e+02 
 9.77500000e-07  4.65071653e+02  1.84989898e+01  4.65880293e+02 
 9.82500000e-07  4.65268403e+02  1.84907600e+01  4.66077022e+02 
 9.87500000e-07  4.65465064e+02  1.84825248e+01  4.66273664e+02 
 9.92500000e-07  4.65661638e+02  1.84742840e+01  4.66470218e+02 
 9.97500000e-07  4.65858124e+02  1.84660378e+01  4.66666685e+02 
 1.00250000e-06  4.66054523e+02  1.84577862e+01  4.66863063e+02 
 1.00750000e-06  4.66250833e+02  1.84495291e+01  4.67059354e+02 
