time v(acsrc) v(acn) i(Vac) v(load) v(vb) i(Lboost) v(vd) v(sw) v(gate) v(q) v(en) v(fault) v(vcomp) v(icomp) v(xu.raw) v(xu.pwm_hold) v(pwm) v(pwm_input) v(xdriver.driver_req) v(xdriver.drv_delay) v(xu.phase) v(xu.blank) v(isense) v(xu.ov) v(xu.fault) v(xu.pcl_hold) v(xu.pcl_request) v(disable) v(xu.m1) v(xu.m2) v(acsrc,acn) i(Vchannel) i(Vbody) v(f2ctl) v(standby_req) v(arm) v(permit) i(Vf2sense) i(Vdboost1sense) i(Vdboost2sense) v(fault_inject)
2.94382854655513182e-7 9.46449364852855815e-3 -9.36938960899911730e-3 -6.39834397713617831e-6 3.61417008427124756e-24 1.90219478155681070e-14 1.80123570423402892e-8 9.96824224630400721e-12 2.66635395605862130e-6 1.68357163238695571e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999952152430538e0 -1.26276039335470081e-289 1.99171688951586234e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.62244461647920553e-43 1.16471965210811940e-9 2.94382854655513182e-7 0.00000000000000000e0 -5.10502938786605618e-11 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 8.08681773424343346e-4 6.80000000000000049e-2 0.00000000000000000e0 1.88338832575276754e-2 2.66635395605861876e-18 -3.30617131055429472e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 6.63281353232562716e-10 1.48352447082660233e-9 1.48352447082660026e-9 0.00000000000000000e0
3.12903645697765721e-7 1.00580248689251025e-2 -9.96077255476550752e-3 -6.39840033238303629e-6 4.77659074586757489e-24 2.51399512988164593e-14 2.08521041713491309e-8 1.22702978252785093e-11 3.32505666413944499e-6 2.05091733635415158e-8 0.00000000000000000e0 6.77700898058125211e-20 5.00000047837236750e0 -1.26273808251520690e-289 2.05858709775237703e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.72451903163018998e-43 1.43874932406818932e-9 3.12903645697765721e-7 0.00000000000000000e0 -6.26018345909474403e-11 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 8.64208005956415472e-4 6.80000000000000049e-2 0.00000000000000000e0 2.00187974236906083e-2 3.32505666413944197e-18 -3.82807031543938183e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 8.16343858265312843e-10 1.71734398425742492e-9 1.71734398425742286e-9 0.00000000000000000e0
3.31768763898933010e-7 1.06624948195776243e-2 -1.05632459648641232e-2 -6.39846138162508682e-6 6.22399393271389088e-24 3.27578628099813155e-14 2.38867902855033869e-8 1.49191902041532509e-11 4.09739125430785558e-6 2.46745312957126819e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999952172905182e0 -1.26271535729182576e-289 2.12214399224659633e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.82849115154371202e-43 1.75333619092822988e-9 3.31768763898933010e-7 0.00000000000000000e0 -7.58217561306162086e-11 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 9.20774952848426426e-4 6.80000000000000049e-2 0.00000000000000000e0 2.12257407844417476e-2 4.09739125430785105e-18 -4.38590213131640994e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 9.92428822756218090e-10 1.96720357086133859e-9 1.96720357086134025e-9 0.00000000000000000e0
3.50518818803272570e-7 1.12631704090655951e-2 -1.11621522713992137e-2 -6.39852543021096620e-6 7.95785266991766006e-24 4.18834351127876472e-14 2.70133235760492789e-8 1.78564846400855797e-11 4.97069529984910956e-6 2.92243769930249039e-8 0.00000000000000000e0 6.77700898058125211e-20 5.00000047816892756e0 -1.26269277108104768e-289 2.18106066956593381e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.93182911826678700e-43 2.10094978210592255e-9 3.50518818803272570e-7 0.00000000000000000e0 -9.03990865898804294e-11 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 9.77003363086814463e-4 6.80000000000000049e-2 0.00000000000000000e0 2.24253226804648070e-2 4.97069529984910482e-18 -4.96090770636497782e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.18764008033151950e-9 2.22460477535899496e-9 2.22460477535900365e-9 0.00000000000000000e0
3.68811621029488005e-7 1.18490858610888327e-2 -1.17465648248036413e-2 -6.39859130384390351e-6 9.96348725968544709e-24 5.24394066398868975e-14 3.01368274427763831e-8 2.10105381384499018e-11 5.92728475832395280e-6 3.40363206181935869e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999952193561903e0 -1.26267073606387405e-289 2.23472675713562285e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.03264700906063887e-43 2.47252597562036178e-9 3.68811621029488005e-7 0.00000000000000000e0 -1.05963473363305515e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.03186535197268567e-3 6.80000000000000049e-2 0.00000000000000000e0 2.35956506858924740e-2 5.92728475832394719e-18 -5.53551158285274444e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.39720658212066780e-9 2.48174386079197868e-9 2.48174386079197786e-9 0.00000000000000000e0
3.87283043130818083e-7 1.24406054368635909e-2 -1.23368009088288284e-2 -6.39866087817630991e-6 1.23332079494070078e-23 6.49116207986858805e-14 3.33296054022585253e-8 2.44753503419702461e-11 6.99993047421731551e-6 3.92408403923690099e-8 0.00000000000000000e0 6.77700898058125211e-20 5.00000047796086733e0 -1.26264848627644251e-289 2.28534952683300174e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.13444933508973979e-43 2.87846274220527903e-9 3.87283043130818083e-7 0.00000000000000000e0 -1.22961822510617131e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.08726676032380731e-3 6.80000000000000049e-2 0.00000000000000000e0 2.47774063456924210e-2 6.99993047421730982e-18 -6.12320081723401344e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.62736258141143727e-9 2.74456352938514516e-9 2.74456352938515261e-9 0.00000000000000000e0
4.05631154659201238e-7 1.30280578527482097e-2 -1.29232150476898729e-2 -6.39873306951949106e-6 1.50577879897556075e-23 7.92515157506136233e-14 3.65049046534864589e-8 2.81820861740278622e-11 8.17228034057154811e-6 4.47199969436316400e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999952214331955e0 -1.26262638541140790e-289 2.33231838484377407e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.23557205436841781e-43 3.30992797848302692e-9 4.05631154659201238e-7 0.00000000000000000e0 -1.41037180784052668e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.14230119474789606e-3 6.80000000000000049e-2 0.00000000000000000e0 2.59512729004380827e-2 8.17228034057153954e-18 -6.70789191452813165e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.87352231055181685e-9 3.00592932630068482e-9 3.00592932630069268e-9 0.00000000000000000e0
4.24130761447630054e-7 1.36202426394748041e-2 -1.35145891045106818e-2 -6.39880853690877327e-6 1.82056867334977970e-23 9.58194038787204193e-14 3.96748537097664397e-8 3.21687516608676592e-11 9.46166264406902047e-6 5.05154061211270777e-8 0.00000000000000000e0 6.77700898058125211e-20 5.00000047775336842e0 -1.26260410245757664e-289 2.37655063564617164e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.33752971584972881e-43 3.77051567893630375e-9 4.24130761447630054e-7 0.00000000000000000e0 -1.60355189138998846e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.19779227721450053e-3 6.80000000000000049e-2 0.00000000000000000e0 2.71348317439854859e-2 9.46166264406901086e-18 -7.29201036864772226e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.13819548379926252e-9 3.26682990813490851e-9 3.26682990813489858e-9 0.00000000000000000e0
4.42510648233834011e-7 1.42084822214943295e-2 -1.41022489766697619e-2 -6.39888608863076191e-6 2.17561666885197021e-23 1.14506140487649348e-13 4.27585944552549724e-8 3.63555728432758484e-11 1.08478109422331998e-5 5.64968924451832835e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999952235059286e0 -1.26258196409733528e-289 2.41759412236524707e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.43882755944415162e-43 4.25014628690855439e-9 4.42510648233834011e-7 0.00000000000000000e0 -1.80509670885117747e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.25292598078376128e-3 6.80000000000000049e-2 0.00000000000000000e0 2.83107311981640915e-2 1.08478109422331898e-17 -7.86054180495722541e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.41607111351921354e-9 3.52061743169009307e-9 3.52061743169009389e-9 0.00000000000000000e0
4.60987785065415361e-7 1.47997285158995955e-2 -1.46931239511599691e-2 -6.39896614828411314e-6 2.57725052346521495e-23 1.35644764418678564e-13 4.57594355666321491e-8 4.07656395129681871e-11 1.23440931709068577e-5 6.26838652402057530e-8 0.00000000000000000e0 6.77700898058125211e-20 5.00000047754601518e0 -1.26255970899205827e-289 2.45613175401701467e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.54066138130660035e-43 4.75057755063893498e-9 4.60987785065415361e-7 0.00000000000000000e0 -2.01592539311475814e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.30835274978493318e-3 6.80000000000000049e-2 0.00000000000000000e0 2.94928524670595646e-2 1.23440931709068453e-17 -8.41428630539547405e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.70866631656996744e-9 3.76755502433321491e-9 3.76755502433321574e-9 0.00000000000000000e0
4.79378552700136718e-7 1.53881163763316519e-2 -1.52813316717539810e-2 -6.39904772684052325e-6 3.02342520557905735e-23 1.59127642429132010e-13 4.86167821274397146e-8 4.53264642669902247e-11 1.39318834513299741e-5 6.89614316414433533e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999952255784041e0 -1.26253755830543964e-289 2.49195668206209886e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.64201919297939649e-43 5.26267666802257069e-9 4.79378552700136718e-7 0.00000000000000000e0 -2.23238133473561855e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.36352147287456668e-3 6.80000000000000049e-2 0.00000000000000000e0 3.06694480480856346e-2 1.39318834513299632e-17 -8.94194498945966064e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 3.01115577497073938e-9 4.00266398048046482e-9 4.00266398048044745e-9 0.00000000000000000e0
4.97842835338732476e-7 1.59787745273114769e-2 -1.58719724074564833e-2 -6.39913102262745781e-6 3.51957599069562686e-23 1.85240841650755085e-13 5.13275727727186413e-8 5.00458142073138906e-11 1.56200097116822195e-5 7.53278727396397146e-8 0.00000000000000000e0 6.77700898058125211e-20 5.00000047733874009e0 -1.26251531946517599e-289 2.52555115070290181e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.74378217098705303e-43 5.78640525090936495e-9 4.97842835338732476e-7 0.00000000000000000e0 -2.45464800840781921e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.41891153522292124e-3 6.80000000000000049e-2 0.00000000000000000e0 3.18507469347679567e-2 1.56200097116822043e-17 -9.44313936197866583e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 3.32403822437754233e-9 4.22568373953772799e-9 4.22568373953774122e-9 0.00000000000000000e0
5.00000000000000083e-7 1.60477757564283854e-2 -1.59409812088820747e-2 -6.39914104588745758e-6 3.58074271445451836e-23 1.88460142901834722e-13 5.16329920545192564e-8 5.06051430117691527e-11 1.58231796147838590e-5 7.60737542925794119e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999952354556232e0 -1.26251272134809323e-289 2.52932667690819413e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.75567104337273658e-43 5.84805125881787134e-9 5.00000000000000083e-7 0.00000000000000000e0 -2.48087514480117980e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.42538274926917860e-3 6.80000000000000049e-2 0.00000000000000000e0 3.19887569653104636e-2 1.58231796147838415e-17 -9.49960245882576615e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 3.36111219125782141e-9 4.25081141321275254e-9 4.25081141321301228e-9 0.00000000000000000e0
5.01840199131880839e-7 1.61066363294357154e-2 -1.59998520000677220e-2 -6.39914844872968569e-6 3.63370651319363786e-23 1.91247711257054839e-13 5.18905651560483917e-8 5.10838880974872887e-11 1.59978767295287615e-5 7.67100005749419334e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999999974122655e0 -1.26251050499457866e-289 2.53251285997942110e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.76581301029626467e-43 5.90070576959713695e-9 5.01840199131880839e-7 0.00000000000000000e0 -2.50329443753954163e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.43090311721599415e-3 6.80000000000000049e-2 0.00000000000000000e0 3.21064883295034409e-2 1.59978767295287471e-17 -9.54728230063219108e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 3.39284269241534901e-9 4.27199940105099661e-9 4.27199940105094449e-9 0.00000000000000000e0
5.05520597395642351e-7 1.62243580107672945e-2 -1.61175930470756554e-2 -6.39916648149940759e-6 3.74062667520486917e-23 1.96875088206083604e-13 5.24019218743176383e-8 5.20432878587788404e-11 1.63489911617607763e-5 7.79822635674024013e-8 0.00000000000000000e0 6.77700898058125211e-20 5.00000000025849367e0 -1.26250607229533598e-289 2.53884208893068353e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.78609694414331846e-43 6.00608373631786642e-9 5.05520597395642351e-7 0.00000000000000000e0 -2.54818515973723110e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.44194386444489522e-3 6.80000000000000049e-2 0.00000000000000000e0 3.23419510578429464e-2 1.63489911617607615e-17 -9.64191296216673918e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 3.45642751803818395e-9 4.31406512745463724e-9 4.31406512745461408e-9 0.00000000000000000e0
5.12881393923165481e-7 1.64597945018747395e-2 -1.63530820124597985e-2 -6.39919970750468803e-6 3.96044383364561636e-23 2.08444412336742159e-13 5.34014101715888982e-8 5.39727056660795624e-11 1.70613846943677525e-5 8.05240486102349895e-8 0.00000000000000000e0 6.77700898058125211e-20 4.99999999974164755e0 -1.26249720694357099e-289 2.55124520428703860e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 2.82666481183742605e-43 6.21714009883131987e-9 5.12881393923165481e-7 0.00000000000000000e0 -2.63823609725947854e-10 4.99999999499999936e-9 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 1.46402542363853320e-3 6.80000000000000049e-2 0.00000000000000000e0 3.28128765143345380e-2 1.70613846943677372e-17 -9.82695467640773268e-11 5.00000000000000000e0 5.00000000000000000e0 0.00000000000000000e0 0.00000000000000000e0 3.58428408358285458e-9 4.39628250436502301e-9 4.39628250436505940e-9 0.00000000000000000e0
