role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	17	25506359	5.56795896457760287e-1	9.29459643711359718e1	3.82148090061850837e2	3.82084614579755623e2	3.83376588278216389e2	-3.19194914306386200e-6	3.79767819645537186e0	3.83376588278215989e-10	1.38570423731447951e-9	-3.79768796458722591e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	17	25506360	5.56795896457760398e-1	9.29459643711279142e1	3.82148090061849473e2	3.82084614579755680e2	3.83376588278213092e2	-3.19194917311623861e-6	3.79767819636044823e0	3.83376588278212783e-10	1.41737410894031003e-9	-3.79768796453134883e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	18	26061970	5.68236036691927571e-1	9.46485318420818373e1	3.80210834333698699e2	3.80142455766257399e2	3.81445745051576068e2	-8.47207132630430179e-6	4.13275410714956148e0	3.81445745051575672e-10	1.31311604577268055e-9	-4.13276584050259999e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	18	26061971	5.68236036691927682e-1	9.46485318420858448e1	3.80210834333696369e2	3.80142455766257569e2	3.81445745051570839e2	-8.47207136931497636e-6	4.13275410699328827e0	3.81445745051570450e-10	1.35634889105528434e-9	-4.13276584036441363e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	18	26061972	5.68236036691927682e-1	9.46485318420858448e1	3.80210834333695175e2	3.80142455766257683e2	3.81445745051568167e2	-8.47207139079157636e-6	4.13275410691086176e0	3.81445745051567814e-10	1.38309394225753244e-9	-4.13276584020132987e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	18	26061973	5.68236036691927793e-1	9.46485318420938597e1	3.80210834333693583e2	3.80142455766257797e2	3.81445745051564700e2	-8.47207141841478275e-6	4.13275410680398636e0	3.81445745051564350e-10	1.40331307032594474e-9	-4.13276584006484882e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	19	26063153	5.68259276877527197e-1	9.58790098679537408e1	3.80203857136994202e2	3.80134488683515428e2	3.81440046859345330e2	-9.37138823438624624e-6	4.20118644488291171e0	3.81440046859344979e-10	1.26601765329311315e-9	-4.20119804754574488e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	19	26063154	5.68259276877527308e-1	9.58790098679616989e1	3.80203857136992269e2	3.80134488683515599e2	3.81440046859340953e2	-9.37138826779679677e-6	4.20118644474338510e0	3.81440046859340533e-10	1.28178786752042147e-9	-4.20119804732848934e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	19	26063155	5.68259276877527308e-1	9.58790098679616847e1	3.80203857136991303e2	3.80134488683515656e2	3.81440046859338736e2	-9.37138828427542296e-6	4.20118644467158653e0	3.81440046859338310e-10	1.29929279091445291e-9	-4.20119804725436552e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	19	26063156	5.68259276877527419e-1	9.58790098679656779e1	3.80203857136989996e2	3.80134488683515713e2	3.81440046859335894e2	-9.37138830657957923e-6	4.20118644458052426e0	3.81440046859335518e-10	1.34219389834819280e-9	-4.20119804712908262e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
