 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(gate)                 
 1.00217736585353590e-06  5.00000000000000000e+00  8.78329267679899939e-01  0.00000000000000000e+00  2.63498780303970026e+00  6.82831253347214925e-07 
 1.00218763906540647e-06  5.00000000000000000e+00  9.29695327032751706e-01  0.00000000000000000e+00  2.78908598109825512e+00  1.91603125078405226e-06 
 1.00220818548914761e-06  5.00000000000000000e+00  1.03242744573845524e+00  0.00000000000000000e+00  3.09728233721536572e+00  6.28412196745750480e-06 
 1.00224927833663010e-06  5.00000000000000000e+00  1.23789168315092102e+00  0.00000000000000000e+00  3.71367504945276306e+00  2.26142416396326779e-05 
 1.00233146403159509e-06  5.00000000000000000e+00  1.64882015797585257e+00  0.00000000000000000e+00  4.94646047392755772e+00  8.55479187613043129e-05 
 1.00249583542152506e-06  5.00000000000000000e+00  2.47067710762571568e+00  0.00000000000000000e+00  7.41203132287714705e+00  3.31694991709390009e-04 
 1.00269521503256170e-06  5.00000000000000000e+00  3.46757516280889933e+00  9.96898055183509694e-05  1.04027254884266966e+01  8.43530271761757191e-04 
 1.00289282959764558e-06  5.00000000000000000e+00  4.45564798822832397e+00  2.97304370602257024e-04  1.33669439646849728e+01  1.57879364596492933e-03 
 1.00308826895262321e-06  5.00000000000000000e+00  5.00000000000000000e+00  4.92743725579863250e-04  1.50000000000000000e+01  2.52628774917135852e-03 
 1.00332860919334449e-06  5.00000000000000000e+00  5.00000000000000000e+00  7.33083966301121301e-04  1.50000000000000000e+01  3.98754478568273587e-03 
 1.00380928967478705e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.21376444774363729e-03  1.50000000000000000e+01  7.86824151724760390e-03 
 1.00456959517258446e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.97406994554114208e-03  1.50000000000000000e+01  1.65304476475134875e-02 
 1.00549835971988041e-06  5.00000000000000000e+00  5.00000000000000000e+00  2.90283449283708188e-03  1.50000000000000000e+01  3.11171448173308482e-02 
 1.00669454843798481e-06  5.00000000000000000e+00  5.00000000000000000e+00  4.09902321094144685e-03  1.50000000000000000e+01  5.59841152051051422e-02 
 1.00811300654518459e-06  5.00000000000000000e+00  5.00000000000000000e+00  5.51748131814118296e-03  1.50000000000000000e+01  9.36713918224755665e-02 
 1.00987361390185287e-06  5.00000000000000000e+00  5.00000000000000000e+00  7.27808867480955485e-03  1.50000000000000000e+01  1.51644013842446690e-01 
 1.01194502324326887e-06  5.00000000000000000e+00  5.00000000000000000e+00  9.34949801622565746e-03  1.50000000000000000e+01  2.33933862450521252e-01 
 1.01445512133547897e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.18595961084357413e-02  1.50000000000000000e+01  3.51224645020902337e-01 
 1.01739683791452565e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.48013126874823198e-02  1.50000000000000000e+01  5.09159788291439042e-01 
 1.02092273142462695e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.83272061975836252e-02  1.50000000000000000e+01  7.21723853487389655e-01 
 1.02506937967756106e-06  5.00000000000000000e+00  5.00000000000000000e+00  2.24738544505177391e-02  1.50000000000000000e+01  9.96302861136173612e-01 
 1.03004446064904049e-06  5.00000000000000000e+00  5.00000000000000000e+00  2.74489354219970907e-02  1.50000000000000000e+01  1.35017533115118060e+00 
 1.03597181270750834e-06  5.00000000000000000e+00  5.00000000000000000e+00  3.33762874804650403e-02  1.50000000000000000e+01  1.79303481277916954e+00 
 1.04290712247535172e-06  5.00000000000000000e+00  5.00000000000000000e+00  4.03115972483084131e-02  1.50000000000000000e+01  2.32470491161430326e+00 
 1.05063469149038496e-06  5.00000000000000000e+00  5.00000000000000000e+00  4.80391662633415720e-02  1.50000000000000000e+01  2.91866514934867816e+00 
 1.05961805844186792e-06  5.00000000000000000e+00  5.00000000000000000e+00  5.70225332148246375e-02  1.50000000000000000e+01  3.59622336145433374e+00 
 1.06999915755634409e-06  5.00000000000000000e+00  5.00000000000000000e+00  6.74036323293007583e-02  1.50000000000000000e+01  4.34917888405816822e+00 
 1.08253471134860153e-06  5.00000000000000000e+00  5.00000000000000000e+00  7.99391861215582866e-02  1.50000000000000000e+01  5.20543359429684838e+00 
 1.09775201475678783e-06  5.00000000000000000e+00  5.00000000000000000e+00  9.51564895297444951e-02  1.50000000000000000e+01  6.16194773754314618e+00 
 1.11725099816904088e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.14655472941997544e-01  1.50000000000000000e+01  7.25825037174923882e+00 
 1.14306492441421683e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.40469399187173521e-01  1.50000000000000000e+01  8.50703085870442344e+00 
 1.18023652364054132e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.77640998413497925e-01  1.50000000000000000e+01  9.96383997470877070e+00 
 1.19999999999999973e-06  5.00000000000000000e+00  5.00000000000000000e+00  1.97404474772956334e-01  1.50000000000000000e+01  1.05976047537662605e+01 
