type,rule,actual,required,itemA,netA,domA,itemB,netB,domB,crossing
clearance,Default routing,0.116,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 1.8385 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 5.5000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_RESET_N] on F.Cu, length 18.9000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.3000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [power_in.bypass_relay-coil2] on F.Cu, length 1.8385 mm",power_in.bypass_relay-coil2,SELV,"Track [RTD_SDI] on F.Cu, length 16.0000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.2828 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.3000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.1595,0.2,"Track [WDT_RESET_N] on F.Cu, length 1.2000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.3000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.0975,0.2,"Track [power_in.ntc-no] on F.Cu, length 3.5355 mm",power_in.ntc-no,HV,Pad 1 [+3V3] of R77 on F.Cu,+3V3,SELV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_RESET_N] on F.Cu, length 5.2326 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.8000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_RESET_N] on F.Cu, length 5.2326 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.4142 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_RESET_N] on F.Cu, length 5.2326 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.6000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [power_in.ntc-no] on F.Cu, length 3.5355 mm",power_in.ntc-no,HV,"Track [WDT_RESET_N] on F.Cu, length 13.1000 mm",WDT_RESET_N,SELV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_RESET_N] on F.Cu, length 18.9000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 0.1414 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.121,0.2,"Track [power_in.ntc-no] on F.Cu, length 0.5000 mm",power_in.ntc-no,HV,Pad 2 [i2c_sda_ui] of R77 on F.Cu,i2c_sda_ui,SELV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_RESET_N] on F.Cu, length 13.1000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.8000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.191,0.2,"Track [power_in.ntc-no] on F.Cu, length 0.8000 mm",power_in.ntc-no,HV,Pad 2 [i2c_sda_ui] of R77 on F.Cu,i2c_sda_ui,SELV,HV-SELV
clearance,Default routing,0.121,0.2,"Track [WDT_RESET_N] on F.Cu, length 18.9000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 8.2000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_RESET_N] on F.Cu, length 13.1000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 1.4142 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.1305,0.2,"Track [power_in.ntc-no] on F.Cu, length 3.5355 mm",power_in.ntc-no,HV,Pad 2 [i2c_sda_ui] of R77 on F.Cu,i2c_sda_ui,SELV,HV-SELV
clearance,Default routing,0.0698,0.2,"Track [power_in.ntc-no] on F.Cu, length 22.9103 mm",power_in.ntc-no,HV,Pad 14 [+3V3] of U25 on F.Cu,+3V3,SELV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [WDT_RESET_N] on F.Cu, length 18.9000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 12.1622 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.2828 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 12.1622 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [WDT_RESET_N] on F.Cu, length 1.2000 mm",WDT_RESET_N,SELV,"Track [power_in.ntc-no] on F.Cu, length 12.1622 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 1.2728 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 1.8385 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 1.8385 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 1.2728 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 4.4000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.2828 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [cs_n] on F.Cu, length 4.4000 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 4.4000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 1.2728 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 1.8385 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 4.4000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 1.2728 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.2828 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.2828 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.4243 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 2.2000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.4243 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.2828 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [cs_n] on F.Cu, length 2.2000 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 2.2000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.2828 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.2828 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [cs_n] on F.Cu, length 2.2000 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.8485 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.2828 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.2828 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.2828 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1623,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.2000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.1623,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.2000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 1.3000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.8485 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1414 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.8485 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1623,0.2,"Track [WDT_RESET_N] on F.Cu, length 16.5463 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1623,0.2,"Track [WDT_RESET_N] on F.Cu, length 16.5463 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 1.3000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [WDT_RESET_N] on F.Cu, length 0.4243 mm",WDT_RESET_N,SELV,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1972,0.2,"Track [cs_n] on F.Cu, length 0.1414 mm",cs_n,SELV,"Track [WDT_RESET_N] on F.Cu, length 0.1000 mm",WDT_RESET_N,SELV,SELV-SELV
clearance,Default routing,0.19,0.2,"Track [ina] on B.Cu, length 65.3000 mm",ina,SELV,Via [RTD_SDI] on F.Cu - B.Cu,RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.175,0.2,"Track [ina] on B.Cu, length 65.3000 mm",ina,SELV,Via [sw] on F.Cu - B.Cu,sw,SELV,SELV-SELV
clearance,Default routing,0.01,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.4000 mm",discharge.k_dis1-nc,HV,Via [ina] on F.Cu - B.Cu,ina,SELV,HV-SELV
clearance,Default routing,0.0089,0.2,Via [ina] on F.Cu - B.Cu,ina,SELV,"Track [RTD_SDI] on F.Cu, length 0.2828 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.014,0.2,Via [ina] on F.Cu - B.Cu,ina,SELV,"Track [RTD_SDI] on F.Cu, length 9.0000 mm",RTD_SDI,SELV,SELV-SELV
clearance,Default routing,0.005,0.2,Pad 3 [safety.coil_thermal.comp-inp] of U19 on F.Cu,safety.coil_thermal.comp-inp,SELV,"Track [safety.uvlo_logic-line] on F.Cu, length 0.4000 mm",safety.uvlo_logic-line,SELV,SELV-SELV
clearance,Default routing,0.005,0.2,Pad 3 [safety.coil_thermal.comp-inp] of U19 on F.Cu,safety.coil_thermal.comp-inp,SELV,"Track [safety.uvlo_logic-line] on F.Cu, length 3.9598 mm",safety.uvlo_logic-line,SELV,SELV-SELV
clearance,Default routing,0.1077,0.2,Pad 1 [+170V_BUS] of C14 on F.Cu,+170V_BUS,HV,"Track [safety.uvlo_logic-line] on F.Cu, length 0.4243 mm",safety.uvlo_logic-line,SELV,HV-SELV
clearance,Default routing,0.0458,0.2,"Track [i2c_scl_ui] on B.Cu, length 0.5657 mm",i2c_scl_ui,SELV,PTH pad 6 [+3V3] of U3,+3V3,SELV,SELV-SELV
clearance,Default routing,0.0458,0.2,"Track [i2c_scl_ui] on B.Cu, length 23.2000 mm",i2c_scl_ui,SELV,PTH pad 6 [+3V3] of U3,+3V3,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 4.7000 mm",WDT_RESET_N,SELV,"Track [safety.uvlo_logic-line] on F.Cu, length 0.0335 mm",safety.uvlo_logic-line,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [WDT_RESET_N] on F.Cu, length 4.7000 mm",WDT_RESET_N,SELV,"Track [safety.uvlo_logic-line] on F.Cu, length 0.2828 mm",safety.uvlo_logic-line,SELV,SELV-SELV
clearance,Default routing,0.1628,0.2,"Track [discharge.k_dis1-coil1] on B.Cu, length 3.8184 mm",discharge.k_dis1-coil1,SELV,"Track [cs_n] on B.Cu, length 0.0548 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [discharge.k_dis1-coil1] on B.Cu, length 1.9000 mm",discharge.k_dis1-coil1,SELV,"Track [cs_n] on B.Cu, length 1.9000 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.0851,0.2,"Track [discharge.k_dis1-coil1] on B.Cu, length 1.9000 mm",discharge.k_dis1-coil1,SELV,"Track [cs_n] on B.Cu, length 0.0548 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [cs_n] on B.Cu, length 0.1414 mm",cs_n,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 61.0000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [cs_n] on B.Cu, length 0.1000 mm",cs_n,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.6000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.045,0.2,PTH pad 2 [PWR_RTN] of C7,PWR_RTN,HV,"Track [cs_n] on B.Cu, length 20.7000 mm",cs_n,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [cs_n] on B.Cu, length 0.1000 mm",cs_n,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 61.0000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [cs_n] on B.Cu, length 0.0250 mm",cs_n,SELV,"Track [discharge.k_dis1-coil1] on B.Cu, length 0.6000 mm",discharge.k_dis1-coil1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [discharge.k_dis1-coil1] on B.Cu, length 61.0000 mm",discharge.k_dis1-coil1,SELV,"Track [cs_n] on B.Cu, length 0.0250 mm",cs_n,SELV,SELV-SELV
clearance,Default routing,0.1623,0.2,"Track [rtd_pan.rail_monitor-outa] on F.Cu, length 0.7071 mm",rtd_pan.rail_monitor-outa,SELV,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.0459 mm",discharge.k_dis1-coil2,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [rtd_pan.rail_monitor-outa] on F.Cu, length 0.4000 mm",rtd_pan.rail_monitor-outa,SELV,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.0459 mm",discharge.k_dis1-coil2,SELV,SELV-SELV
clearance,Default routing,0.1623,0.2,"Track [rtd_pan.rail_monitor-outa] on F.Cu, length 0.7071 mm",rtd_pan.rail_monitor-outa,SELV,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.2828 mm",discharge.k_dis1-coil2,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.0459 mm",discharge.k_dis1-coil2,SELV,"Track [rtd_pan.rail_monitor-outa] on F.Cu, length 3.0000 mm",rtd_pan.rail_monitor-outa,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [rtd_pan.rail_monitor-outa] on F.Cu, length 0.4000 mm",rtd_pan.rail_monitor-outa,SELV,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.2828 mm",discharge.k_dis1-coil2,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.2828 mm",discharge.k_dis1-coil2,SELV,"Track [rtd_pan.rail_monitor-outa] on F.Cu, length 3.0000 mm",rtd_pan.rail_monitor-outa,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [ina] on B.Cu, length 0.1414 mm",ina,SELV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 1.5000 mm",hb.gate_hs.driver-p1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [ina] on B.Cu, length 1.5000 mm",ina,SELV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 1.5000 mm",hb.gate_hs.driver-p1,SELV,SELV-SELV
clearance,Default routing,0.1349,0.2,"Track [ina] on B.Cu, length 0.7071 mm",ina,SELV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 1.6971 mm",hb.gate_hs.driver-p1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.1414 mm",hb.gate_hs.driver-p1,SELV,"Track [ina] on B.Cu, length 65.3000 mm",ina,SELV,SELV-SELV
clearance,Default routing,0.1349,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 1.6971 mm",hb.gate_hs.driver-p1,SELV,"Track [ina] on B.Cu, length 0.2000 mm",ina,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.0539 mm",discharge.k_dis1-coil2,SELV,"Track [power_in.ntc-no] on F.Cu, length 0.7071 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.116,0.2,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.1414 mm",discharge.k_dis1-coil2,SELV,"Track [power_in.ntc-no] on F.Cu, length 0.7071 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.001,0.2,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.0539 mm",discharge.k_dis1-coil2,SELV,"Track [power_in.ntc-no] on F.Cu, length 13.1000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.021,0.2,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.1414 mm",discharge.k_dis1-coil2,SELV,"Track [power_in.ntc-no] on F.Cu, length 13.1000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.121,0.2,"Track [discharge.k_dis1-coil2] on F.Cu, length 0.9000 mm",discharge.k_dis1-coil2,SELV,"Track [power_in.ntc-no] on F.Cu, length 13.1000 mm",power_in.ntc-no,HV,HV-SELV
clearance,Default routing,0.1349,0.2,"Track [ina] on B.Cu, length 0.7071 mm",ina,SELV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 43.5000 mm",hb.gate_hs.driver-p1,SELV,SELV-SELV
clearance,Default routing,0.1349,0.2,"Track [ina] on B.Cu, length 0.2000 mm",ina,SELV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 43.5000 mm",hb.gate_hs.driver-p1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [ina] on B.Cu, length 1.5000 mm",ina,SELV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.0150 mm",hb.gate_hs.driver-p1,SELV,SELV-SELV
clearance,Default routing,0.1226,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 1.1314 mm",hb.gate_hs.driver-p1,SELV,"Track [discharge.k_dis1-nc] on B.Cu, length 0.5657 mm",discharge.k_dis1-nc,HV,HV-SELV
clearance,Default routing,0.1698,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.1414 mm",discharge.k_dis1-nc,HV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.3000 mm",hb.gate_hs.driver-p1,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 1.1314 mm",hb.gate_hs.driver-p1,SELV,"Track [discharge.k_dis1-nc] on B.Cu, length 0.3000 mm",discharge.k_dis1-nc,HV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 67.1000 mm",hb.gate_hs.driver-p1,SELV,"Track [ina] on B.Cu, length 65.3000 mm",ina,SELV,SELV-SELV
clearance,Default routing,0.1698,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.1414 mm",discharge.k_dis1-nc,HV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.7071 mm",hb.gate_hs.driver-p1,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 67.1000 mm",hb.gate_hs.driver-p1,SELV,"Track [ina] on B.Cu, length 0.4243 mm",ina,SELV,SELV-SELV
clearance,Default routing,0.121,0.2,"Track [power_in.q_relay_drv-g] on B.Cu, length 0.0459 mm",power_in.q_relay_drv-g,SELV,"Track [i2c_scl_ui] on B.Cu, length 28.0000 mm",i2c_scl_ui,SELV,SELV-SELV
clearance,Default routing,0.121,0.2,"Track [power_in.q_relay_drv-g] on B.Cu, length 0.9899 mm",power_in.q_relay_drv-g,SELV,"Track [i2c_scl_ui] on B.Cu, length 28.0000 mm",i2c_scl_ui,SELV,SELV-SELV
clearance,Default routing,0.1698,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.1000 mm",discharge.k_dis1-nc,HV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.3000 mm",hb.gate_hs.driver-p1,SELV,HV-SELV
clearance,Default routing,0.1036,0.2,"Track [power_in.q_relay_drv-g] on B.Cu, length 0.0459 mm",power_in.q_relay_drv-g,SELV,"Track [i2c_scl_ui] on B.Cu, length 2.6870 mm",i2c_scl_ui,SELV,SELV-SELV
clearance,Default routing,0.116,0.2,"Track [power_in.q_relay_drv-g] on B.Cu, length 0.9899 mm",power_in.q_relay_drv-g,SELV,"Track [i2c_scl_ui] on B.Cu, length 2.6870 mm",i2c_scl_ui,SELV,SELV-SELV
clearance,Default routing,0.1698,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.7071 mm",hb.gate_hs.driver-p1,SELV,"Track [discharge.k_dis1-nc] on B.Cu, length 0.1000 mm",discharge.k_dis1-nc,HV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.5657 mm",discharge.k_dis1-nc,HV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 43.5000 mm",hb.gate_hs.driver-p1,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.3000 mm",discharge.k_dis1-nc,HV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 43.5000 mm",hb.gate_hs.driver-p1,SELV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.2828 mm",hb.gate_hs.driver-p1,SELV,"Track [discharge.k_dis1-nc] on B.Cu, length 0.6000 mm",discharge.k_dis1-nc,HV,HV-SELV
clearance,Default routing,0.1226,0.2,"Track [discharge.k_dis1-nc] on B.Cu, length 0.6000 mm",discharge.k_dis1-nc,HV,"Track [hb.gate_hs.driver-p1] on B.Cu, length 0.0335 mm",hb.gate_hs.driver-p1,SELV,HV-SELV
clearance,Default routing,0.11,0.2,Pad 1 [vcc] of C32 on F.Cu,vcc,SELV,"Track [SHUTDOWN] on F.Cu, length 0.1414 mm",SHUTDOWN,SELV,SELV-SELV
clearance,Default routing,0.11,0.2,"Track [SHUTDOWN] on F.Cu, length 0.7000 mm",SHUTDOWN,SELV,Pad 1 [vcc] of C32 on F.Cu,vcc,SELV,SELV-SELV
clearance,Default routing,0.02,0.2,"Track [SHUTDOWN] on F.Cu, length 2.0000 mm",SHUTDOWN,SELV,Via [safety.coil_thermal.comp-inp] on F.Cu - B.Cu,safety.coil_thermal.comp-inp,SELV,SELV-SELV
clearance,Default routing,0.15,0.2,"Track [rtd_pan.high_window-out] on F.Cu, length 15.6978 mm",rtd_pan.high_window-out,SELV,"Track [safety.fault_or-b2] on F.Cu, length 6.6000 mm",safety.fault_or-b2,SELV,SELV-SELV
clearance,Default routing,0.1623,0.2,"Track [zcd] on B.Cu, length 0.5657 mm",zcd,HV,"Track [y] on B.Cu, length 0.4243 mm",y,SELV,HV-SELV
