role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	5	23438610	5.15101828388804139e-1	-2.09988603149493835e0	9.23078578573142465e1	3.88800640329394032e0	3.80071612342640151e2	3.80101617996246091e2	3.88799683603323620e0	3.80166385571677154e2	3.81396638068001494e2	-1.49234116853489302e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87824200948815223e0	2.60394496581352586e0
RIGHT	5	23438611	5.15101828388804250e-1	-2.09988603292653053e0	9.23078578558786234e1	3.88800640315097645e0	3.80071612342640265e2	3.80101617996246205e2	3.88799683585765710e0	3.80166385571674766e2	3.81396638067995809e2	-1.49234117264927187e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87824200948815356e0	2.60394496581243384e0
LEFT	6	23440586	5.15140528615614768e-1	-2.04679710736195286e0	9.02935131558591024e1	3.72710276124095596e0	3.80056873875521717e2	3.80086878365564473e2	3.72709301125815706e0	3.80149277137425258e2	3.81376390144183119e2	-4.93004748153193584e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87810531859494922e0	2.54970039500417878e0
GROUP	6	23440587	5.15140528615614879e-1	-2.04679710633493306e0	9.02935131568780207e1	3.72710276113022054e0	3.80056873875521774e2	3.80086878365564530e2	3.72709301114465319e0	3.80149277137423837e2	3.81376390144179595e2	-4.93004751086162986e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87810531859494834e0	2.54970039500347712e0
GROUP	6	23440588	5.15140528615614879e-1	-2.04679710682059790e0	9.02935131563923790e1	3.72710276106463834e0	3.80056873875521774e2	3.80086878365564530e2	3.72709301108333602e0	3.80149277137422871e2	3.81376390144177662e2	-4.93004752757894993e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87810531859494700e0	2.54970039500309831e0
GROUP	6	23440589	5.15140528615614879e-1	-2.04679710804832915e0	9.02935131551646322e1	3.72710276109128991e0	3.80056873875521774e2	3.80086878365564530e2	3.72709301100662449e0	3.80149277137421620e2	3.81376390144175161e2	-4.93004754900571898e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87810531859494612e0	2.54970039500262402e0
RIGHT	6	23440590	5.15140528615614990e-1	-2.04679710606595400e0	9.02935131571429679e1	3.72710276083380698e0	3.80056873875521831e2	3.80086878365564587e2	3.72709301085320233e0	3.80149277137419574e2	3.81376390144170045e2	-4.93004759500931417e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87810531859494523e0	2.54970039500167500e0
LEFT	7	23582843	5.18223249906422767e-1	9.30270128944720938e1	-9.41403637693161599e-1	-4.12217470585540013e0	3.77790431962497905e2	3.77820257522915938e2	4.12216298606144171e0	3.77888431007872214e2	3.79123142894762793e2	-5.52663324982608282e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88008581369353855e0	2.56213418591960229e0
GROUP	7	23582844	5.18223249906422878e-1	9.30270128944539465e1	-9.41403637719352870e-1	-4.12217470573108358e0	3.77790431962498076e2	3.77820257522916108e2	4.12216298592105179e0	3.77888431007870452e2	3.79123142894758246e2	-5.52663328841701147e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88008581369353900e0	2.56213418591899078e0
GROUP	7	23582845	5.18223249906422878e-1	9.30270128930287967e1	-9.41403639144495097e-1	-4.12217470571027889e0	3.77790431962498133e2	3.77820257522916165e2	4.12216298584652563e0	3.77888431007869542e2	3.79123142894755858e2	-5.52663330840421161e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88008581369353900e0	2.56213418591866615e0
RIGHT	7	23582846	5.18223249906422989e-1	9.30270128945190891e1	-9.41403637654214087e-1	-4.12217470557544630e0	3.77790431962498189e2	3.77820257522916222e2	4.12216298575085993e0	3.77888431007868348e2	3.79123142894752789e2	-5.52663333322291224e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88008581369353855e0	2.56213418591824960e0
LEFT	8	23851505	5.23443726217338923e-1	9.30180612852168878e1	-9.33868432465487119e-1	-3.86858066883945639e0	3.80495896682865236e2	3.80525935832603295e2	3.86857104701060051e0	3.80590413586135298e2	3.81820290451401149e2	-7.11082659132045646e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87894369106737980e0	2.58134935133461729e0
GROUP	8	23851506	5.23443726217339034e-1	9.30180612852210658e1	-9.33868432453246022e-1	-3.86858066868842343e0	3.80495896682865464e2	3.80525935832603523e2	3.86857104684738706e0	3.80590413586133195e2	3.81820290451395806e2	-7.11082663503045922e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87894369106737980e0	2.58134935133364474e0
GROUP	8	23851507	5.23443726217339034e-1	9.30180612856687077e1	-9.33868432005600879e-1	-3.86858066855950256e0	3.80495896682865521e2	3.80525935832603579e2	3.86857104676153618e0	3.80590413586132172e2	3.81820290451393134e2	-7.11082665642212892e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87894369106737980e0	2.58134935133313315e0
RIGHT	8	23851508	5.23443726217339145e-1	9.30180612853519904e1	-9.33868432314285846e-1	-3.86858066837265824e0	3.80495896682865521e2	3.80525935832603579e2	3.86857104664979135e0	3.80590413586130808e2	3.81820290451389553e2	-7.11082668552256076e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87894369106737935e0	2.58134935133246790e0
LEFT	9	23852721	5.23466964268402557e-1	9.17788082293854046e1	-9.31440271180935087e-1	-3.78800393518173451e0	3.80487038413485152e2	3.80517076863886189e2	3.78799420454025348e0	3.80580390390445530e2	3.81808699311338273e2	-8.09443194360398817e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87886237634458375e0	2.55734061617720876e0
GROUP	9	23852722	5.23466964268402668e-1	9.17788082306330040e1	-9.31440269925259412e-1	-3.78800393506276123e0	3.80487038413485209e2	3.80517076863886246e2	3.78799420442731627e0	3.80580390390444109e2	3.81808699311334578e2	-8.09443197378193740e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87886237634458286e0	2.55734061617653241e0
GROUP	9	23852723	5.23466964268402668e-1	9.17788082290896057e1	-9.31440271468665815e-1	-3.78800393480338471e0	3.80487038413485209e2	3.80517076863886246e2	3.78799420436658263e0	3.80580390390443370e2	3.81808699311332589e2	-8.09443198930577959e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87886237634458286e0	2.55734061617616915e0
GROUP	9	23852724	5.23466964268402668e-1	9.17788082287004698e1	-9.31440271857800095e-1	-3.78800393489979115e0	3.80487038413485152e2	3.80517076863886189e2	3.78799420429053635e0	3.80580390390442290e2	3.81808699311330088e2	-8.09443200851385764e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87886237634458242e0	2.55734061617571440e0
RIGHT	9	23852725	5.23466964268402779e-1	9.17788082301087798e1	-9.31440270441408646e-1	-3.78800393478894648e0	3.80487038413485095e2	3.80517076863886132e2	3.78799420413844512e0	3.80580390390440073e2	3.81808699311324858e2	-8.09443204918844922e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87886237634458153e0	2.55734061617480490e0
LEFT	10	23995086	5.26557423538907998e-1	-2.18030676101045451e0	9.18328715808588640e1	4.13212794977604148e0	3.78214116802099738e2	3.78243975811320922e2	4.13211621945781804e0	3.78312307561913997e2	3.79547206309091507e2	-6.05416772840339205e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88088841104320137e0	2.56640158709504496e0
GROUP	10	23995087	5.26557423538908109e-1	-2.18030676153207015e0	9.18328715803412763e1	4.13212794960346042e0	3.78214116802099795e2	3.78243975811320979e2	4.13211621932131479e0	3.78312307561912121e2	3.79547206309087017e2	-6.05416776489847490e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88088841104320270e0	2.56640158709444766e0
GROUP	10	23995088	5.26557423538908109e-1	-2.18030676034850934e0	9.18328715815248273e1	4.13212794952378459e0	3.78214116802099966e2	3.78243975811321150e2	4.13211621925216921e0	3.78312307561911268e2	3.79547206309084856e2	-6.05416778214367522e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88088841104320315e0	2.56640158709414479e0
GROUP	10	23995089	5.26557423538908109e-1	-2.18030675981144251e0	9.18328715820618839e1	4.13212794949945028e0	3.78214116802100079e2	3.78243975811321263e2	4.13211621916422533e0	3.78312307561910245e2	3.79547206309082071e2	-6.05416780502281609e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88088841104320359e0	2.56640158709376021e0
RIGHT	10	23995090	5.26557423538908220e-1	-2.18030676061124584e0	9.18328715812701546e1	4.13212794931141403e0	3.78214116802100136e2	3.78243975811321320e2	4.13211621898834025e0	3.78312307561907801e2	3.79547206309076216e2	-6.05416785351336523e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88088841104320448e0	2.56640158709299104e0
LEFT	11	23996269	5.26580668614575198e-1	-2.21342104008432194e0	9.30342407703225263e1	4.23277070733536664e0	3.78206221327557614e2	3.78236079713451829e2	4.23275910992005677e0	3.78305884892881352e2	3.79542661450933849e2	-8.87803732762834253e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88098755473938084e0	2.60065840901299206e0
GROUP	11	23996270	5.26580668614575309e-1	-2.21342104061284051e0	9.30342407698019827e1	4.23277070714873815e0	3.78206221327557842e2	3.78236079713452057e2	4.23275910975020864e0	3.78305884892879021e2	3.79542661450928449e2	-8.87803737004891466e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88098755473938128e0	2.60065840901224687e0
GROUP	11	23996271	5.26580668614575309e-1	-2.21342104014616536e0	9.30342407702686671e1	4.23277070706287439e0	3.78206221327557955e2	3.78236079713452170e2	4.23275910966354374e0	3.78305884892877827e2	3.79542661450925607e2	-8.87803739252944521e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88098755473938128e0	2.60065840901186629e0
