role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
RIGHT	8	23997186	5.26580668647610994e-1	-2.21301019201397331e0	9.30346533676589331e1	4.23152161794452564e0	3.78222721736618553e2	3.78252581425176686e2	4.23151001990637976e0	3.78322368514633183e2	3.79559121894485884e2	-8.89839624065669376e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88072388241543820e0	2.59834652635051322e0
LEFT	9	24264464	5.31770164016950209e-1	-2.09699950413176062e0	9.22219970257976769e1	3.87925248128203837e0	3.80926545607318303e2	3.80956618755655654e2	3.87924287467706952e0	3.81021268988948009e2	3.82251352325644064e2	-1.15405255741381889e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87951605519410281e0	2.59515188628528115e0
GROUP	9	24264465	5.31770164016950320e-1	-2.09699950367028398e0	9.22219970262511310e1	3.87925248107942533e0	3.80926545607318417e2	3.80956618755655768e2	3.87924287452967276e0	3.81021268988946133e2	3.82251352325639061e2	-1.15405256118405825e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87951605519410370e0	2.59515188628437921e0
GROUP	9	24264466	5.31770164016950320e-1	-2.09699950335218821e0	9.22219970265691984e1	3.87925248103989784e0	3.80926545607318417e2	3.80956618755655768e2	3.87924287445227467e0	3.81021268988945167e2	3.82251352325636446e2	-1.15405256320959999e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87951605519410370e0	2.59515188628390581e0
RIGHT	9	24264467	5.31770164016950431e-1	-2.09699950329057705e0	9.22219970266228017e1	3.87925248087825292e0	3.80926545607318474e2	3.80956618755655825e2	3.87924287435426329e0	3.81021268988943973e2	3.82251352325633206e2	-1.15405256579364628e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87951605519410325e0	2.59515188628330540e0
LEFT	10	24265268	5.31785639245460628e-1	-2.08015171251413244e0	9.14141728603434700e1	3.82817054125496359e0	3.80920695841076054e2	3.80950768527589787e2	3.82816086305163283e0	3.81014662328603208e2	3.82243754857808653e2	-5.32388744058887100e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87946168982559580e0	2.57498091269244256e0
GROUP	10	24265269	5.31785639245460739e-1	-2.08015171206914573e0	9.14141728607844612e1	3.82817054109396260e0	3.80920695841076224e2	3.80950768527589958e2	3.82816086288553370e0	3.81014662328600991e2	3.82243754857803083e2	-5.32388748796190417e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87946168982559536e0	2.57498091269143536e0
GROUP	10	24265270	5.31785639245460739e-1	-2.08015171339605631e0	9.14141728594575227e1	3.82817054101240917e0	3.80920695841076338e2	3.80950768527590071e2	3.82816086279825285e0	3.81014662328599854e2	3.82243754857800070e2	-5.32388751357799992e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87946168982559492e0	2.57498091269090601e0
RIGHT	10	24265271	5.31785639245460851e-1	-2.08015171324906323e0	9.14141728595964480e1	3.82817054088661024e0	3.80920695841076508e2	3.80950768527590242e2	3.82816086268449052e0	3.81014662328598433e2	3.82243754857796148e2	-5.32388754788151630e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87946168982559358e0	2.57498091269021678e0
LEFT	11	24821933	5.43233505587696675e-1	-2.18995767736387092e0	9.23241215544891531e1	4.16145247686402531e0	3.79025547519976101e2	3.79055470589517086e2	4.16144077045920913e0	3.79124234769689053e2	3.80359682831594114e2	-2.29833463145713567e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88230695946569115e0	2.57484306148533948e0
