role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)	v(xu.raw)	v(xu.pwm_hold)	v(pwm)	v(pwm_input)	v(xdriver.driver_req)	v(xdriver.drv_delay)	v(xu.phase)	v(xu.blank)	v(isense)	v(xu.ov)	v(xu.fault)	v(xu.pcl_hold)	v(xu.pcl_request)	v(disable)	v(xu.m1)	v(xu.m2)
GROUP	34	27707690	6.01580463341360394e-1	9.42925777304447763e1	-9.44214443020328531e-1	-4.21809337253574768e0	3.81359789555086593e2	3.81389896906893512e2	4.21808162924355479e0	3.81459546815113754e2	3.82696050821426240e2	-4.54315101403437550e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88749292403898439e0	2.58794908953517977e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	4.69470009642815594e-7	1.92770812601494868e-6	7.54440842106008669e-27	-4.57406079176804481e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764480777e-1	5.02785285224202072e-1	1.38467252960144949e0
GROUP	34	27707691	6.01580463341360394e-1	9.42925777325763335e1	-9.44214440888771378e-1	-4.21809336988256067e0	3.81359789555086479e2	3.81389896906893398e2	4.21808162915726648e0	3.81459546815112503e2	3.82696050821423626e2	-4.54315103672413590e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88749292403898439e0	2.58794908953480718e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	5.12220469381077553e-7	1.92770812601494868e-6	7.54400527314575276e-27	-4.57406079168175550e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764480707e-1	5.02785285224202072e-1	1.38467252960144949e0
RIGHT	34	27707692	6.01580463341360505e-1	9.42925777288592570e1	-9.44214444613834303e-1	-4.21809335491408532e0	3.81359789555086536e2	3.81389896906893455e2	4.21808162898468986e0	3.81459546815110059e2	3.82696050821418225e2	-4.54315108353823658e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88749292403898616e0	2.58794908953406333e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	5.97721388458851817e-7	1.92770812612597098e-6	7.54319904194397926e-27	-4.57406079150917896e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764480999e-1	5.02785285224202627e-1	1.38467252960145148e0
LEFT	35	27708869	6.01603728238097823e-1	9.55184603114097541e1	-9.46609300664277953e-1	-4.30036455447215360e0	3.81352024627057801e2	3.81382131365844089e2	4.30035298080809536e0	3.81453005862495729e2	3.82691032048511715e2	-1.51431386529724590e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88759132846175470e0	2.62456814943105243e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	-6.34533642858043827e-7	1.95606462927155889e-6	-1.01846656316418230e-27	-4.65488206853728256e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764476044e-1	5.02816085808529323e-1	1.38478667503633268e0
GROUP	35	27708870	6.01603728238097935e-1	9.55184603104667360e1	-9.46609301611260889e-1	-4.30036458411104583e0	3.81352024627058086e2	3.81382131365844373e2	4.30035298063079452e0	3.81453005862493399e2	3.82691032048506202e2	-1.51431386916039292e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88759132846175559e0	2.62456814943026018e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-5.46327548288332498e-7	1.95606462938258119e-6	-1.01835427565149250e-27	-4.65488206835997301e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764476030e-1	5.02816085808529545e-1	1.38478667503633357e0
GROUP	35	27708871	6.01603728238097935e-1	9.55184603109534152e1	-9.46609301124581748e-1	-4.30036451477355808e0	3.81352024627058142e2	3.81382131365844430e2	4.30035298055622128e0	3.81453005862492375e2	3.82691032048503757e2	-1.51431387087244539e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88759132846175604e0	2.62456814942992667e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-5.09228312458481285e-7	1.95606462938258119e-6	-1.01830705153716930e-27	-4.65488206828539655e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764476475e-1	5.02816085808529767e-1	1.38478667503633424e0
RIGHT	35	27708872	6.01603728238098046e-1	9.55184603071486293e1	-9.46609304937311435e-1	-4.30036461100367795e0	3.81352024627058086e2	3.81382131365844373e2	4.30035298045667869e0	3.81453005862490954e2	3.82691032048500574e2	-1.51431387307371359e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88759132846175648e0	2.62456814942948213e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-4.59707033931598826e-7	1.95606462949360349e-6	-1.01824401865061694e-27	-4.65488206818584979e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764477168e-1	5.02816085808529878e-1	1.38478667503633468e0
LEFT	36	27974793	6.06769966036531994e-1	9.33962868988040924e1	-9.33239231874281927e-1	-3.84764644589975324e0	3.83970941066563569e2	3.84001254561910912e2	3.84763671134218788e0	3.84065504535435366e2	3.85294975581933329e2	-1.04099392701878960e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88617932913168218e0	2.58079910777015575e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-1.49670169137307211e-7	1.93641768875263409e-6	1.16477253402379415e-22	-4.20772035849844711e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486536e-1	5.02374130018216514e-1	1.38314925940683575e0
GROUP	36	27974794	6.06769966036532105e-1	9.33962868979865135e1	-9.33239232683845898e-1	-3.84764645687660378e0	3.83970941066563739e2	3.84001254561911082e2	3.84763671121250184e0	3.84065504535433661e2	3.85294975581929009e2	-1.04099393038612335e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88617932913168218e0	2.58079910776936439e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-8.61548802020691669e-8	1.93641768886365639e-6	1.16468006160958259e-22	-4.20772035836877098e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486855e-1	5.02374130018216514e-1	1.38314925940683597e0
GROUP	36	27974795	6.06769966036532105e-1	9.33962869006304146e1	-9.33239230039944800e-1	-3.84764642773359800e0	3.83970941066563796e2	3.84001254561911139e2	3.84763671114328654e0	3.84065504535432694e2	3.85294975581926735e2	-1.04099393223501873e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88617932913168174e0	2.58079910776894206e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-5.22561151211810880e-8	1.93641768886365639e-6	1.16463071113253909e-22	-4.20772035829956106e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764487063e-1	5.02374130018216403e-1	1.38314925940683553e0
GROUP	36	27974796	6.06769966036532105e-1	9.33962868966914641e1	-9.33239233978895300e-1	-3.84764644780943232e0	3.83970941066563739e2	3.84001254561911082e2	3.84763671105533733e0	3.84065504535431444e2	3.85294975581924064e2	-1.04099393432507338e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88617932913168085e0	2.58079910776840604e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-9.18258679200995562e-9	1.93641768886365639e-6	1.16456800687437035e-22	-4.20772035821161891e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486203e-1	5.02374130018216292e-1	1.38314925940683442e0
RIGHT	36	27974797	6.06769966036532216e-1	9.33962868976041278e1	-9.33239233058202444e-1	-3.84764641566859256e0	3.83970941066563796e2	3.84001254561911139e2	3.84763671087943893e0	3.84065504535429000e2	3.85294975581918436e2	-1.04099393880983822e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88617932913167996e0	2.58079910776733223e0	5.00000000000000000e0	8.09856626204918939e-1	2.42956987861475682e0	2.20000422079289004e0	1.49999999999999716e1	7.69644694615332255e-8	1.93641768897467870e-6	1.16444260848583924e-22	-4.20772035803573391e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764484760e-1	5.02374130018215848e-1	1.38314925940683353e0
LEFT	37	28120522	6.09922398219394091e-1	-2.20432791702197006e0	9.34874440945529841e1	4.20512760029413357e0	3.81643508557302255e2	3.81673638307977797e2	4.20511592242762600e0	3.81743112297320920e2	3.82979375170228650e2	-1.14824469120711367e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88810577006142433e0	2.59261593822287217e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	-2.81050432403896356e-7	1.94464212877054621e-6	2.47054511528814889e-23	-4.56089321850930776e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764474809e-1	5.02977106029225740e-1	1.38538348455851246e0
GROUP	37	28120523	6.09922398219394202e-1	-2.20432791734836986e0	9.34874440942345473e1	4.20512760135068220e0	3.81643508557302539e2	3.81673638307978081e2	4.20511592228879838e0	3.81743112297318874e2	3.82979375170224387e2	-1.14824469445237234e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88810577006142477e0	2.59261593822225089e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	-2.12228245152008905e-7	1.94464212888156851e-6	2.47033258902057446e-23	-4.56089321837047715e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764474615e-1	5.02977106029226073e-1	1.38538348455851290e0
