role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)	v(xu.raw)	v(xu.pwm_hold)	v(pwm)	v(pwm_input)	v(xdriver.driver_req)	v(xdriver.drv_delay)	v(xu.phase)	v(xu.blank)	v(isense)	v(xu.ov)	v(xu.fault)	v(xu.pcl_hold)	v(xu.pcl_request)	v(disable)	v(xu.m1)	v(xu.m2)
RIGHT	5	23439723	5.15117296860298723e-1	-2.08505674744037517e0	9.14987206756901088e1	3.84304031155170378e0	3.80050515671584378e2	3.80080519659663651e2	3.84303067421325739e0	3.80144613731527613e2	3.81373995337985718e2	-6.19918484527196857e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87842730614191433e0	2.58093149898961816e0	5.00000000000000000e0	8.09856626204918939e-1	2.42956987861475682e0	2.20000422079289004e0	1.49999999999999716e1	4.22980974552970722e-7	1.92743803661965529e-6	5.32918412123774607e-27	-4.19921560054378334e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764474157e-1	4.99947746822419214e-1	1.37417693447028677e0
LEFT	6	23584236	5.18246487848757154e-1	9.42584369457154025e1	-9.44347897273345893e-1	-4.22266481323571163e0	3.77767180820074657e2	3.77797004544876188e2	4.22265322029962853e0	3.77866640234871113e2	3.79103229175546062e2	-5.43527255370239205e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88053906620946609e0	2.59026144991550522e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	3.03147831432563876e-7	1.93100830703230031e-6	-3.28895004388623196e-26	-4.57427856405239128e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764481526e-1	5.00608727723562907e-1	1.37661822855851779e0
GROUP	6	23584237	5.18246487848757265e-1	9.42584369446256147e1	-9.44347898367126959e-1	-4.22266479993193578e0	3.77767180820074771e2	3.77797004544876302e2	4.22265322013513078e0	3.77866640234868839e2	3.79103229175541003e2	-5.43527259623400766e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88053906620946698e0	2.59026144991480090e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	3.85655397034068676e-7	1.93100830714332261e-6	-3.28861085728059408e-26	-4.57427856388789578e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764480929e-1	5.00608727723563129e-1	1.37661822855851845e0
GROUP	6	23584238	5.18246487848757265e-1	9.42584369437708602e1	-9.44347899221881448e-1	-4.22266484304873480e0	3.77767180820074771e2	3.77797004544876302e2	4.22265322004873145e0	3.77866640234867759e2	3.79103229175538559e2	-5.43527261766460445e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88053906620946742e0	2.59026144991443097e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	4.28990588272860011e-7	1.93100830714332261e-6	-3.28843272136865732e-26	-4.57427856380149891e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764481276e-1	5.00608727723563351e-1	1.37661822855851912e0
RIGHT	6	23584239	5.18246487848757376e-1	9.42584369458101321e1	-9.44347897190596086e-1	-4.22266482771930107e0	3.77767180820074771e2	3.77797004544876302e2	4.22265321993605003e0	3.77866640234866281e2	3.79103229175535148e2	-5.43527264604197340e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88053906620946787e0	2.59026144991394913e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	4.85508975026253255e-7	1.93100830725434491e-6	-3.28820040841905165e-26	-4.57427856368881822e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764482317e-1	5.00608727723563462e-1	1.37661822855851979e0
LEFT	7	23851790	5.23443735142777533e-1	9.30180846092892466e1	-9.33369572606878251e-1	-3.85197995329897624e0	3.80492328568728738e2	3.80522367436773607e2	3.85197034263444893e0	3.80586609213982968e2	3.81816164352815349e2	-1.09164031847283237e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87932589734961164e0	2.58384973244331517e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	-2.15158984732113707e-7	1.93880330723317229e-6	8.19845913517070462e-27	-4.20826040255488712e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764481360e-1	5.00229005870428400e-1	1.37521548340690325e0
GROUP	7	23851791	5.23443735142777644e-1	9.30180846065395173e1	-9.33369575348578451e-1	-3.85197997497746680e0	3.80492328568728851e2	3.80522367436773720e2	3.85197034248937165e0	3.80586609213980921e2	3.81816164352810574e2	-1.09164032213176195e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87932589734961164e0	2.58384973244243188e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-1.43349352292004578e-7	1.93880330734419459e-6	8.19772325773720355e-27	-4.20826040240982052e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764481901e-1	5.00229005870428400e-1	1.37521548340690325e0
GROUP	7	23851792	5.23443735142777644e-1	9.30180846109793436e1	-9.33369570908752166e-1	-3.85197991114498217e0	3.80492328568728794e2	3.80522367436773663e2	3.85197034242378367e0	3.80586609213980182e2	3.81816164352808300e2	-1.09164032379551254e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87932589734961120e0	2.58384973244203175e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-1.10884719657173453e-7	1.93880330734419459e-6	8.19739059437563620e-27	-4.20826040234423687e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764482886e-1	5.00229005870428289e-1	1.37521548340690258e0
GROUP	7	23851793	5.23443735142777644e-1	9.30180846068662390e1	-9.33369575021856690e-1	-3.85197994226221940e0	3.80492328568728681e2	3.80522367436773550e2	3.85197034233836089e0	3.80586609213979273e2	3.81816164352805458e2	-1.09164032594090689e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87932589734961031e0	2.58384973244151084e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-6.86025793007819194e-8	1.93880330734419459e-6	8.19695735177423163e-27	-4.20826040225881978e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764483885e-1	5.00229005870428067e-1	1.37521548340690192e0
RIGHT	7	23851794	5.23443735142777755e-1	9.30180846089539983e1	-9.33369572934097391e-1	-3.85197994412162537e0	3.80492328568728738e2	3.80522367436773607e2	3.85197034216751399e0	3.80586609213976942e2	3.81816164352799888e2	-1.09164033014782138e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.87932589734961120e0	2.58384973244047123e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	1.59617010219401699e-8	1.93880330745521690e-6	8.19609093526188830e-27	-4.20826040208798491e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764483871e-1	5.00229005870428178e-1	1.37521548340690281e0
LEFT	8	23996399	5.26572923886968192e-1	-2.20879919995928153e0	9.26283687975203236e1	4.21871967578147178e0	3.78205286261327217e2	3.78235144573400419e2	4.21870803612390954e0	3.78304752035937781e2	3.79541267679454393e2	-9.34879270641357461e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88130788115288317e0	2.59254736095247873e0	5.00000000000000000e0	8.09853295535845064e-1	2.42955988660753519e0	2.19999517291233504e0	1.49999999999999716e1	-6.98149650117331390e-8	1.94012930987419452e-6	-4.33370514024630289e-28	-4.57132395138040368e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764478445e-1	5.00849366800852458e-1	1.37750755281651349e0
GROUP	8	23996400	5.26572923886968303e-1	-2.20879920043862255e0	9.26283687970449847e1	4.21871967703521022e0	3.78205286261327444e2	3.78235144573400646e2	4.21870803596712829e0	3.78304752035935621e2	3.79541267679449277e2	-9.34879274693604924e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88130788115288450e0	2.59254736095179883e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	8.60303107137829613e-9	1.94012930998521682e-6	-4.33328036045127684e-28	-4.57132395122361937e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764479181e-1	5.00849366800853013e-1	1.37750755281651482e0
GROUP	8	23996401	5.26572923886968303e-1	-2.20879919832510829e0	9.26283687991584941e1	4.21871967558661254e0	3.78205286261327387e2	3.78235144573400589e2	4.21870803588270782e0	3.78304752035934541e2	3.79541267679446548e2	-9.34879276734762389e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88130788115288539e0	2.59254736095143290e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	5.08282493635177090e-8	1.94012930998521682e-6	-4.33305164933725918e-28	-4.57132395113919662e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764479639e-1	5.00849366800853235e-1	1.37750755281651616e0
RIGHT	8	23996402	5.26572923886968414e-1	-2.20879919901742872e0	9.26283687984741704e1	4.21871967439960827e0	3.78205286261327274e2	3.78235144573400476e2	4.21870803577562814e0	3.78304752035933120e2	3.79541267679443251e2	-9.34879279282923114e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88130788115288539e0	2.59254736095096927e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	1.04388106075739643e-7	1.94012931009623912e-6	-4.33276156199800263e-28	-4.57132395103211284e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764479764e-1	5.00849366800853124e-1	1.37750755281651593e0
LEFT	9	24264133	5.31777913715452466e-1	-2.09864464552961305e0	9.18077714621100114e1	3.88424159952762693e0	3.80886631704425042e2	3.80916701701664806e2	3.88423196095710344e0	3.80981439588379374e2	3.82211619357036000e2	-1.32624475924430297e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88024254123341938e0	2.58673201628911453e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-4.07538458659561713e-7	1.94494536254197214e-6	6.62695355997834849e-29	-4.24108152087428816e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764473921e-1	5.00515915406060441e-1	1.37627530096719153e0
GROUP	9	24264134	5.31777913715452577e-1	-2.09864464540240858e0	9.18077714622291836e1	3.88424160137844865e0	3.80886631704425156e2	3.80916701701664920e2	3.88423196079451438e0	3.80981439588376986e2	3.82211619357030827e2	-1.32624476300707658e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88024254123341983e0	2.58673201628814553e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-3.27186404564973185e-7	1.94494536265299445e-6	6.62628798170432839e-29	-4.24108152071170988e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764473560e-1	5.00515915406060441e-1	1.37627530096719219e0
GROUP	9	24264135	5.31777913715452577e-1	-2.09864464594084588e0	9.18077714616907343e1	3.88424159781715161e0	3.80886631704425099e2	3.80916701701664863e2	3.88423196070895971e0	3.80981439588375736e2	3.82211619357028098e2	-1.32624476500937658e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88024254123341983e0	2.58673201628763483e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-2.84904967781706784e-7	1.94494536265299445e-6	6.62593777971786901e-29	-4.24108152062615956e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764472880e-1	5.00515915406060441e-1	1.37627530096719197e0
RIGHT	9	24264136	5.31777913715452688e-1	-2.09864464573677667e0	9.18077714618907805e1	3.88424159775576072e0	3.80886631704425042e2	3.80916701701664806e2	3.88423196059765807e0	3.80981439588374258e2	3.82211619357024517e2	-1.32624476759656418e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88024254123341938e0	2.58673201628697003e0	5.00000000000000000e0	8.09856626204918939e-1	2.42956987861475682e0	2.20000422079289004e0	1.49999999999999716e1	-2.29898970371712663e-7	1.94494536276401675e-6	6.62548221245617636e-29	-4.24108152051486317e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764472297e-1	5.00515915406060219e-1	1.37627530096719131e0
LEFT	10	24407759	5.34891589907184772e-1	9.31172656280182309e1	-9.40278254678148073e-1	-4.08396884961950057e0	3.78601580176059485e2	3.78631469774494406e2	4.08395709082662162e0	3.78699088199526216e2	3.79933080849593068e2	-3.66131064938531273e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88230157554203625e0	2.55956197547102082e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	4.55712036589409593e-7	1.92474572957568313e-6	8.55568965135028131e-25	-4.43793337730375437e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764472436e-1	5.01160393144657546e-1	1.37865743111188221e0
GROUP	10	24407760	5.34891589907184883e-1	9.31172656280272832e1	-9.40278254677139103e-1	-4.08396882063223909e0	3.78601580176059713e2	3.78631469774494633e2	4.08395709070253510e0	3.78699088199524454e2	3.79933080849588862e2	-3.66131068582446386e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88230157554203670e0	2.55956197547045594e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	5.17536606267801785e-7	1.92474572968670543e-6	8.55502848707108976e-25	-4.43793337717966890e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764472353e-1	5.01160393144657546e-1	1.37865743111188266e0
GROUP	10	24407761	5.34891589907184883e-1	9.31172656305584496e1	-9.40278252145972715e-1	-4.08396878381428508e0	3.78601580176059713e2	3.78631469774494633e2	4.08395709063299783e0	3.78699088199523430e2	3.79933080849586588e2	-3.66131070640442316e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88230157554203759e0	2.55956197547013975e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	5.52182518877154908e-7	1.92474572968670543e-6	8.55465799910922223e-25	-4.43793337711013217e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764472408e-1	5.01160393144657879e-1	1.37865743111188355e0
GROUP	10	24407762	5.34891589907184883e-1	9.31172656287581049e1	-9.40278253946317477e-1	-4.08396883475157946e0	3.78601580176059599e2	3.78631469774494519e2	4.08395709054879053e0	3.78699088199522237e2	3.79933080849584030e2	-3.66131072918603750e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88230157554203759e0	2.55956197546975650e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	5.94136940918470981e-7	1.92474572968670543e-6	8.55420937867892869e-25	-4.43793337702592661e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764472852e-1	5.01160393144657768e-1	1.37865743111188355e0
RIGHT	10	24407763	5.34891589907184994e-1	9.31172656274812738e1	-9.40278255227156023e-1	-4.08396884345285827e0	3.78601580176059713e2	3.78631469774494633e2	4.08395709038037680e0	3.78699088199520020e2	3.79933080849578573e2	-3.66131077574445409e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88230157554203714e0	2.55956197546898956e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	6.78045784617065268e-7	1.92474572979772773e-6	8.55331220839569100e-25	-4.43793337685751618e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764473824e-1	5.01160393144657657e-1	1.37865743111188288e0
LEFT	11	24408959	5.34914845175211373e-1	9.43488970834810203e1	-9.43409353973507336e-1	-4.19054818751885172e0	3.78593566321368826e2	3.78623455287130980e2	4.19053658923276284e0	3.78692647292861636e2	3.79928638606400966e2	-1.07140660839117847e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88240134439988704e0	2.59062741324132073e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-1.99022199063664585e-7	1.94347352211465818e-6	-1.53842501977986829e-26	-4.54305912366094675e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764474226e-1	5.01191620797164727e-1	1.37877290764001081e0
GROUP	11	24408960	5.34914845175211484e-1	9.43488970841602850e1	-9.43409353298235942e-1	-4.19054821852188120e0	3.78593566321368996e2	3.78623455287131151e2	4.19053658907987980e0	3.78692647292859647e2	3.79928638606396021e2	-1.07140661213410628e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88240134439988749e0	2.59062741324063639e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-1.22532356957128036e-7	1.94347352222568048e-6	-1.53827793444505126e-26	-4.54305912350805863e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764473297e-1	5.01191620797164838e-1	1.37877290764001126e0
GROUP	11	24408961	5.34914845175211484e-1	9.43488970865745245e1	-9.43409350883996467e-1	-4.19054814717594315e0	3.78593566321369053e2	3.78623455287131208e2	4.19053658899916304e0	3.78692647292858737e2	3.79928638606393292e2	-1.07140661421521405e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88240134439988793e0	2.59062741324027490e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-8.21488065708452297e-8	1.94347352222568048e-6	-1.53820028499484542e-26	-4.54305912342733986e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764473088e-1	5.01191620797165061e-1	1.37877290764001192e0
RIGHT	11	24408962	5.34914845175211595e-1	9.43488970845287014e1	-9.43409352937791823e-1	-4.19054824349874799e0	3.78593566321369167e2	3.78623455287131321e2	4.19053658889465197e0	3.78692647292857657e2	3.79928638606389825e2	-1.07140661682173704e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88240134439988838e0	2.59062741323980639e0	5.00000000000000000e0	8.09856626204918939e-1	2.42956987861475682e0	2.20000422079289004e0	1.49999999999999716e1	-2.98606988916722733e-8	1.94347352233670279e-6	-1.53809975129650797e-26	-4.54305912332282485e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764472783e-1	5.01191620797165061e-1	1.37877290764001215e0
LEFT	12	24677266	5.40127554924113906e-1	9.21043953653731933e1	-9.31204124602885486e-1	-3.78019817392963775e0	3.81283114973960494e2	3.81313216272510999e2	3.78018846950352039e0	3.81376415601566805e2	3.82604571771421263e2	-4.67738947648524976e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88122342287112376e0	2.56131309089636305e0	5.00000000000000000e0	8.09853295535845064e-1	2.42955988660753519e0	2.19999517291233504e0	1.49999999999999716e1	3.99758079572572138e-7	1.92269658172428137e-6	-5.26577444206656440e-25	-4.13851910929739289e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764478029e-1	5.00822931358661627e-1	1.37740984192513127e0
GROUP	12	24677267	5.40127554924114017e-1	9.21043953633568151e1	-9.31204126611191896e-1	-3.78019822916988835e0	3.81283114973960664e2	3.81313216272511170e2	3.78018846935578123e0	3.81376415601564759e2	3.82604571771416374e2	-4.67738951880985814e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88122342287112376e0	2.56131309089545800e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	4.72465103426883766e-7	1.92269658183530368e-6	-5.26529589029915359e-25	-4.13851910914967078e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764477585e-1	5.00822931358661849e-1	1.37740984192513127e0
GROUP	12	24677268	5.40127554924114017e-1	9.21043953664440949e1	-9.31204123523912131e-1	-3.78019817455228857e0	3.81283114973960664e2	3.81313216272511170e2	3.78018846927788577e0	3.81376415601563451e2	3.82604571771413760e2	-4.67738954145957590e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88122342287112376e0	2.56131309089498105e0	5.00000000000000000e0	8.09853850647357376e-1	2.42956155194207213e0	2.19999668089242784e0	1.49999999999999716e1	5.10799880992607242e-7	1.92269658183530368e-6	-5.26504359139440418e-25	-4.13851910907178377e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764477737e-1	5.00822931358661849e-1	1.37740984192513127e0
RIGHT	12	24677269	5.40127554924114128e-1	9.21043953644765310e1	-9.31204125487440137e-1	-3.78019821758843877e0	3.81283114973960608e2	3.81313216272511113e2	3.78018846918040374e0	3.81376415601561746e2	3.82604571771410519e2	-4.67738956942980914e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88122342287112332e0	2.56131309089438508e0	5.00000000000000000e0	8.09854405758869689e-1	2.42956321727660907e0	2.19999818887252019e0	1.49999999999999716e1	5.58773650444381409e-7	1.92269658194632598e-6	-5.26472787085535709e-25	-4.13851910897431313e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764478251e-1	5.00822931358661738e-1	1.37740984192513061e0
LEFT	13	24821453	5.43249020778482916e-1	-2.19937107684480004e0	9.31375196868125670e1	4.19006094519971839e0	3.78992398171112484e2	3.79022318623599631e2	4.19004932622232218e0	3.79091515648566940e2	3.80327497879511043e2	-1.19798624212715039e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88332596631953075e0	2.59776861518191060e0	5.00000000000000000e0	8.09854960870382001e-1	2.42956488261114600e0	2.19999969685261254e0	1.49999999999999716e1	-3.35158522566691118e-7	1.94664617403361717e-6	1.27939736925383087e-25	-4.54300813666636827e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486716e-1	5.01481027458013151e-1	1.37984333269011583e0
GROUP	13	24821454	5.43249020778483027e-1	-2.19937107530399878e0	9.31375196883573437e1	4.19006094425930087e0	3.78992398171112768e2	3.79022318623599915e2	4.19004932608621861e0	3.79091515648564837e2	3.80327497879506609e2	-1.19798624548576444e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88332596631953120e0	2.59776861518128399e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-2.67147876876349318e-7	1.94664617414463947e-6	1.27928860806991839e-25	-4.54300813653026048e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764487077e-1	5.01481027458013373e-1	1.37984333269011672e0
GROUP	13	24821455	5.43249020778483027e-1	-2.19937107414610677e0	9.31375196895152442e1	4.19006094780661442e0	3.78992398171112768e2	3.79022318623599915e2	4.19004932601734570e0	3.79091515648563927e2	3.80327497879504449e2	-1.19798624709055916e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88332596631953120e0	2.59776861518096691e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-2.32732743019399825e-7	1.94664617414463947e-6	1.27923357563978041e-25	-4.54300813646138779e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764486925e-1	5.01481027458013373e-1	1.37984333269011672e0
GROUP	13	24821456	5.43249020778483027e-1	-2.19937107694208267e0	9.31375196867192585e1	4.19006094336458546e0	3.78992398171112598e2	3.79022318623599745e2	4.19004932592972867e0	3.79091515648562961e2	3.80327497879501664e2	-1.19798624912051936e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88332596631953120e0	2.59776861518056368e0	5.00000000000000000e0	8.09855515981894314e-1	2.42956654794568294e0	2.20000120483270534e0	1.49999999999999716e1	-1.88951605885836354e-7	1.94664617414463947e-6	1.27916356967560794e-25	-4.54300813637377038e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764487688e-1	5.01481027458013262e-1	1.37984333269011650e0
RIGHT	13	24821457	5.43249020778483138e-1	-2.19937107623588224e0	9.31375196874334534e1	4.19006094524041828e0	3.78992398171112598e2	3.79022318623599745e2	4.19004932575449729e0	3.79091515648560573e2	3.80327497879495809e2	-1.19798625362300329e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88332596631953120e0	2.59776861517975766e0	5.00000000000000000e0	8.09856071093406626e-1	2.42956821328021988e0	2.20000271281279769e0	1.49999999999999716e1	-1.01389332036917794e-7	1.94664617425566178e-6	1.27902356924016221e-25	-4.54300813619853347e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764490311e-1	5.01481027458013262e-1	1.37984333269011650e0
LEFT	14	25088614	5.48430767805168307e-1	-2.10533934609708728e0	9.25358731418562570e1	3.90454619079633858e0	3.81685452211718086e2	3.81715585273734746e2	3.90453658374052459e0	3.81780626474627240e2	3.83011198085052399e2	-1.32130890142954908e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.88206787092813466e0	2.60212104496613650e0	5.00000000000000000e0	8.09852740424332751e-1	2.42955822127299825e0	2.19999366493224269e0	1.49999999999999716e1	-4.09102924321075935e-7	1.94520066199022068e-6	1.62516379912459446e-30	-4.26147462576215996e-2	4.99999999499999936e-9	0.00000000000000000e0	0.00000000000000000e0	0.00000000000000000e0	1.04086116764478806e-1	5.01087243600506271e-1	1.37838695083176099e0
