role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	22	26062875	5.68251533494397609e-1	9.54698405726414450e1	3.80206443971338047e2	3.80137230462408411e2	3.81442423620666602e2	-1.03597919451330208e-5	4.18991077089512132e0	3.81442423620666222e-10	1.20724562782870478e-9	-4.18992241620856021e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	22	26062876	5.68251533494397720e-1	9.54698405726494315e1	3.80206443971336171e2	3.80137230462408468e2	3.81442423620661941e2	-1.03597919816383519e-5	4.18991077073874774e0	3.81442423620661569e-10	1.14773987185920987e-9	-4.18992241614449767e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	23	26330053	5.73441010765113557e-1	9.40965560710822615e1	3.82846201541776452e2	3.82782187827136852e2	3.84075411491113300e2	-5.58938128364383587e-6	3.83419730508420065e0	3.84075411491112898e-10	1.37579828565113823e-9	-3.83420699987152602e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	23	26330054	5.73441010765113668e-1	9.40965560710742466e1	3.82846201541774519e2	3.82782187827136966e2	3.84075411491108412e2	-5.58938132439052012e-6	3.83419730494005417e0	3.84075411491107987e-10	1.36257928245192915e-9	-3.83420699969173029e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	23	26330055	5.73441010765113668e-1	9.40965560710742466e1	3.82846201541773496e2	3.82782187827136966e2	3.84075411491105854e2	-5.58938134563363464e-6	3.83419730486358068e0	3.84075411491105454e-10	1.37069720089820417e-9	-3.83420699952966970e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	23	26330056	5.73441010765113779e-1	9.40965560710702391e1	3.82846201541772245e2	3.82782187827137022e2	3.84075411491102443e2	-5.58938137580623486e-6	3.83419730476531440e0	3.84075411491102042e-10	1.34154338680220361e-9	-3.83420699960731781e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	24	26330460	5.73448753175886616e-1	9.36839316387104617e1	3.82842954186292616e2	3.82779178960488252e2	3.84071843180746896e2	-4.35282554412795828e-6	3.81770798734486361e0	3.84071843180746521e-10	1.42598114715768895e-9	-3.81771771763021661e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	26330461	5.73448753175886727e-1	9.36839316387024184e1	3.82842954186290967e2	3.82779178960488366e2	3.84071843180743087e2	-4.35282557729098630e-6	3.81770798722594673e0	3.84071843180742747e-10	1.40833368739768104e-9	-3.81771771739215637e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	26330462	5.73448753175886727e-1	9.36839316387023899e1	3.82842954186290115e2	3.82779178960488480e2	3.84071843180740984e2	-4.35282559525996442e-6	3.81770798716167326e0	3.84071843180740627e-10	1.38942114633769971e-9	-3.81771771749919253e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	24	26330463	5.73448753175886727e-1	9.36839316387024041e1	3.82842954186289091e2	3.82779178960488537e2	3.84071843180738199e2	-4.35282562068931482e-6	3.81770798708098980e0	3.84071843180737784e-10	1.38416148670866150e-9	-3.81771771732815068e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
