 time                     v(out)                  
 1.42500000000000431e-05  1.64473583263611767e+00 
 1.43500000000000439e-05  1.64999908667077344e+00 
 1.44500000000000446e-05  1.65526233154924651e+00 
 1.45500000000000453e-05  1.66052556814355423e+00 
 1.46500000000000461e-05  1.66578879724266482e+00 
 1.47500000000000468e-05  1.67105201956040594e+00 
 1.48500000000000476e-05  1.67631523574262253e+00 
 1.49500000000000483e-05  1.68157844637365095e+00 
 1.50500000000000490e-05  1.68684165198217517e+00 
 1.51500000000000498e-05  1.69210485304652924e+00 
 1.52500000000000505e-05  1.69736804999949142e+00 
 1.53500000000000512e-05  1.70263124323262249e+00 
 1.54500000000000503e-05  1.70789443310019218e+00 
 1.55500000000000493e-05  1.71315761992273052e+00 
 1.56500000000000484e-05  1.71842080399024022e+00 
 1.57500000000000474e-05  1.72368398556510494e+00 
 1.58500000000000465e-05  1.72894716488471922e+00 
 1.59500000000000455e-05  1.73421034216386905e+00 
 1.60500000000000445e-05  1.73947351759688451e+00 
 1.61500000000000436e-05  1.74473669135958720e+00 
 1.62500000000000426e-05  1.74999986361105497e+00 
 1.63500000000000417e-05  1.75526303449521492e+00 
 1.64500000000000407e-05  1.76052620414228711e+00 
 1.65500000000000397e-05  1.76578937267008906e+00 
 1.66500000000000388e-05  1.77105254018521818e+00 
 1.67500000000000378e-05  1.77631570678411954e+00 
 1.68500000000000369e-05  1.78157887255405312e+00 
 1.69500000000000359e-05  1.78684203757396776e+00 
 1.70500000000000350e-05  1.79210520191529388e+00 
 1.71500000000000340e-05  1.79736836564265934e+00 
 1.72500000000000330e-05  1.80263152881453648e+00 
 1.73500000000000321e-05  1.80789469148382875e+00 
 1.74500000000000311e-05  1.81315785369840121e+00 
 1.75500000000000302e-05  1.81842101550156077e+00 
 1.76500000000000292e-05  1.82368417693248963e+00 
 1.77500000000000283e-05  1.82894733802663834e+00 
 1.78500000000000273e-05  1.83421049881608123e+00 
 1.79500000000000263e-05  1.83947365932983775e+00 
 1.80500000000000254e-05  1.84473681959416402e+00 
 1.81500000000000244e-05  1.84999997963281504e+00 
 1.82500000000000235e-05  1.85526313946728361e+00 
 1.83500000000000225e-05  1.86052629911701595e+00 
 1.84500000000000216e-05  1.86578945859960577e+00 
 1.85500000000000206e-05  1.87105261793097211e+00 
 1.86500000000000196e-05  1.87631577712551567e+00 
 1.87500000000000187e-05  1.88157893619626826e+00 
 1.88500000000000177e-05  1.88684209515501999e+00 
 1.89500000000000168e-05  1.89210525401243701e+00 
 1.90500000000000158e-05  1.89736841277816937e+00 
 1.91500000000000149e-05  1.90263157146094963e+00 
 1.92500000000000139e-05  1.90789473006867838e+00 
 1.93500000000000129e-05  1.91315788860850367e+00 
 1.94500000000000120e-05  1.91842104708689187e+00 
 1.95500000000000110e-05  1.92368420550969432e+00 
 1.96500000000000101e-05  1.92894736388220478e+00 
 1.97500000000000091e-05  1.93421052220921319e+00 
 1.98500000000000082e-05  1.93947368049505231e+00 
 1.99500000000000072e-05  1.94473683874364323e+00 
 1.99999999999999982e-05  1.94736841785499282e+00 
