runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.008	LL05	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
1086.629	LL05	1085.999978	3.90892827534648379e-1	60.137358	2.952239628441e-4	17270443	false	0	0
1096.645	LL05	1096.021127	3.94060742501859074e-1	60.624730	3.161229283399e-4	17419966	false	0	0
1106.661	LL05	1106.060024	3.96973053438841927e-1	61.072777	2.901027029722e-4	17570937	false	0	0
1116.672	LL05	1116.095581	4.00048228091191338e-1	61.545881	3.064278906670e-4	17722012	false	0	0
1126.687	LL05	1126.105911	4.03180558989751858e-1	62.027778	3.129098513512e-4	17874857	false	0	0
1136.701	LL05	1136.113814	4.06167087643178992e-1	62.487244	2.984170412758e-4	18029507	false	0	0
1146.718	LL05	1146.124628	4.09359941691590512e-1	62.978453	3.189404985992e-4	18179336	false	0	0
1156.728	LL05	1156.171423	4.12363615849925647e-1	63.440556	2.989683932374e-4	18332899	false	0	0
1166.744	LL05	1166.257091	4.15362625847976230e-1	63.901942	2.973536319597e-4	18487305	false	0	0
1176.759	LL05	1176.296746	4.18568525095543875e-1	64.395158	3.193236388837e-4	18636431	false	0	0
1186.776	LL05	1186.395900	4.21452017062031115e-1	64.838772	2.855181591862e-4	18785451	false	0	0
1196.790	LL05	1196.408823	4.24508356613652715e-1	65.308978	3.052394890729e-4	18937779	false	0	0
1206.806	LL05	1206.428801	4.27594250328649783e-1	65.783731	3.079741226329e-4	19085300	false	0	0
1216.823	LL05	1216.513585	4.30503383118676197e-1	66.231290	2.884675239188e-4	19235803	false	0	0
1226.839	LL05	1226.600429	4.33562861377517150e-1	66.701979	3.033137294064e-4	19383716	false	0	0
1236.854	LL05	1236.617117	4.36563571568438447e-1	67.163626	2.995710861161e-4	19531502	false	0	0
1246.869	LL05	1246.655208	4.39550280917158753e-1	67.623120	2.975376066897e-4	19685741	false	0	0
1256.883	LL05	1256.752684	4.42756785285029153e-1	68.116429	3.175550373054e-4	19835580	false	0	0
1266.898	LL05	1266.754692	4.45696181564842309e-1	68.568643	2.938805947169e-4	19986004	false	0	0
