time v(acsrc) v(acn) i(Vac) v(load) v(vb) i(Lboost) v(vd) v(sw) v(gate) v(q) v(en) v(fault) v(vcomp) v(icomp)
1.32590844715259571e-7 4.27829409399995472e-3 -4.20453856754419378e-3 -6.39797227991456552e-6 8.00137023091019482e-26 4.21124749075287150e-16 2.03966847961773513e-9 5.22374267868755546e-13 1.25395200793484639e-7 9.69406821570262977e-10 0.00000000000000000e0 1.40779337255100529e-19 4.99999951240895069e0 -4.61890491043910957e-288 1.16411818036889536e0
1.37255160852830297e-7 4.42776954918262886e-3 -4.35347446441082444e-3 -6.39798077584421976e-6 9.47732300843639535e-26 4.98806474223004605e-16 2.25504221175687850e-9 5.96946535425443965e-13 1.43733594100563819e-7 1.10461433706078644e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048717308321e0 -4.61888435790675519e-288 1.19556188961976972e0
1.41889937664748220e-7 4.57630428339407102e-3 -4.50146122959459421e-3 -6.39798929908536040e-6 1.11482053240262916e-25 5.86747648744444790e-16 2.48255602131072704e-9 6.78371056899778008e-13 1.63834771654551434e-7 1.25172121553140774e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951324718506e0 -4.61886393562516566e-288 1.22627299463398121e0
1.46549924365962690e-7 4.72565256562796580e-3 -4.65024731277894916e-3 -6.39799795399201288e-6 1.30533903934448436e-25 6.87020547153946807e-16 2.72512770311141565e-9 7.68011991303811466e-13 1.86050411167822013e-7 1.41309895736375794e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048633517835e0 -4.61884340235198565e-288 1.25662420257437613e0
1.51188372861421221e-7 4.87431584816069158e-3 -4.79834043477082341e-3 -6.39800665920217670e-6 1.51948363901215781e-25 7.99728231210978802e-16 2.98056745031610561e-9 8.65390607664548275e-13 2.10277764888582973e-7 1.58778786357205905e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951408403476e0 -4.61882296407319028e-288 1.28631934755331234e0
1.55845204877968102e-7 5.02357329688542156e-3 -4.94701552252257200e-3 -6.39801549364923949e-6 1.76127913734744389e-25 9.26989019832677357e-16 3.25126874650275740e-9 9.71753444430925289e-13 2.36843782331945280e-7 1.77792223268762976e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048549876563e0 -4.61880244488258569e-288 1.31562338804025236e0
1.60486333005544031e-7 5.17233203979665032e-3 -5.09518462027758016e-3 -6.39802439853301430e-6 2.03127855067874797e-25 1.06909397424457423e-15 3.53545007483053866e-9 1.08674433155750575e-12 2.65677356339706082e-7 1.98275871299174118e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951491948647e0 -4.61878199497807876e-288 1.34433002537435509e0
1.65140866638145490e-7 5.32152475876783958e-3 -5.24377739282913015e-3 -6.39803343323308571e-6 2.33357695867963878e-25 1.22819839953843079e-15 3.83505149378543008e-9 1.21149568759600846e-12 2.97081252043985044e-7 2.20420384547707266e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048466382552e0 -4.61876148609675104e-288 1.37262822581339483e0
1.69783950003060764e-7 5.47035441026026172e-3 -5.39200067316367507e-3 -6.39804255566506219e-6 2.66909950896351649e-25 1.40478921551086597e-15 4.14862915588036795e-9 1.34576255902643634e-12 3.31013702989358073e-7 2.44170741815763254e-9 0.00000000000000000e0 1.40779337255100529e-19 4.99999951575353041e0 -4.61874102775856901e-288 1.40037492101266525e0
1.74436808638479361e-7 5.61950101294268929e-3 -5.54053239978208670e-3 -6.39805181139319057e-6 3.04200148580746958e-25 1.60105341388707901e-15 4.47773520143696535e-9 1.49056934009023834e-12 3.67754499111109132e-7 2.69696210154916619e-9 0.00000000000000000e0 1.40779337255100529e-19 5.00000048383034734e0 -4.61872052643958795e-288 1.42770546465782600e0
