time_s v_ac_v i_ac_a v_load_v i_load_a v_b_v i_l_a v_d_v v_ds_v v_gs_v armed on
1.29453143792444445e-5 8.28205748364071348e-1 2.48984284800801703e-5 4.14033138095913764e-19 2.17912177945217760e-21 2.17912177986621086e-9 1.69957872138298238e-5 3.90348003220316307e-8 6.28160063729007040e-2 3.92892356045434189e-5 0.00000000000000000e0 0.00000000000000000e0
1.34453143792444448e-5 8.60194109678374730e-1 2.87236240852362101e-5 5.29761089926721334e-19 2.78821626277221749e-21 2.78821626330197886e-9 2.03823066580181848e-5 4.77905315332761878e-8 7.99011685885248624e-2 4.75828328933369473e-5 0.00000000000000000e0 0.00000000000000000e0
1.39453143792444451e-5 8.92182440429486134e-1 3.23594855999864706e-5 6.68480067956206095e-19 3.51831614713792709e-21 3.51831614780640709e-9 2.36279837151517350e-5 5.66368756756974944e-8 1.00017909521420575e-1 5.56816694907280715e-5 0.00000000000000000e0 0.00000000000000000e0
1.44453143792444454e-5 9.24170739480842052e-1 3.55658540294179204e-5 8.29315571825625984e-19 4.36481879908224205e-21 4.36481879991155770e-9 2.64930975822462439e-5 6.50114194830432858e-8 1.22927941938092825e-1 6.30249129368727580e-5 0.00000000000000000e0 0.00000000000000000e0
1.49453143792444457e-5 9.56159005695879194e-1 3.81896094503453298e-5 1.00995760495744286e-18 5.31556634188127794e-21 5.31556634289123644e-9 2.88505322368147303e-5 7.24443912974786847e-8 1.48225317760478675e-1 6.91913075377126172e-5 0.00000000000000000e0 0.00000000000000000e0
1.54453143792444443e-5 9.88147237938036160e-1 4.02078456338550438e-5 1.20718025108221646e-18 6.35358026885377102e-21 6.35358027006095169e-9 3.06911942034511734e-5 7.87285339897002978e-8 1.75441860841520414e-1 7.40799426083253308e-5 0.00000000000000000e0 0.00000000000000000e0
1.54900268227129443e-5 9.91007780296199070e-1 4.03668036283999498e-5 1.22553164247830316e-18 6.45016653935949032e-21 6.45016654058502200e-9 3.08307458877014174e-5 7.92328944306381991e-8 1.77956654575491258e-1 7.44556699227831592e-5 0.00000000000000000e0 0.00000000000000000e0
1.54901268227129445e-5 9.91014177938544849e-1 4.03672091999762728e-5 1.22557280142548849e-18 6.45038316539730783e-21 6.45038316662288054e-9 3.08310537151394972e-5 7.92340117481760696e-8 1.77962291763741565e-1 7.44564989043773850e-5 0.00000000000000000e0 0.00000000000000000e0
1.54903268227129449e-5 9.91026973223232410e-1 4.03680062639466541e-5 1.22565512033847002e-18 6.45081642283405248e-21 6.45081642405970819e-9 3.08316693376273736e-5 7.92362462885530906e-8 1.77973566252855653e-1 7.44581567679739254e-5 0.00000000000000000e0 0.00000000000000000e0
1.54907268227129458e-5 9.91052563792590435e-1 4.03695351731681029e-5 1.22581976427541919e-18 6.45168296987062752e-21 6.45168297109644692e-9 3.08329003884233980e-5 7.92407148010011232e-8 1.77996115906530639e-1 7.44614718962746105e-5 0.00000000000000000e0 0.00000000000000000e0
