wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
592.967415	2.38186333329654221e-1	36.644051	3.103268393647e-4	9490553	false	0	0
603.067814	2.41381182676953548e-1	37.135567	3.163091982869e-4	9647912	false	0	0
613.119138	2.44660907520805632e-1	37.640140	3.262977895315e-4	9804909	false	0	0
623.179078	2.47818187728169270e-1	38.125875	3.138468319897e-4	9965290	false	0	0
633.235837	2.51163807802038230e-1	38.640586	3.326737745956e-4	10120363	false	0	0
643.275924	2.54293073676292336e-1	39.122011	3.116771762300e-4	10279449	false	0	0
653.362521	2.57445452260675778e-1	39.606993	3.125314196649e-4	10438299	false	0	0
663.384557	2.60775947734978919e-1	40.119377	3.323172600615e-4	10593092	false	0	0
673.485856	2.63923761912984056e-1	40.603656	3.116246856928e-4	10753615	false	0	0
683.528057	2.67244366069794792e-1	41.114518	3.306650052257e-4	10909776	false	0	0
693.556472	2.70434731225802971e-1	41.605343	3.181325115920e-4	11067846	false	0	0
703.599421	2.73571535894457429e-1	42.087929	3.123390189107e-4	11227435	false	0	0
713.643472	2.76951014367541215e-1	42.607848	3.364656697690e-4	11381789	false	0	0
723.690935	2.80085743787429953e-1	43.090114	3.119921389102e-4	11541772	false	0	0
733.764150	2.83332294814139685e-1	43.589584	3.222954207765e-4	11697826	false	0	0
743.794211	2.86591936219129650e-1	44.091067	3.249871856980e-4	11853923	false	0	0
753.864266	2.89653610933312822e-1	44.562094	3.040375540587e-4	12010306	false	0	0
763.920941	2.92966536535657296e-1	45.071775	3.294255491702e-4	12160552	false	0	0
773.998107	2.96004341705808749e-1	45.539129	3.014542959541e-4	12314707	false	0	0
784.059249	2.99046787911823375e-1	46.007198	3.023957290249e-4	12467775	false	0	0
794.102824	3.02302125100464114e-1	46.508019	3.241213586823e-4	12616676	false	0	0
804.199651	3.05307888176817199e-1	46.970444	2.976938202397e-4	12770632	false	0	0
814.229315	3.08434129309177185e-1	47.451405	3.116994865699e-4	12920405	false	0	0
824.293405	3.11558511786396486e-1	47.932079	3.104485827551e-4	13070810	false	0	0
834.377284	3.14537556708133492e-1	48.390393	2.954264685159e-4	13223407	false	0	0
844.425266	3.17775403437925763e-1	48.888524	3.222385322218e-4	13372027	false	0	0
854.454365	3.20760658382007846e-1	49.347794	2.976593367247e-4	13522934	false	0	0
864.471026	3.23723904289352826e-1	49.803678	2.958316858603e-4	13673920	false	0	0
874.548046	3.26969103707002162e-1	50.302939	3.220396061155e-4	13822399	false	0	0
884.577605	3.29920286073119795e-1	50.756967	2.942484798005e-4	13974281	false	0	0
894.684742	3.32988197436452804e-1	51.228953	3.035390968538e-4	14125069	false	0	0
904.783028	3.36150690015053377e-1	51.715491	3.131712076698e-4	14274885	false	0	0
914.829397	3.39101233636681654e-1	52.169421	2.936925587266e-4	14426893	false	0	0
924.857424	3.42267364015334030e-1	52.656518	3.157281452664e-4	14575959	false	0	0
934.872763	3.45295137293570642e-1	53.122329	3.023135976594e-4	14725746	false	0	0
944.937957	3.48261661620167751e-1	53.578717	2.947309624149e-4	14878503	false	0	0
955.006106	3.51492679537674990e-1	54.075797	3.209147828897e-4	15026178	false	0	0
965.086004	3.54489310097354848e-1	54.536817	2.972877933886e-4	15179590	false	0	0
975.159482	3.57501919217591835e-1	55.000295	2.990634486512e-4	15331012	false	0	0
985.222788	3.60695675774019509e-1	55.491642	3.173665363490e-4	15479627	false	0	0
995.290946	3.63659700593124746e-1	55.947646	2.943959441870e-4	15632480	false	0	0
1005.367327	3.66788983661517076e-1	56.429074	3.105562612834e-4	15783150	false	0	0
1015.374513	3.69886995164907917e-1	56.905692	3.095786819283e-4	15933095	false	0	0
1025.466971	3.72861422829008138e-1	57.363296	2.947178493823e-4	16086215	false	0	0
1035.525470	3.76073398020678407e-1	57.857446	3.193294750123e-4	16234685	false	0	0
1045.619812	3.79068480645018413e-1	58.318228	2.967090695208e-4	16386641	false	0	0
1055.686177	3.82024227106619596e-1	58.772958	2.936259729025e-4	16538153	false	0	0
1065.696415	3.85231104489820231e-1	59.266324	3.203597553480e-4	16685296	false	0	0
1075.746857	3.88166539508101760e-1	59.717929	2.920702641338e-4	16836733	false	0	0
1085.810842	3.91195410400176580e-1	60.183909	3.009613728155e-4	16986527	false	0	0
1095.846185	3.94334618700771855e-1	60.666864	3.128152471316e-4	17135210	false	0	0
1105.865703	3.97246787726970862e-1	61.114890	2.906496283993e-4	17285927	false	0	0
1115.933342	4.00396703471524451e-1	61.599493	3.128752925159e-4	17436001	false	0	0
