 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(drv_req)               v(drv)                   v(gate)                 
 2.56990364382477632e-01  5.00000000000000000e+00  8.39860403445413795e-01  0.00000000000000000e+00  2.51958121033624138e+00  2.29052837303294643e+00  1.50000000000000000e+01  5.69380493891481852e-03  1.74309887719048827e-07 
 2.56990364385045966e-01  5.00000000000000000e+00  8.52702075615496824e-01  0.00000000000000000e+00  2.55810622684649047e+00  2.32555111531499126e+00  1.50000000000000000e+01  7.74748550617424155e-03  3.04156214117157649e-07 
 2.56990364390182691e-01  5.00000000000000000e+00  8.78385697511419039e-01  0.00000000000000000e+00  2.63515709253425712e+00  2.39559735684932429e+00  1.50000000000000000e+01  1.18539261301072191e-02  6.82859985202023036e-07 
 2.56990364400456139e-01  5.00000000000000000e+00  9.29752941303263469e-01  0.00000000000000000e+00  2.78925882390979041e+00  2.53568983991799124e+00  1.50000000000000000e+01  2.00631267255632281e-02  1.91611118860778393e-06 
 2.56990364421002981e-01  5.00000000000000000e+00  1.03248715133119617e+00  0.00000000000000000e+00  3.09746145399358852e+00  2.81587404908508043e+00  1.50000000000000000e+01  3.64668164187411728e-02  6.28438285096274757e-06 
 2.56990364462096665e-01  5.00000000000000000e+00  1.23795557138706158e+00  0.00000000000000000e+00  3.71386671416118475e+00  3.37624246741925838e+00  1.50000000000000000e+01  6.92154385885593998e-02  2.26151777550518407e-05 
 2.56990364544284033e-01  5.00000000000000000e+00  1.64889241149879240e+00  0.00000000000000000e+00  4.94667723449637720e+00  4.49697930408761515e+00  1.50000000000000000e+01  1.34478362328642298e-01  8.55514523706492217e-05 
 2.56990364708658825e-01  5.00000000000000000e+00  2.47076636927801019e+00  0.00000000000000000e+00  7.41229910783403056e+00  6.73845373439457251e+00  1.50000000000000000e+01  2.64072562843817416e-01  3.31708658140296550e-04 
 2.56990364908040336e-01  5.00000000000000000e+00  3.46767392578328781e+00  9.96907679790609222e-05  1.04030217773498634e+01  9.45729252486351157e+00  1.50000000000000000e+01  4.19612854261424806e-01  8.43558033618549354e-04 
 2.56990365105656926e-01  5.00000000000000000e+00  4.45575687457733238e+00  2.97307380485718037e-04  1.33672706237319971e+01  1.21520642033927242e+01  1.50000000000000000e+01  5.72006636124000600e-01  1.57884024623181616e-03 
 2.56990365301097257e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.92747695883033899e-04  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  7.21009343977415229e-01  2.52635163862074312e-03 
 2.56990365541439114e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.33089549063867534e-04  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  9.01939349249778477e-01  3.98763552467029225e-03 
 2.56990366022122829e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.21377325542553469e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  1.25632005361997967e+00  7.86839790993471185e-03 
 2.56990366782433699e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.97408412190973239e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  1.79707824512638337e+00  1.65307423872563704e-02 
 2.56990367711203649e-01  5.00000000000000000e+00  5.00000000000000000e+00  2.90285409635984660e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  2.42609654961085708e+00  3.11176388083351657e-02 
 2.56990368907399291e-01  5.00000000000000000e+00  5.00000000000000000e+00  4.09904973225013337e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  3.18794584747227105e+00  5.59849237150061227e-02 
 2.56990370325864526e-01  5.00000000000000000e+00  5.00000000000000000e+00  5.51751495115174618e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  4.02557090171952492e+00  9.36726166633955470e-02 
 2.56990372086480789e-01  5.00000000000000000e+00  5.00000000000000000e+00  7.27813118995136298e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  4.97416322620825646e+00  1.51645837361848418e-01 
 2.56990374157899659e-01  5.00000000000000000e+00  5.00000000000000000e+00  9.34955003227673324e-03  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  5.97353235467006183e+00  2.33936441839686177e-01 
 2.56990376668009446e-01  5.00000000000000000e+00  5.00000000000000000e+00  1.18596598234683229e-02  1.50000000000000000e+01  1.36363636363636349e+01  1.50000000000000000e+01  7.03526099463703236e+00  3.51228235223556395e-01 
