 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(drv_req)               v(drv)                   v(gate)                 
 2.56990364388137715e-01  5.00000000000000000e+00  8.68160821010377504e-01  0.00000000000000000e+00  2.60448246303113251e+00  2.36771133002830192e+00  1.50000000000000018e+01  1.24089088260349485e-02  1.13091451976868969e-06 
 2.56990364390797976e-01  5.00000000000000000e+00  8.81462125512655348e-01  0.00000000000000000e+00  2.64438637653796604e+00  2.40398761503451430e+00  1.50000000000000018e+01  1.45350429920149318e-02  1.40049956085952824e-06 
 2.56990364396118498e-01  5.00000000000000000e+00  9.08064734517211036e-01  0.00000000000000000e+00  2.72419420355163311e+00  2.47654018504693907e+00  1.50000000000000018e+01  1.87863242423210730e-02  2.06728008385126129e-06 
 2.56990364406759597e-01  5.00000000000000000e+00  9.61270230082078569e-01  0.00000000000000000e+00  2.88381069024623571e+00  2.62164608204203242e+00  1.50000000000000018e+01  2.72849399600948971e-02  3.91105985590157200e-06 
 2.56990364428041795e-01  5.00000000000000000e+00  1.06768122121181364e+00  0.00000000000000000e+00  3.20304366363544091e+00  2.91185787603221868e+00  1.50000000000000018e+01  4.42663966058033723e-02  9.63771127917376289e-06 
 2.56990364470606192e-01  5.00000000000000000e+00  1.28050320347128377e+00  0.00000000000000000e+00  3.84150961041385131e+00  3.49228146401259165e+00  1.50000000000000018e+01  7.81663093309639262e-02  2.92331377711854032e-05 
 2.56990364555734985e-01  5.00000000000000000e+00  1.70614716799022403e+00  0.00000000000000000e+00  5.11844150397067210e+00  4.65312863997333803e+00  1.50000000000000018e+01  1.45714919042697399e-01  1.00878858774738691e-04 
 2.56990364702201546e-01  5.00000000000000000e+00  2.43847997349888601e+00 -3.99858412407606946e-23  7.31543992049665803e+00  6.65039992772423361e+00  1.50000000000000018e+01  2.61154703486903061e-01  3.24796116760199787e-04 
 2.56990364895669454e-01  5.00000000000000000e+00  3.40581951530083415e+00  9.67339470425353188e-05  1.02174585459025025e+01  9.28859867809318374e+00  1.50000000000000018e+01  4.12140143779052226e-01  8.13929384510526303e-04 
 2.56990365085008665e-01  5.00000000000000000e+00  4.35251557018290214e+00  2.86073138284520469e-04  1.30575467105487064e+01  1.18704970095897320e+01  1.50000000000000018e+01  5.58267507341707381e-01  1.50338165980632853e-03 
