role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
LEFT	5	23404458	5.18285240597946451e-1	9.61856862609703001e1	-1.05929392180654247e0	-8.59195947209506983e0	3.71367269857139206e2	3.71420773218880242e2	8.59194831313557827e0	3.71555276290759878e2	3.72861280841267785e2	-5.26470565144295168e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32816154684015553e0	3.36319620055720181e0
GROUP	5	23404459	5.18285240597946562e-1	9.61856862602861469e1	-1.05929392249464627e0	-8.59195947118264769e0	3.71367269857139547e2	3.71420773218880583e2	8.59194831298845330e0	3.71555276290758002e2	3.72861280841263863e2	-5.26470568320862352e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32816154684015597e0	3.36319620055658630e0
GROUP	5	23404460	5.18285240597946562e-1	9.61856862610751620e1	-1.05929392170563119e0	-8.59195945495370239e0	3.71367269857139661e2	3.71420773218880697e2	8.59194831291071637e0	3.71555276290757092e2	3.72861280841261760e2	-5.26470570092455732e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32816154684015642e0	3.36319620055626078e0
RIGHT	5	23404461	5.18285240597946673e-1	9.61856862597066709e1	-1.05929392308203774e0	-8.59195945921116788e0	3.71367269857139775e2	3.71420773218880811e2	8.59194831281018523e0	3.71555276290756069e2	3.72861280841258974e2	-5.26470572391369558e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32816154684015686e0	3.36319620055583934e0
LEFT	6	23406025	5.18316249835523712e-1	9.77994973483404380e1	-1.06468213036025361e0	-8.81225826748637076e0	3.71350060866945228e2	3.71403561749364826e2	8.81224728456099982e0	3.71541339878750705e2	3.72850464164304071e2	-1.30308233452788086e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32840445527410589e0	3.42846867809732636e0
GROUP	6	23406026	5.18316249835523823e-1	9.77994973497667672e1	-1.06468212894176872e0	-8.81225824786503154e0	3.71350060866945512e2	3.71403561749365110e2	8.81224728442787253e0	3.71541339878749113e2	3.72850464164300661e2	-1.30308233677361220e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32840445527410678e0	3.42846867809674904e0
GROUP	6	23406027	5.18316249835523823e-1	9.77994973526206479e1	-1.06468212608788804e0	-8.81225824771825472e0	3.71350060866945739e2	3.71403561749365338e2	8.81224728436015425e0	3.71541339878748374e2	3.72850464164298785e2	-1.30308233808448784e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32840445527410678e0	3.42846867809645595e0
RIGHT	6	23406028	5.18316249835523934e-1	9.77994973513223016e1	-1.06468212738623436e0	-8.81225822388750402e0	3.71350060866945910e2	3.71403561749365508e2	8.81224728427262605e0	3.71541339878747408e2	3.72850464164296170e2	-1.30308233992121814e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32840445527410633e0	3.42846867809607581e0
LEFT	7	23664271	5.23358572808415135e-1	9.73840217675439987e1	-1.05558015062679544e0	-8.44071968037589215e0	3.76168933738905309e2	3.76223128882557319e2	8.44071063107715247e0	3.76355511775540776e2	3.77659360886934905e2	-1.25718397094167737e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32706638926877662e0	3.44480405525803901e0
GROUP	7	23664272	5.23358572808415246e-1	9.73840217668688695e1	-1.05558015129408034e0	-8.44071968784000326e0	3.76168933738905707e2	3.76223128882557717e2	8.44071063094268403e0	3.76355511775539128e2	3.77659360886931154e2	-1.25718397354964251e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32706638926877662e0	3.44480405525715350e0
GROUP	7	23664273	5.23358572808415246e-1	9.73840217672547794e1	-1.05558015090817037e0	-8.44071971519775133e0	3.76168933738905764e2	3.76223128882557774e2	8.44071063087517715e0	3.76355511775538162e2	3.77659360886929278e2	-1.25718397487293176e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.32706638926877618e0	3.44480405525670896e0
