wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
271.176452	1.33773987254160620e-1	20.580613	3.075394113000e-4	4523171	false
281.192168	1.36824650708590068e-1	21.049946	3.045876618091e-4	4677245	false
291.215462	1.39888416899145357e-1	21.521295	3.056645975841e-4	4832172	false
301.258961	1.43032179981691099e-1	22.004951	3.130147255001e-4	4986506	false
311.284077	1.46073663621463179e-1	22.472871	3.033863963915e-4	5140841	false
321.359751	1.49103019437882900e-1	22.938926	3.006603556871e-4	5295072	false
331.437445	1.52196869388334100e-1	23.414903	3.069997972368e-4	5446242	false
341.524952	1.55257224799506072e-1	23.885727	3.033807409269e-4	5601245	false
351.608776	1.58326060641537619e-1	24.357855	3.043325558733e-4	5754445	false
361.663135	1.61401010677430151e-1	24.830925	3.058325133384e-4	5906569	false
371.755974	1.64449467926794379e-1	25.299918	3.020415971769e-4	6061120	false
381.834955	1.67574386682273757e-1	25.780675	3.100431354862e-4	6212397	false
391.931718	1.70587361006237004e-1	26.244209	2.984099210173e-4	6366097	false
402.000696	1.73615685325549718e-1	26.710105	3.007578643347e-4	6519809	false
412.065712	1.76741022408004322e-1	27.190927	3.105148776653e-4	6670538	false
422.103422	1.79742528029602333e-1	27.652697	2.990229379294e-4	6822768	false
432.115111	1.82794280547943638e-1	28.122197	3.048189388261e-4	6976909	false
442.130191	1.85969779208097374e-1	28.610735	3.170717310717e-4	7130480	false
452.175542	1.89029276053911954e-1	29.081427	3.045684362661e-4	7285533	false
462.176575	1.92143442393342551e-1	29.560530	3.113844627591e-4	7436632	false
472.196852	1.95241159033984396e-1	30.037101	3.091447995612e-4	7592155	false
482.262577	1.98362994436841494e-1	30.517384	3.101451282094e-4	7750910	false
492.278432	2.01579784428779940e-1	31.012275	3.211697992189e-4	7904324	false
502.280270	2.04669285166195869e-1	31.487582	3.088932849776e-4	8060952	false
512.343613	2.07734937951182225e-1	31.959221	3.046356225463e-4	8215711	false
522.425171	2.10934718742738780e-1	32.451495	3.173895019535e-4	8368881	false
532.526113	2.14043585400326392e-1	32.929782	3.077798817707e-4	8526618	false
542.529388	2.17215177108080887e-1	33.417720	3.170553470389e-4	8678565	false
552.629318	2.20299119205670690e-1	33.892172	3.053429179796e-4	8833442	false
562.722937	2.23442573341599532e-1	34.375781	3.114298295776e-4	8993809	false
572.731067	2.26687943211599074e-1	34.875068	3.242733473856e-4	9146113	false
582.779050	2.29832621896315759e-1	35.358865	3.129661823991e-4	9306061	false
592.812710	2.33009125019905977e-1	35.847558	3.165846777598e-4	9464084	false
602.830546	2.36262246878942983e-1	36.348038	3.247329827060e-4	9620933	false
612.853221	2.39424941700551314e-1	36.834606	3.155539792905e-4	9781940	false
622.897909	2.42753984238194831e-1	37.346767	3.314231664204e-4	9938196	false
632.960540	2.45922570518101291e-1	37.834242	3.148864756359e-4	10098961	false
642.979859	2.49064729255578682e-1	38.317651	3.136100236206e-4	10258030	false
653.001230	2.52403047743797071e-1	38.831238	3.331199368058e-4	10414514	false
663.100223	2.55581980821399213e-1	39.320305	3.147772153211e-4	10577153	false
673.118397	2.58886219200966938e-1	39.828649	3.298244287606e-4	10734348	false
683.121016	2.62058132785170372e-1	40.316636	3.171083051232e-4	10892596	false
693.215130	2.65175481571228167e-1	40.796228	3.088283725574e-4	11051482	false
703.310109	2.68498438991084665e-1	41.307452	3.291693042775e-4	11204609	false
713.398432	2.71530696229167590e-1	41.773953	3.005710005690e-4	11359156	false
723.499689	2.74555216108329114e-1	42.239264	2.994201616709e-4	11508724	false
733.499701	2.77670972508457903e-1	42.718611	3.115752687086e-4	11655685	false
743.576527	2.80643399450139497e-1	43.175908	2.949765113096e-4	11807612	false
753.675055	2.83741394932866653e-1	43.652522	3.067769124134e-4	11954955	false
763.752096	2.86739041726743915e-1	44.113699	2.974729416578e-4	12102814	false
773.832290	2.89653903235458421e-1	44.562139	2.891671842665e-4	12252400	false
783.930453	2.92819154816331417e-1	45.049101	3.134482533959e-4	12398767	false
794.002232	2.95734879058096201e-1	45.497674	2.894944702716e-4	12547182	false
804.077268	2.98645735412853441e-1	45.945498	2.889177041544e-4	12696347	false
814.134596	3.01842811407573741e-1	46.437356	3.178852362718e-4	12844460	false
824.136725	3.04794876608216414e-1	46.891519	2.951436765969e-4	12996228	false
834.157790	3.07791385404486306e-1	47.352521	2.990209894010e-4	13145900	false
844.213855	3.10853820724563523e-1	47.823665	3.045361753390e-4	13291764	false
854.312364	3.13750798276181020e-1	48.269354	2.868717954484e-4	13441686	false
864.391482	3.16729536627251285e-1	48.727621	2.955356054215e-4	13587097	false
874.400844	3.19792556571567355e-1	49.198855	3.060155180044e-4	13736305	false
884.406448	3.22719474669938833e-1	49.649150	2.925278759868e-4	13887328	false
894.412700	3.25815213557204886e-1	50.125417	3.093804627619e-4	14033541	false
904.428692	3.28738651457731013e-1	50.575177	2.918770324736e-4	14181742	false
914.529124	3.31562194828281642e-1	51.009568	2.795467915441e-4	14327456	false
924.606578	3.34677714877266219e-1	51.488879	3.091574516405e-4	14472456	false
934.679148	3.37591884308339030e-1	51.937213	2.893173466103e-4	14622205	false
944.689492	3.40516006103464552e-1	52.387078	2.921100464401e-4	14771903	false
954.690682	3.43614457365889581e-1	52.863763	3.098082461732e-4	14916391	false
964.781517	3.46503290429812594e-1	53.308199	2.862828643250e-4	15065550	false
974.879922	3.49455309085583143e-1	53.762355	2.923252378752e-4	15213713	false
984.974173	3.52513808908702597e-1	54.232894	3.029942226169e-4	15359496	false
995.077427	3.55375090367598512e-1	54.673091	2.832039646438e-4	15507168	false
1005.092393	3.58392670494648680e-1	55.137334	3.013070765343e-4	15654933	false
1015.112861	3.61463182011398487e-1	55.609720	3.064239465636e-4	15805039	false
1025.131683	3.64397687041291718e-1	56.061183	2.928991995632e-4	15957098	false
1035.212207	3.67308048899528117e-1	56.508931	2.887113664167e-4	16095187	false
1045.304573	3.70223423843758281e-1	56.957450	2.888693431160e-4	16241571	false
1055.352544	3.73047319238591690e-1	57.391895	2.810413594907e-4	16387870	false
1065.368572	3.76192004873581232e-1	57.875693	3.139653424540e-4	16534531	false
1075.375333	3.79138833632265859e-1	58.329051	2.944837520806e-4	16686044	false
1085.380827	3.82033806466623882e-1	58.774432	2.893383185621e-4	16835582	false
1095.416606	3.85212833732662407e-1	59.263513	3.167693733016e-4	16983576	false
1105.509355	3.88135565420434259e-1	59.713164	2.895872817214e-4	17134841	false
1115.513710	3.91064116835735165e-1	60.163710	2.927276403472e-4	17281794	false
1125.562558	3.94211017739833247e-1	60.647849	3.131603763469e-4	17431978	false
1135.607726	3.97187722066245530e-1	61.105803	2.963319739828e-4	17586096	false
1145.701006	4.00265579738477761e-1	61.579320	3.049412737410e-4	17735107	false
1155.701012	4.03227043853097433e-1	62.034930	2.961462078615e-4	17881414	false
1165.791797	4.06143898282247839e-1	62.483677	2.890612163297e-4	18032299	false
1175.811811	4.09235418124589634e-1	62.959295	3.085344653368e-4	18177508	false
1185.848563	4.12022611957107654e-1	63.388094	2.776987973781e-4	18319119	false
1195.934362	4.14841952498841315e-1	63.821839	2.795356568546e-4	18464768	false
1206.034428	4.17972916163776631e-1	64.303526	3.099943870143e-4	18610355	false
1216.107016	4.20825077842425177e-1	64.742320	2.831607628696e-4	18757220	false
1226.186135	4.23648600547553544e-1	65.176708	2.801358612670e-4	18902387	false
1236.251290	4.26715981936927335e-1	65.648613	3.047525137553e-4	19044747	false
1246.340315	4.29624082683568054e-1	66.096013	2.882440040364e-4	19194841	false
1256.429278	4.32526342196194735e-1	66.542514	2.876667694150e-4	19342197	false
1266.431065	4.35623407965890552e-1	67.018986	3.096512358220e-4	19487602	false
1276.529496	4.38523032814206071e-1	67.465082	2.871361937152e-4	19637417	false
1286.615384	4.41510676339582797e-1	67.924719	2.962201497521e-4	19785195	false
1296.713210	4.44548956004495344e-1	68.392147	3.008845496042e-4	19931261	false
1306.811771	4.47360566151546235e-1	68.824702	2.784169189812e-4	20076922	false
1316.832024	4.50386913502170805e-1	69.290294	3.020230440161e-4	20222626	false
1326.929450	4.53430397614615510e-1	69.758523	3.014118684397e-4	20373245	false
1336.950443	4.56352564950896766e-1	70.208087	2.916045693804e-4	20524448	false
1347.047565	4.59494840057579790e-1	70.691514	3.112050226642e-4	20670833	false
1357.134260	4.62402922303408737e-1	71.138911	2.883087427492e-4	20820137	false
1367.194028	4.65226519368715175e-1	71.573311	2.806821035044e-4	20965854	false
1377.277250	4.68156369689048890e-1	72.024057	2.905668931750e-4	21100952	false
1387.354707	4.70919786427714815e-1	72.449198	2.742176740360e-4	21243270	false
1397.427614	4.73700111777297650e-1	72.876940	2.760201296877e-4	21386285	false
1407.523001	4.76769479366050630e-1	73.349151	3.040366708859e-4	21528439	false
1417.552326	4.79703786048863434e-1	73.800582	2.925726915490e-4	21680106	false
1427.598885	4.82716068991862646e-1	74.264011	2.998322876715e-4	21831262	false
1437.605477	4.85752128639809821e-1	74.731097	3.034059671663e-4	21975063	false
1447.689393	4.88589569059885820e-1	75.167626	2.813828029656e-4	22122039	false
1457.699015	4.91507730020144529e-1	75.616574	2.915355804903e-4	22266186	false
1467.721276	4.94558779021848471e-1	76.085966	3.044272046327e-4	22413106	false
1477.811877	4.97362654768433166e-1	76.517332	2.778700351004e-4	22558515	false
1487.875378	5.00275198900900886e-1	76.965415	2.894165961549e-4	22698679	false
1492.048151	5.01576341947516435e-1	77.165591	3.118173970424e-4	22759007	true
