role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
RIGHT	4	23026068	5.06775395445279497e-1	9.31073635302365119e1	-9.33208969194322058e-1	-3.84664052824666669e0	3.79616022622104026e2	3.79645992308100460e2	3.84663094501870084e0	3.79710137288099361e2	3.80939588803681545e2	-1.28199834786493631e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87674609030848760e0	2.58627112900982148e0
LEFT	5	23026866	5.06790867820901547e-1	9.22832861440780192e1	-9.31688043609735894e-1	-3.79619986975728807e0	3.79610168745204987e2	3.79640137969053228e2	3.79619021481223662e0	3.79703532997410775e2	3.80932002139004908e2	-5.49614388219230986e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87669235931799339e0	2.56583424832246054e0
GROUP	5	23026867	5.06790867820901658e-1	9.22832861437081675e1	-9.31688043975568037e-1	-3.79619986963285783e0	3.79610168745205101e2	3.79640137969053342e2	3.79619021464853601e0	3.79703532997408558e2	3.80932002138999394e2	-5.49614392895840411e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87669235931799383e0	2.56583424832146623e0
GROUP	5	23026868	5.06790867820901658e-1	9.22832861455227231e1	-9.31688042160985885e-1	-3.79619986938507736e0	3.79610168745205272e2	3.79640137969053512e2	3.79619021456244976e0	3.79703532997407422e2	3.80932002138996609e2	-5.49614395270293144e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87669235931799383e0	2.56583424832094398e0
RIGHT	5	23026869	5.06790867820901769e-1	9.22832861442187919e1	-9.31688043456847970e-1	-3.79619986943703225e0	3.79610168745205499e2	3.79640137969053740e2	3.79619021445035987e0	3.79703532997405830e2	3.80932002138992914e2	-5.49614398399943935e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87669235931799383e0	2.56583424832026408e0
LEFT	6	23170898	5.09912329090649208e-1	-2.20474264768677397e0	9.29543213352456519e1	4.20638827505819357e0	3.77333898695539858e2	3.77363688213857870e2	4.20637669940468761e0	3.77433089252181219e2	3.78669375581779491e2	-1.09562703108058855e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87890159158485748e0	2.59685265459194037e0
GROUP	6	23170899	5.09912329090649319e-1	-2.20474264719237745e0	9.29543213357440408e1	4.20638827494097622e0	3.77333898695539972e2	3.77363688213857984e2	4.20637669924021740e0	3.77433089252179059e2	3.78669375581774318e2	-1.09562703501650044e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87890159158485792e0	2.59685265459120895e0
GROUP	6	23170900	5.09912329090649319e-1	-2.20474264756173932e0	9.29543213353746864e1	4.20638827477842980e0	3.77333898695540029e2	3.77363688213858040e2	4.20637669915555712e0	3.77433089252177922e2	3.78669375581771533e2	-1.09562703708336620e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87890159158485748e0	2.59685265459083237e0
RIGHT	6	23170901	5.09912329090649430e-1	-2.20474264856076729e0	9.29543213343836641e1	4.20638827473596155e0	3.77333898695540199e2	3.77363688213858211e2	4.20637669904377898e0	3.77433089252176387e2	3.78669375581767781e2	-1.09562703995675709e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87890159158485659e0	2.59685265459033543e0
LEFT	7	23438357	5.15101817670292950e-1	-2.09400276971609989e0	9.23143109573153566e1	3.87016497778004176e0	3.80072062979587201e2	3.80102068668769732e2	3.87015540955022708e0	3.80166559631308075e2	3.81396467165947058e2	-1.08432808737953804e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87781850279331364e0	2.59084786123651023e0
GROUP	7	23438358	5.15101817670293061e-1	-2.09400277026294557e0	9.23143109567604796e1	3.87016497758115996e0	3.80072062979587372e2	3.80102068668769903e2	3.87015540940298752e0	3.80166559631306086e2	3.81396467165942113e2	-1.08432809114769777e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87781850279331364e0	2.59084786123561228e0
GROUP	7	23438359	5.15101817670293061e-1	-2.09400277034316940e0	9.23143109566802451e1	3.87016497752391331e0	3.80072062979587372e2	3.80102068668769903e2	3.87015540932502411e0	3.80166559631305063e2	3.81396467165939384e2	-1.08432809332868632e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87781850279331319e0	2.59084786123513666e0
RIGHT	7	23438360	5.15101817670293172e-1	-2.09400276888596260e0	9.23143109581334755e1	3.87016497741677590e0	3.80072062979587372e2	3.80102068668769903e2	3.87015540922452628e0	3.80166559631303642e2	3.81396467165935690e2	-1.08432809626034459e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87781850279331275e0	2.59084786123452293e0
LEFT	8	23582843	5.18231001959076787e-1	9.34393839668520201e1	-9.41617503256687582e-1	-4.12944815501759876e0	3.77788265317785658e2	3.77818090707152805e2	4.12943647888609000e0	3.77886370030166347e2	3.79121218488183786e2	-8.14416872700514959e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87980095464291397e0	2.58087666356732548e0
GROUP	8	23582844	5.18231001959076898e-1	9.34393839665573864e1	-9.41617503555324142e-1	-4.12944815486366679e0	3.77788265317785715e2	3.77818090707152862e2	4.12943647873079200e0	3.77886370030164301e2	3.79121218488178783e2	-8.14416876653683961e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87980095464291486e0	2.58087666356660961e0
GROUP	8	23582845	5.18231001959076898e-1	9.34393839670645576e1	-9.41617503048155391e-1	-4.12944815472383198e0	3.77788265317785829e2	3.77818090707152976e2	4.12943647864725261e0	3.77886370030163221e2	3.79121218488176169e2	-8.14416878813939849e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87980095464291486e0	2.58087666356622458e0
RIGHT	8	23582846	5.18231001959077009e-1	9.34393839669390047e1	-9.41617503181733095e-1	-4.12944815470694948e0	3.77788265317785999e2	3.77818090707153146e2	4.12943647854134621e0	3.77886370030161856e2	3.79121218488172701e2	-8.14416881545020558e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87980095464291441e0	2.58087666356573608e0
LEFT	9	23583641	5.18246506358056580e-1	9.42605282856819144e1	-9.43236846847496757e-1	-4.18465353811933483e0	3.77783028950307141e2	3.77812853926276887e2	4.18464194988894800e0	3.77881947924528049e2	3.79117829319144391e2	-1.29327335648317127e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87986737171840534e0	2.59943474826709631e0
GROUP	9	23583642	5.18246506358056691e-1	9.42605282855224687e1	-9.43236847014924940e-1	-4.18465353799575723e0	3.77783028950307198e2	3.77812853926276944e2	4.18464194972746650e0	3.77881947924525889e2	3.79117829319139332e2	-1.29327336030197798e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87986737171840579e0	2.59943474826634890e0
GROUP	9	23583643	5.18246506358056691e-1	9.42605282849144288e1	-9.43236847622969665e-1	-4.18465353775360427e0	3.77783028950307255e2	3.77812853926277000e2	4.18464194964254244e0	3.77881947924524809e2	3.79117829319136774e2	-1.29327336218462475e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87986737171840534e0	2.59943474826595544e0
RIGHT	9	23583644	5.18246506358056802e-1	9.42605282850999657e1	-9.43236847441427106e-1	-4.18465353776565507e0	3.77783028950307369e2	3.77812853926277114e2	4.18464194953197577e0	3.77881947924523331e2	3.79117829319133534e2	-1.29327336452532051e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87986737171840534e0	2.59943474826544429e0
LEFT	10	23852570	5.23459211787144718e-1	9.21928984375648213e1	-9.32384832906199668e-1	-3.81928069168219508e0	3.80521822125609106e2	3.80551863322092686e2	3.81927099674518944e0	3.80615623776496022e2	3.81844543220152957e2	-5.15642161861682607e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87842357989850273e0	2.56805145795622103e0
GROUP	10	23852571	5.23459211787144829e-1	9.21928984371496654e1	-9.32384833313283257e-1	-3.81928069156572292e0	3.80521822125609276e2	3.80551863322092856e2	3.81927099657635916e0	3.80615623776493692e2	3.81844543220147500e2	-5.15642166440373074e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87842357989850184e0	2.56805145795521028e0
GROUP	10	23852572	5.23459211787144829e-1	9.21928984373415545e1	-9.32384833121392753e-1	-3.81928069129861569e0	3.80521822125609390e2	3.80551863322092970e2	3.81927099648737967e0	3.80615623776492498e2	3.81844543220144658e2	-5.15642168833280368e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87842357989850095e0	2.56805145795467826e0
RIGHT	10	23852573	5.23459211787144940e-1	9.21928984380568863e1	-9.32384832398008734e-1	-3.81928069124268177e0	3.80521822125609503e2	3.80551863322093084e2	3.81927099637190137e0	3.80615623776490963e2	3.81844543220141020e2	-5.15642171963188742e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.87842357989850051e0	2.56805145795398770e0
