role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	43	26573584	5.89799569871327312e-1	9.77493539594776308e1	-1.09766210971670830e0	-1.01811497250700533e1	3.79473588886079312e2	3.79522793010703708e2	1.01811403762324009e1	3.79680999293747618e2	3.81009041149680627e2	-5.24732593080879404e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.47866919907389116e0	3.69533795853978431e0
GROUP	43	26573585	5.89799569871327312e-1	9.77493539579393484e1	-1.09766211125499069e0	-1.01811497316218347e1	3.79473588886079426e2	3.79522793010703822e2	1.01811403761482815e1	3.79680999293746595e2	3.81009041149678524e2	-5.24732594825279469e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.47866919907389027e0	3.69533795853924651e0
RIGHT	43	26573586	5.89799569871327423e-1	9.77493539599942949e1	-1.09766210919342200e0	-1.01811496746099870e1	3.79473588886079597e2	3.79522793010703992e2	1.01811403760375523e1	3.79680999293745344e2	3.81009041149675568e2	-5.24732597201577802e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.47866919907388850e0	3.69533795853853952e0
LEFT	44	26746414	5.93610386522574363e-1	-4.37778209653138095e0	9.77909153521262340e1	1.08870326965129607e1	3.75387296286148910e2	3.75435970565070704e2	1.08870220181712316e1	3.75604518944365225e2	3.76942046977158327e2	-1.04700660038534428e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48298782694159925e0	3.77198551580724928e0
GROUP	44	26746415	5.93610386522574474e-1	-4.37778209639918359e0	9.77909153522648609e1	1.08870326951009133e1	3.75387296286149308e2	3.75435970565071102e2	1.08870220180139654e1	3.75604518944363349e2	3.76942046977154519e2	-1.04700660308899434e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48298782694160014e0	3.77198551580654806e0
GROUP	44	26746416	5.93610386522574474e-1	-4.37778209777808769e0	9.77909153508859674e1	1.08870326983894756e1	3.75387296286149535e2	3.75435970565071329e2	1.08870220179324857e1	3.75604518944362439e2	3.76942046977152586e2	-1.04700660444824911e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48298782694160058e0	3.77198551580618524e0
RIGHT	44	26746417	5.93610386522574585e-1	-4.37778209705815957e0	9.77909153516091152e1	1.08870326958193004e1	3.75387296286149706e2	3.75435970565071500e2	1.08870220178254602e1	3.75604518944361189e2	3.76942046977150142e2	-1.04700660608953588e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48298782694160058e0	3.77198551580570962e0
LEFT	45	26974414	5.98095046932409669e-1	-4.22318716470723476e0	9.62754156139606323e1	1.04089958387715456e1	3.79929593583585472e2	3.79978856835676538e2	1.04089866074353665e1	3.80140475473842571e2	3.81471597226780204e2	-1.42789340438018079e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48127517037607115e0	3.76402403850342981e0
GROUP	45	26974415	5.98095046932409780e-1	-4.22318716479406842e0	9.62754156138738040e1	1.04089958396338602e1	3.79929593583585870e2	3.79978856835676936e2	1.04089866072826975e1	3.80140475473840979e2	3.81471597226776566e2	-1.42789340675910738e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48127517037607070e0	3.76402403850240308e0
GROUP	45	26974416	5.98095046932409780e-1	-4.22318716632939761e0	9.62754156123384774e1	1.04089958405756420e1	3.79929593583586097e2	3.79978856835677163e2	1.04089866072052892e1	3.80140475473840297e2	3.81471597226774747e2	-1.42789340795843674e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48127517037607026e0	3.76402403850188216e0
RIGHT	45	26974417	5.98095046932409891e-1	-4.22318716584409071e0	9.62754156128205096e1	1.04089958382884902e1	3.79929593583586268e2	3.79978856835677334e2	1.04089866071059394e1	3.80140475473839331e2	3.81471597226772190e2	-1.42789340959294928e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48127517037606982e0	3.76402403850121292e0
LEFT	46	26974822	5.98102786352779692e-1	-4.20851042475365489e0	9.59540919503789667e1	1.03636253789028956e1	3.79927790248007170e2	3.79977053266270218e2	1.03636161215929565e1	3.80137995701610691e2	3.81468505570419438e2	-1.27395229609921644e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48122559332938009e0	3.75093848863871360e0
GROUP	46	26974823	5.98102786352779803e-1	-4.20851042402683362e0	9.59540919510992296e1	1.03636253802229135e1	3.79927790248007454e2	3.79977053266270502e2	1.03636161214366744e1	3.80137995701608929e2	3.81468505570415346e2	-1.27395229896915262e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48122559332938053e0	3.75093848863766732e0
GROUP	46	26974824	5.98102786352779803e-1	-4.20851042453696156e0	9.59540919505890884e1	1.03636253761222292e1	3.79927790248007568e2	3.79977053266270616e2	1.03636161213556068e1	3.80137995701608247e2	3.81468505570413413e2	-1.27395230029904805e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48122559332938009e0	3.75093848863712420e0
RIGHT	46	26974825	5.98102786352779914e-1	-4.20851042492872995e0	9.59540919501940550e1	1.03636253776761009e1	3.79927790248007852e2	3.79977053266270900e2	1.03636161212499065e1	3.80137995701607224e2	3.81468505570410969e2	-1.27395230189632095e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48122559332937920e0	3.75093848863641632e0
LEFT	47	26976383	5.98133740639683387e-1	-4.15389963305460519e0	9.46563521186896111e1	1.01948264418558665e1	3.79919859103314820e2	3.79969121093192655e2	1.01948170836677061e1	3.80127538987529420e2	3.81455766221526119e2	-4.75145854832354132e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48102831519689015e0	3.70179618755836559e0
GROUP	47	26976384	5.98133740639683498e-1	-4.15389963284609820e0	9.46563521188948016e1	1.01948264436634304e1	3.79919859103315105e2	3.79969121093192939e2	1.01948170835282408e1	3.80127538987527714e2	3.81455766221522765e2	-4.75145857693328359e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48102831519688971e0	3.70179618755745610e0
GROUP	47	26976385	5.98133740639683498e-1	-4.15389963288857889e0	9.46563521188523112e1	1.01948264408302975e1	3.79919859103315162e2	3.79969121093192996e2	1.01948170834541809e1	3.80127538987526748e2	3.81455766221520889e2	-4.75145859212436719e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48102831519688927e0	3.70179618755697337e0
RIGHT	47	26976386	5.98133740639683609e-1	-4.15389963443221522e0	9.46563521173020490e1	1.01948264396808668e1	3.79919859103315162e2	3.79969121093192996e2	1.01948170833591671e1	3.80127538987525611e2	3.81455766221518445e2	-4.75145861219446898e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48102831519688927e0	3.70179618755635387e0
LEFT	48	27147932	6.01921315440402505e-1	1.00095258093590928e2	-1.11088344726948662e0	-1.07387777067912733e1	3.75829088002483900e2	3.75877819565958021e2	1.07387669221101287e1	3.76044188394839978e2	3.77379737385922112e2	-8.90910197115660328e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48514966298844842e0	3.73823324638586563e0
GROUP	48	27147933	6.01921315440402616e-1	1.00095258095983652e2	-1.11088344487676238e0	-1.07387777122236834e1	3.75829088002484184e2	3.75877819565958305e2	1.07387669219534896e1	3.76044188394838159e2	3.77379737385918247e2	-8.90910199937019333e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48514966298844930e0	3.73823324638514931e0
GROUP	48	27147934	6.01921315440402616e-1	1.00095258091680662e2	-1.11088344917975235e0	-1.07387777108139666e1	3.75829088002484298e2	3.75877819565958418e2	1.07387669218710453e1	3.76044188394837363e2	3.77379737385916144e2	-8.90910201532531419e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48514966298844930e0	3.73823324638477228e0
RIGHT	48	27147935	6.01921315440402727e-1	1.00095258090713116e2	-1.11088345015379275e0	-1.07387776770457997e1	3.75829088002484525e2	3.75877819565958646e2	1.07387669217638244e1	3.76044188394836397e2	3.77379737385913415e2	-8.90910203543717301e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48514966298844886e0	3.73823324638428289e0
LEFT	49	27148333	6.01929066601262552e-1	1.00427982782424735e2	-1.11199049127566241e0	-1.07856764657927400e1	3.75827688935024298e2	3.75876420317089526e2	1.07856656974523819e1	3.76043487693412942e2	3.77379663468898912e2	-1.04108691042841832e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48520624367755660e0	3.75132756044757842e0
GROUP	49	27148334	6.01929066601262663e-1	1.00427982780631666e2	-1.11199049307521136e0	-1.07856764774606813e1	3.75827688935024639e2	3.75876420317089867e2	1.07856656973170271e1	3.76043487693411464e2	3.77379663468895444e2	-1.04108691300086416e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48520624367755749e0	3.75132756044695359e0
GROUP	49	27148335	6.01929066601262663e-1	1.00427982782009835e2	-1.11199049169704267e0	-1.07856764788057617e1	3.75827688935024810e2	3.75876420317090037e2	1.07856656972475680e1	3.76043487693410782e2	3.77379663468893682e2	-1.04108691430674892e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.48520624367755838e0	3.75132756044663296e0
