 time                     v(out)                  
 1.47549999999997553e-03  7.71335658368865418e-01 
 1.47649999999997544e-03  7.71564208435463028e-01 
 1.47749999999997536e-03  7.71792530066212068e-01 
 1.47849999999997528e-03  7.72020623489434121e-01 
 1.47949999999997519e-03  7.72248488933222621e-01 
 1.48049999999997511e-03  7.72476126625443071e-01 
 1.48149999999997502e-03  7.72703536793733270e-01 
 1.48249999999997494e-03  7.72930719665503529e-01 
 1.48349999999997486e-03  7.73157675467936678e-01 
 1.48449999999997477e-03  7.73384404427988503e-01 
 1.48549999999997469e-03  7.73610906772387974e-01 
 1.48649999999997460e-03  7.73837182727637574e-01 
 1.48749999999997452e-03  7.74063232520013411e-01 
 1.48849999999997444e-03  7.74289056375565443e-01 
 1.48949999999997435e-03  7.74514654520117474e-01 
 1.49049999999997427e-03  7.74740027179267599e-01 
 1.49149999999997418e-03  7.74965174578388538e-01 
 1.49249999999997410e-03  7.75190096942627860e-01 
 1.49349999999997402e-03  7.75414794496907867e-01 
 1.49449999999997393e-03  7.75639267465926374e-01 
 1.49549999999997385e-03  7.75863516074156156e-01 
 1.49649999999997376e-03  7.76087540545845944e-01 
 1.49749999999997368e-03  7.76311341105020314e-01 
 1.49849999999997359e-03  7.76534917975479799e-01 
 1.49949999999997351e-03  7.76758271380801557e-01 
 1.50049999999997343e-03  7.76981401544338812e-01 
 1.50149999999997334e-03  7.77204308689221857e-01 
 1.50249999999997326e-03  7.77426993038357939e-01 
 1.50349999999997317e-03  7.77649454814431373e-01 
 1.50449999999997309e-03  7.77871694239903877e-01 
 1.50549999999997301e-03  7.78093711537015342e-01 
 1.50649999999997292e-03  7.78315506927782841e-01 
 1.50749999999997284e-03  7.78537080634001732e-01 
 1.50849999999997275e-03  7.78758432877245999e-01 
 1.50949999999997267e-03  7.78979563878867687e-01 
 1.51049999999997259e-03  7.79200473859998133e-01 
 1.51149999999997250e-03  7.79421163041547072e-01 
 1.51249999999997242e-03  7.79641631644204192e-01 
 1.51349999999997233e-03  7.79861879888437803e-01 
 1.51449999999997225e-03  7.80081907994496171e-01 
 1.51549999999997216e-03  7.80301716182407623e-01 
 1.51649999999997208e-03  7.80521304671980221e-01 
 1.51749999999997200e-03  7.80740673682802755e-01 
 1.51849999999997191e-03  7.80959823434243972e-01 
 1.51949999999997183e-03  7.81178754145453902e-01 
 1.52049999999997174e-03  7.81397466035363530e-01 
 1.52149999999997166e-03  7.81615959322684350e-01 
 1.52249999999997158e-03  7.81834234225909919e-01 
 1.52349999999997149e-03  7.82052290963315078e-01 
 1.52449999999997141e-03  7.82270129752956733e-01 
 1.52549999999997132e-03  7.82487750812673744e-01 
 1.52649999999997124e-03  7.82705154360087252e-01 
 1.52749999999997116e-03  7.82922340612600798e-01 
 1.52849999999997107e-03  7.83139309787400650e-01 
 1.52949999999997099e-03  7.83356062101456030e-01 
 1.53049999999997090e-03  7.83572597771519330e-01 
 1.53149999999997082e-03  7.83788917014126341e-01 
 1.53249999999997073e-03  7.84005020045596357e-01 
 1.53349999999997065e-03  7.84220907082032404e-01 
 1.53449999999997057e-03  7.84436578339321455e-01 
 1.53549999999997048e-03  7.84652034033134882e-01 
 1.53649999999997040e-03  7.84867274378928559e-01 
 1.53749999999997031e-03  7.85082299591942978e-01 
 1.53849999999997023e-03  7.85297109887203248e-01 
 1.53949999999997015e-03  7.85511705479519651e-01 
 1.54049999999997006e-03  7.85726086583487748e-01 
 1.54149999999996998e-03  7.85940253413488943e-01 
 1.54249999999996989e-03  7.86154206183690252e-01 
 1.54349999999996981e-03  7.86367945108044086e-01 
 1.54449999999996973e-03  7.86581470400289584e-01 
 1.54549999999996964e-03  7.86794782273952387e-01 
 1.54649999999996956e-03  7.87007880942343974e-01 
 1.54749999999996947e-03  7.87220766618563106e-01 
 1.54849999999996939e-03  7.87433439515495825e-01 
 1.54949999999996930e-03  7.87645899845815123e-01 
 1.55049999999996922e-03  7.87858147821981047e-01 
 1.55149999999996914e-03  7.88070183656241707e-01 
 1.55249999999996905e-03  7.88282007560633158e-01 
 1.55349999999996897e-03  7.88493619746979180e-01 
 1.55449999999996888e-03  7.88705020426892167e-01 
 1.55549999999996880e-03  7.88916209811772795e-01 
 1.55649999999996872e-03  7.89127188112810352e-01 
 1.55749999999996863e-03  7.89337955540983183e-01 
 1.55849999999996855e-03  7.89548512307058914e-01 
 1.55949999999996846e-03  7.89758858621594451e-01 
 1.56049999999996838e-03  7.89968994694935978e-01 
 1.56149999999996830e-03  7.90178920737219737e-01 
 1.56249999999996821e-03  7.90388636958371804e-01 
 1.56349999999996813e-03  7.90598143568108425e-01 
 1.56449999999996804e-03  7.90807440775936343e-01 
 1.56549999999996796e-03  7.91016528791152584e-01 
 1.56649999999996787e-03  7.91225407822845450e-01 
 1.56749999999996779e-03  7.91434078079893855e-01 
 1.56849999999996771e-03  7.91642539770968323e-01 
 1.56949999999996762e-03  7.91850793104530326e-01 
 1.57049999999996754e-03  7.92058838288833500e-01 
 1.57149999999996745e-03  7.92266675531922870e-01 
 1.57249999999996737e-03  7.92474305041635962e-01 
 1.57349999999996729e-03  7.92681727025602134e-01 
 1.57449999999996720e-03  7.92888941691243687e-01 
 1.57549999999996712e-03  7.93095949245775089e-01 
 1.57649999999996703e-03  7.93302749896204085e-01 
 1.57749999999996695e-03  7.93509343849331250e-01 
 1.57849999999996687e-03  7.93715731311750439e-01 
 1.57949999999996678e-03  7.93921912489849335e-01 
 1.58049999999996670e-03  7.94127887589809345e-01 
 1.58149999999996661e-03  7.94333656817605593e-01 
 1.58249999999996653e-03  7.94539220379007038e-01 
 1.58349999999996644e-03  7.94744578479577579e-01 
 1.58449999999996636e-03  7.94949731324675390e-01 
 1.58549999999996628e-03  7.95154679119453145e-01 
 1.58649999999996619e-03  7.95359422068858790e-01 
 1.58749999999996611e-03  7.95563960377635215e-01 
 1.58849999999996602e-03  7.95768294250321140e-01 
 1.58949999999996594e-03  7.95972423891250225e-01 
 1.59049999999996586e-03  7.96176349504552072e-01 
 1.59149999999996577e-03  7.96380071294152558e-01 
 1.59249999999996569e-03  7.96583589463773500e-01 
 1.59349999999996560e-03  7.96786904216933212e-01 
 1.59449999999996552e-03  7.96990015756946057e-01 
 1.59549999999996544e-03  7.97192924286924010e-01 
 1.59649999999996535e-03  7.97395630009775425e-01 
 1.59749999999996527e-03  7.97598133128206155e-01 
 1.59849999999996518e-03  7.97800433844719548e-01 
 1.59949999999996510e-03  7.98002532361616224e-01 
 1.60049999999996501e-03  7.98204428880994743e-01 
 1.60149999999996493e-03  7.98406123604751716e-01 
 1.60249999999996485e-03  7.98607616734581915e-01 
 1.60349999999996476e-03  7.98808908471978496e-01 
 1.60449999999996468e-03  7.99009999018233330e-01 
 1.60549999999996459e-03  7.99210888574436895e-01 
 1.60649999999996451e-03  7.99411577341478941e-01 
 1.60749999999996443e-03  7.99612065520047932e-01 
 1.60849999999996434e-03  7.99812353310632385e-01 
 1.60949999999996426e-03  8.00012440913520084e-01 
 1.61049999999996417e-03  8.00212328528798644e-01 
 1.61149999999996409e-03  8.00412016356355727e-01 
 1.61249999999996401e-03  8.00611504595879486e-01 
 1.61349999999996392e-03  8.00810793446857905e-01 
 1.61449999999996384e-03  8.01009883108579901e-01 
 1.61549999999996375e-03  8.01208773780135441e-01 
 1.61649999999996367e-03  8.01407465660415208e-01 
 1.61749999999996358e-03  8.01605958948110819e-01 
 1.61849999999996350e-03  8.01804253841715497e-01 
 1.61949999999996342e-03  8.02002350539524622e-01 
 1.62049999999996333e-03  8.02200249239634955e-01 
 1.62149999999996325e-03  8.02397950139945082e-01 
 1.62249999999996316e-03  8.02595453438155859e-01 
 1.62349999999996308e-03  8.02792759331770855e-01 
 1.62449999999996300e-03  8.02989868018095687e-01 
 1.62549999999996291e-03  8.03186779694239239e-01 
 1.62649999999996283e-03  8.03383494557113331e-01 
 1.62749999999996274e-03  8.03580012803432830e-01 
 1.62849999999996266e-03  8.03776334629715983e-01 
 1.62949999999996258e-03  8.03972460232284636e-01 
 1.63049999999996249e-03  8.04168389807264683e-01 
 1.63149999999996241e-03  8.04364123550585508e-01 
 1.63249999999996232e-03  8.04559661657980985e-01 
 1.63349999999996224e-03  8.04755004324989143e-01 
 1.63449999999996216e-03  8.04950151746953058e-01 
 1.63549999999996207e-03  8.05145104119019850e-01 
 1.63649999999996199e-03  8.05339861636142129e-01 
 1.63749999999996190e-03  8.05534424493077328e-01 
 1.63849999999996182e-03  8.05728792884388256e-01 
 1.63949999999996173e-03  8.05922967004443547e-01 
 1.64049999999996165e-03  8.06116947047417431e-01 
 1.64149999999996157e-03  8.06310733207289854e-01 
 1.64249999999996148e-03  8.06504325677847134e-01 
 1.64349999999996140e-03  8.06697724652681747e-01 
 1.64449999999996131e-03  8.06890930325192768e-01 
 1.64549999999996123e-03  8.07083942888585759e-01 
 1.64649999999996115e-03  8.07276762535873216e-01 
 1.64749999999996106e-03  8.07469389459875009e-01 
 1.64849999999996098e-03  8.07661823853218164e-01 
 1.64949999999996089e-03  8.07854065908337193e-01 
 1.65049999999996081e-03  8.08046115817474098e-01 
 1.65149999999996073e-03  8.08237973772678919e-01 
 1.65249999999996064e-03  8.08429639965809521e-01 
 1.65349999999996056e-03  8.08621114588532253e-01 
 1.65449999999996047e-03  8.08812397832321506e-01 
 1.65549999999996039e-03  8.09003489888460825e-01 
 1.65649999999996030e-03  8.09194390948042352e-01 
 1.65749999999996022e-03  8.09385101201967383e-01 
 1.65849999999996014e-03  8.09575620840945920e-01 
