role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
RIGHT	19	25504523	5.56764934173778259e-1	9.36622923859181498e1	-9.34677115782565293e-1	-3.89554213718673736e0	3.82059118547768264e2	3.82089281109758815e2	3.89553251300661296e0	3.82154191927558429e2	3.83384589898085551e2	-1.09303052720213459e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88248222337302762e0	2.59970809302039507e0
LEFT	20	25917902	5.65114589913427223e-1	-2.08495044747874037e0	9.16432497302694884e1	3.84271803816647584e0	3.82414619531993822e2	3.82444810159851556e2	3.84270832531048612e0	3.82508957885255938e2	3.83738333234795448e2	-8.23933547582810015e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88299994883351651e0	2.57468461249646463e0
GROUP	20	25917903	5.65114589913427334e-1	-2.08495044755231085e0	9.16432497301878755e1	3.84271803797595179e0	3.82414619531993992e2	3.82444810159851727e2	3.84270832518082006e0	3.82508957885254290e2	3.83738333234791014e2	-8.23933551314482104e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88299994883351696e0	2.57468461249568525e0
GROUP	20	25917904	5.65114589913427334e-1	-2.08495044868225676e0	9.16432497290579420e1	3.84271803788862787e0	3.82414619531994106e2	3.82444810159851841e2	3.84270832511162608e0	3.82508957885253437e2	3.83738333234788513e2	-8.23933553470961242e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88299994883351607e0	2.57468461249526914e0
GROUP	20	25917905	5.65114589913427334e-1	-2.08495044798687967e0	9.16432497297533075e1	3.84271803784194788e0	3.82414619531994106e2	3.82444810159851841e2	3.84270832502367687e0	3.82508957885252414e2	3.83738333234785443e2	-8.23933556074780332e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88299994883351518e0	2.57468461249474023e0
RIGHT	20	25917906	5.65114589913427445e-1	-2.08495044762675175e0	9.16432497301094315e1	3.84271803772794218e0	3.82414619531993992e2	3.82444810159851727e2	3.84270832484777891e0	3.82508957885249913e2	3.83738333234779645e2	-8.23933560911123145e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88299994883351429e0	2.57468461249368330e0
LEFT	21	26062459	5.68243782098696193e-1	9.41166205265094504e1	-9.42812535227215087e-1	-4.17016570566880773e0	3.80109857307980064e2	3.80139865980925379e2	4.17015401684376030e0	3.80208789307517407e2	3.81444400241859569e2	-8.17770810343368164e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88491773523332773e0	2.58183558956386650e0
GROUP	21	26062460	5.68243782098696304e-1	9.41166205267861642e1	-9.42812534958479387e-1	-4.17016570558462263e0	3.80109857307980178e2	3.80139865980925492e2	4.17015401668341390e0	3.80208789307515246e2	3.81444400241854396e2	-8.17770814531293365e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88491773523332862e0	2.58183558956315107e0
GROUP	21	26062461	5.68243782098696304e-1	9.41166205266325164e1	-9.42812535112141248e-1	-4.17016570537418829e0	3.80109857307980292e2	3.80139865980925606e2	4.17015401659899521e0	3.80208789307514166e2	3.81444400241851611e2	-8.17770816721593850e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88491773523332906e0	2.58183558956277448e0
RIGHT	21	26062462	5.68243782098696415e-1	9.41166205268025209e1	-9.42812534950091763e-1	-4.17016570529710862e0	3.80109857307980405e2	3.80139865980925720e2	4.17015401648925010e0	3.80208789307512802e2	3.81444400241847859e2	-8.17770819714235453e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88491773523332862e0	2.58183558956228509e0
LEFT	22	26062872	5.68251533494397498e-1	9.45264495292991000e1	-9.43391043338363655e-1	-4.18992241650227015e0	3.80107221997513591e2	3.80137230462408070e2	4.18991077115145050e0	3.80206443971341741e2	3.81442423620674958e2	-1.03597918812346239e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88495045336046596e0	2.59248930668201050e0
GROUP	22	26062873	5.68251533494397609e-1	9.45264495291570626e1	-9.43391043484392178e-1	-4.18992241642382623e0	3.80107221997513761e2	3.80137230462408240e2	4.18991077103546328e0	3.80206443971340093e2	3.81442423620671093e2	-1.03597919108747309e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88495045336046685e0	2.59248930668148425e0
GROUP	22	26062874	5.68251533494397609e-1	9.45264495278954655e1	-9.43391044746008989e-1	-4.18992241626290252e0	3.80107221997513875e2	3.80137230462408354e2	4.18991077097330766e0	3.80206443971339127e2	3.81442423620669047e2	-1.03597919265682440e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88495045336046685e0	2.59248930668120270e0
GROUP	22	26062875	5.68251533494397609e-1	9.45264495290689837e1	-9.43391043572463395e-1	-4.18992241620856021e0	3.80107221997513932e2	3.80137230462408411e2	4.18991077089512132e0	3.80206443971338047e2	3.81442423620666602e2	-1.03597919451330208e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88495045336046685e0	2.59248930668084876e0
RIGHT	22	26062876	5.68251533494397720e-1	9.45264495290786897e1	-9.43391043570744436e-1	-4.18992241614449767e0	3.80107221997513989e2	3.80137230462408468e2	4.18991077073874774e0	3.80206443971336171e2	3.81442423620661941e2	-1.03597919816383519e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88495045336046774e0	2.59248930668014044e0
LEFT	23	26330053	5.73441010765113557e-1	9.31637213814233576e1	-9.32834689658904148e-1	-3.83420699987152602e0	3.82751970566302703e2	3.82782187827136852e2	3.83419730508420065e0	3.82846201541776452e2	3.84075411491113300e2	-5.58938128364383587e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88358717377650153e0	2.58040285346578502e0
GROUP	23	26330054	5.73441010765113668e-1	9.31637213807573232e1	-9.32834690316916237e-1	-3.83420699969173029e0	3.82751970566302816e2	3.82782187827136966e2	3.83419730494005417e0	3.82846201541774519e2	3.84075411491108412e2	-5.58938132439052012e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88358717377650153e0	2.58040285346489773e0
GROUP	23	26330055	5.73441010765113668e-1	9.31637213820558685e1	-9.32834689018374075e-1	-3.83420699952966970e0	3.82751970566302816e2	3.82782187827136966e2	3.83419730486358068e0	3.82846201541773496e2	3.84075411491105854e2	-5.58938134563363464e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88358717377650198e0	2.58040285346442699e0
RIGHT	23	26330056	5.73441010765113779e-1	9.31637213809291183e1	-9.32834690141118528e-1	-3.83420699960731781e0	3.82751970566302873e2	3.82782187827137022e2	3.83419730476531440e0	3.82846201541772245e2	3.84075411491102443e2	-5.58938137580623486e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88358717377650198e0	2.58040285346382170e0
LEFT	24	26330460	5.73448753175886616e-1	9.27515939455273468e1	-9.32337693183108329e-1	-3.81771771763021661e0	3.82748961937177455e2	3.82779178960488252e2	3.81770798734486361e0	3.82842954186292616e2	3.84071843180746896e2	-4.35282554412795828e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88355992347965451e0	2.56964172326463247e0
GROUP	24	26330461	5.73448753175886727e-1	9.27515939462634122e1	-9.32337692439004329e-1	-3.81771771739215637e0	3.82748961937177569e2	3.82779178960488366e2	3.81770798722594673e0	3.82842954186290967e2	3.84071843180743087e2	-4.35282557729098630e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88355992347965406e0	2.56964172326391083e0
GROUP	24	26330462	5.73448753175886727e-1	9.27515939436271140e1	-9.32337695075282191e-1	-3.81771771749919253e0	3.82748961937177683e2	3.82779178960488480e2	3.81770798716167326e0	3.82842954186290115e2	3.84071843180740984e2	-4.35282559525996442e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88355992347965318e0	2.56964172326352136e0
GROUP	24	26330463	5.73448753175886727e-1	9.27515939451118498e1	-9.32337693590556849e-1	-3.81771771732815068e0	3.82748961937177739e2	3.82779178960488537e2	3.81770798708098980e0	3.82842954186289091e2	3.84071843180738199e2	-4.35282562068931482e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88355992347965184e0	2.56964172326303242e0
RIGHT	24	26330464	5.73448753175886838e-1	9.27515939453268885e1	-9.32337693367478404e-1	-3.81771771720349307e0	3.82748961937177853e2	3.82779178960488650e2	3.81770798691962376e0	3.82842954186287159e2	3.84071843180732628e2	-4.35282566670962959e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88355992347965184e0	2.56964172326205365e0
LEFT	25	26474846	5.76577956667924885e-1	-2.19354262897116170e0	9.29104700680977800e1	4.17234692898083548e0	3.80441023568911930e2	3.80471058386562049e2	4.17233523266445872e0	3.80540023591650197e2	3.81775675273851391e2	-9.08115137999237311e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88552861778972058e0	2.57886360961860728e0
GROUP	25	26474847	5.76577956667924996e-1	-2.19354262920560084e0	9.29104700678713442e1	4.17234692886464575e0	3.80441023568912044e2	3.80471058386562163e2	4.17233523253018035e0	3.80540023591648435e2	3.81775675273846957e2	-9.08115141524183555e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88552861778972058e0	2.57886360961801531e0
GROUP	25	26474848	5.76577956667924996e-1	-2.19354262824126600e0	9.29104700688356786e1	4.17234692874089586e0	3.80441023568912101e2	3.80471058386562220e2	4.17233523246391869e0	3.80540023591647525e2	3.81775675273844683e2	-9.08115143353379326e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88552861778972014e0	2.57886360961772310e0
GROUP	25	26474849	5.76577956667924996e-1	-2.19354262882954298e0	9.29104700682474061e1	4.17234692872913104e0	3.80441023568912158e2	3.80471058386562277e2	4.17233523237906390e0	3.80540023591646388e2	3.81775675273841955e2	-9.08115145736631207e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88552861778971970e0	2.57886360961734828e0
RIGHT	25	26474850	5.76577956667925107e-1	-2.19354262888792206e0	9.29104700681930069e1	4.17234692853509337e0	3.80441023568912215e2	3.80471058386562333e2	4.17233523220935787e0	3.80540023591644228e2	3.81775675273836441e2	-9.08115150240909830e-6	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88552861778972058e0	2.57886360961659911e0
LEFT	26	26475634	5.76593452193303380e-1	-2.21926653437787991e0	9.37041854680653472e1	4.25054367482601148e0	3.80435764395729052e2	3.80465798798181311e2	4.25053206651251436e0	3.80535909565566556e2	3.81773015582090238e2	-1.03543053654477035e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88559422505198970e0	2.60253088266575405e0
GROUP	26	26475635	5.76593452193303491e-1	-2.21926653428010390e0	9.37041854681710475e1	4.25054367469107586e0	3.80435764395729279e2	3.80465798798181538e2	4.25053206634815162e0	3.80535909565564282e2	3.81773015582085065e2	-1.03543054053397027e-5	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	2.88559422505199059e0	2.60253088266503552e0
