runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.005	LL01	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
936.807	LL01	935.168961	3.40616700376104087e-1	52.402569	2.891288638310e-4	14546711	false	0	0
946.827	LL01	945.223798	3.43754974684891468e-1	52.885381	3.121158978464e-4	14693605	false	0	0
956.853	LL01	955.285564	3.46603981849905707e-1	53.323690	2.831517881981e-4	14841747	false	0	0
966.872	LL01	965.303934	3.49563713243682184e-1	53.779033	2.954304398047e-4	14989663	false	0	0
976.897	LL01	975.305481	3.52630146348682894e-1	54.250792	3.065958775731e-4	15136018	false	0	0
986.912	LL01	985.350743	3.55503734377444758e-1	54.692882	2.860640139575e-4	15285540	false	0	0
996.927	LL01	995.355232	3.58540009633043111e-1	55.160001	3.034912782188e-4	15432513	false	0	0
1006.948	LL01	1005.367226	3.61546780632920450e-1	55.622582	3.003169023876e-4	15580760	false	0	0
1016.974	LL01	1015.404220	3.64405713796028874e-1	56.062418	2.848395937917e-4	15729790	false	0	0
1026.993	LL01	1025.431764	3.67487067939673784e-1	56.536472	3.072890187511e-4	15875761	false	0	0
1037.018	LL01	1035.448005	3.70422431712270295e-1	56.988066	2.930604214924e-4	16023636	false	0	0
1047.040	LL01	1045.498937	3.73288402197454738e-1	57.428985	2.851447492814e-4	16172642	false	0	0
1057.067	LL01	1055.549266	3.76431954270958991e-1	57.912608	3.127809910693e-4	16318754	false	0	0
1067.090	LL01	1065.565638	3.79308491521074265e-1	58.355153	2.871835433184e-4	16467362	false	0	0
1077.116	LL01	1075.592423	3.82187724292296027e-1	58.798111	2.871541431347e-4	16614999	false	0	0
1087.141	LL01	1085.610586	3.85286095113635263e-1	59.274784	3.092753633223e-4	16760101	false	0	0
1097.159	LL01	1095.679294	3.88138538593292448e-1	59.713621	2.832978474096e-4	16908479	false	0	0
1107.185	LL01	1105.719028	3.91086826669095444e-1	60.167204	2.936619820731e-4	17056379	false	0	0
1117.210	LL01	1115.786019	3.94130452522822028e-1	60.635454	3.023372032633e-4	17201745	false	0	0
1127.230	LL01	1125.805557	3.96981343961840760e-1	61.074053	2.845332145988e-4	17350469	false	0	0
1137.253	LL01	1135.890690	3.99978338602448358e-1	61.535129	2.971695715950e-4	17497497	false	0	0
1147.279	LL01	1145.926074	4.02985942238561434e-1	61.997837	2.996998892793e-4	17644106	false	0	0
1157.297	LL01	1155.955232	4.05841830365274214e-1	62.437205	2.847585315424e-4	17793308	false	0	0
1167.313	LL01	1165.980845	4.08863377565159392e-1	62.902058	3.013827694647e-4	17938301	false	0	0
1177.338	LL01	1176.002107	4.11824362459403626e-1	63.357594	2.954702691659e-4	18086010	false	0	0
1187.362	LL01	1186.075794	4.14704038412544551e-1	63.800621	2.858611807513e-4	18236119	false	0	0
1197.386	LL01	1196.125507	4.17825516642477746e-1	64.280849	3.106037174283e-4	18382524	false	0	0
1207.411	LL01	1206.152458	4.20744035719294973e-1	64.729852	2.910674530116e-4	18531963	false	0	0
