role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	7	23582845	5.18223249906422878e-1	9.39684165321732934e1	3.77888431007869542e2	3.77820257522916165e2	3.79123142894755858e2	-5.52663330840421161e-6	4.12216298584652563e0	7.58246285789511260e-10	1.20144019340558091e-9	-4.12217470571027889e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	7	23582846	5.18223249906422989e-1	9.39684165321733076e1	3.77888431007868348e2	3.77820257522916222e2	3.79123142894752789e2	-5.52663333322291224e-6	4.12216298575085993e0	7.58246285789505159e-10	1.20429721268404852e-9	-4.12217470557544630e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	8	23851505	5.23443726217338923e-1	9.39519297176823756e1	3.80590413586135298e2	3.80525935832603295e2	3.81820290451401149e2	-7.11082659132045646e-6	3.86857104701060051e0	7.63640580902801940e-10	1.32357374215829695e-9	-3.86858066883945639e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	8	23851506	5.23443726217339034e-1	9.39519297176743180e1	3.80590413586133195e2	3.80525935832603523e2	3.81820290451395806e2	-7.11082663503045922e-6	3.86857104684738706e0	7.63640580902791083e-10	1.33930278990050479e-9	-3.86858066868842343e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	8	23851507	5.23443726217339034e-1	9.39519297176743038e1	3.80590413586132172e2	3.80525935832603579e2	3.81820290451393134e2	-7.11082665642212892e-6	3.86857104676153618e0	7.63640580902785810e-10	1.33350358024296882e-9	-3.86858066855950256e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	8	23851508	5.23443726217339145e-1	9.39519297176662747e1	3.80590413586130808e2	3.80525935832603579e2	3.81820290451389553e2	-7.11082668552256076e-6	3.86857104664979135e0	7.63640580902778676e-10	1.30698063682700706e-9	-3.86858066837265824e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	9	23852721	5.23466964268402557e-1	9.27102485005663368e1	3.80580390390445530e2	3.80517076863886189e2	3.81808699311338273e2	-8.09443194360398817e-6	3.78799420454025348e0	7.63617398622676032e-10	1.34230882197920747e-9	-3.78800393518173451e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	9	23852722	5.23466964268402668e-1	9.27102485005582651e1	3.80580390390444109e2	3.80517076863886246e2	3.81808699311334578e2	-8.09443197378193740e-6	3.78799420442731627e0	7.63617398622668794e-10	1.35785081136957298e-9	-3.78800393506276123e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	9	23852723	5.23466964268402668e-1	9.27102485005582651e1	3.80580390390443370e2	3.80517076863886246e2	3.81808699311332589e2	-8.09443198930577959e-6	3.78799420436658263e0	7.63617398622664761e-10	1.34626175400390758e-9	-3.78800393480338471e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	9	23852724	5.23466964268402668e-1	9.27102485005582651e1	3.80580390390442290e2	3.80517076863886189e2	3.81808699311330088e2	-8.09443200851385764e-6	3.78799420429053635e0	7.63617398622659798e-10	1.31376921194450568e-9	-3.78800393489979115e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
