wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid
1359.072704	4.72515320303084407e-1	94.503064	2.935261340487e-4	21325956	false
1369.163585	4.75629777015935229e-1	95.125955	3.086407059691e-4	21474290	false
1379.164870	4.78641897270907168e-1	95.728379	3.011733284891e-4	21625047	false
1389.170611	4.81556357363919774e-1	96.311271	2.912787800659e-4	21775953	false
1399.272279	4.84768618213282820e-1	96.953724	3.179931243643e-4	21924863	false
1409.281298	4.87715210354262241e-1	97.543042	2.943937077727e-4	22076817	false
1419.356978	4.90686192547978683e-1	98.137239	2.948666659960e-4	22228555	false
1429.416803	4.93856502069893066e-1	98.771300	3.151455910771e-4	22376956	false
1439.488258	4.96823620273273592e-1	99.364724	2.946067154182e-4	22530586	false
1449.572034	4.99810368105341629e-1	99.962074	2.961933787473e-4	22678460	false
1450.196091	5.00000000000000000e-1	100.000000	3.038693880383e-4	22686813	false
