 time                     v(raw)                   v(pwm_hold)              v(blank)                 v(pwm)                   v(pwm_input)             v(driver_out)            v(gate)                  v(xdriver.pwm_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)    
 5.01554914491719850e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902671937587074e-19  2.62439040955899993e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949035035755864e-19 
 5.01554914496839199e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902657866027658e-19  2.62439049478457679e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62949018704784752e-19 
 5.01554914507077787e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902629736486440e-19  2.62439066520701104e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62948986058064983e-19 
 5.01554914527555074e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902573531673146e-19  2.62439100593707679e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62948920825469712e-19 
 5.01554914568509647e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902461338795192e-19  2.62439168693855000e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62948790603289255e-19 
 5.01554914650418793e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62902237817406658e-19  2.62439304711130542e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62948531128034333e-19 
 5.01554914814236974e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62901794211199857e-19  2.62439576017139015e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62948016030605946e-19 
 5.01554915141873336e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62900920579669854e-19  2.62440115742959563e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62947001063340864e-19 
 5.01554915797146061e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62899226345175964e-19  2.62441183868978328e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62945030592795747e-19 
 5.01554916487380487e-01  5.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  2.62897515916646266e-19  2.62442293036663248e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62943038204644635e-19 
 5.01554916514248994e-01  5.00000000000000000e+00  1.34342537094767067e-01  0.00000000000000000e+00  4.03027611284301202e-01  3.64946262186571946e-01  2.62897450898822420e-19  2.62442335875344290e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942962401170282e-19 
 5.01554916567986120e-01  5.00000000000000000e+00  4.03028166395813514e-01  0.00000000000000000e+00  1.20908449918744054e+00  1.09484029453980836e+00  2.62897321084062910e-19  2.62442421504785531e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942811041990681e-19 
 5.01554916584162513e-01  5.00000000000000000e+00  4.83910134185805418e-01  0.00000000000000000e+00  1.45173040255741626e+00  1.31455902593781793e+00  2.62897282092691265e-19  2.62442447262859393e-19  9.99900009999000154e-05  2.62935575072133383e-19  2.62942765575674486e-19 
