 time            v(out)          i(Lboost)       v(anode)       
 3.31002437e-07  4.13943523e+02  1.95933614e+01  4.14754744e+02 
 3.36002437e-07  4.14151929e+02  1.95870230e+01  4.14963135e+02 
 3.41002437e-07  4.14360268e+02  1.95806788e+01  4.15171459e+02 
 3.46002437e-07  4.14568539e+02  1.95743288e+01  4.15379716e+02 
 3.51002437e-07  4.14776743e+02  1.95679730e+01  4.15587905e+02 
 3.56002437e-07  4.14984879e+02  1.95616115e+01  4.15796026e+02 
 3.61002437e-07  4.15192948e+02  1.95552442e+01  4.16004080e+02 
 3.66002437e-07  4.15400948e+02  1.95488711e+01  4.16212065e+02 
 3.71002437e-07  4.15608881e+02  1.95424922e+01  4.16419983e+02 
 3.76002437e-07  4.15816746e+02  1.95361075e+01  4.16627833e+02 
 3.81002437e-07  4.16024543e+02  1.95297171e+01  4.16835615e+02 
 3.86002437e-07  4.16232272e+02  1.95233209e+01  4.17043330e+02 
 3.91002437e-07  4.16439933e+02  1.95169189e+01  4.17250975e+02 
 3.96002437e-07  4.16647525e+02  1.95105112e+01  4.17458553e+02 
 4.01002437e-07  4.16855050e+02  1.95040977e+01  4.17666063e+02 
 4.06002437e-07  4.17062506e+02  1.94976784e+01  4.17873504e+02 
 4.11002437e-07  4.17269894e+02  1.94912534e+01  4.18080877e+02 
 4.16002437e-07  4.17477213e+02  1.94848226e+01  4.18288182e+02 
 4.21002437e-07  4.17684465e+02  1.94783860e+01  4.18495418e+02 
 4.26002437e-07  4.17891647e+02  1.94719437e+01  4.18702585e+02 
 4.31002437e-07  4.18098761e+02  1.94654957e+01  4.18909684e+02 
 4.36002437e-07  4.18305807e+02  1.94590419e+01  4.19116715e+02 
 4.41002437e-07  4.18512783e+02  1.94525823e+01  4.19323676e+02 
 4.46002437e-07  4.18719691e+02  1.94461170e+01  4.19530569e+02 
 4.51002437e-07  4.18926530e+02  1.94396460e+01  4.19737393e+02 
 4.56002437e-07  4.19133301e+02  1.94331692e+01  4.19944149e+02 
 4.61002437e-07  4.19340002e+02  1.94266867e+01  4.20150835e+02 
 4.66002437e-07  4.19546634e+02  1.94201984e+01  4.20357452e+02 
 4.71002437e-07  4.19753198e+02  1.94137044e+01  4.20564000e+02 
 4.76002437e-07  4.19959692e+02  1.94072046e+01  4.20770479e+02 
 4.81002437e-07  4.20166117e+02  1.94006991e+01  4.20976889e+02 
 4.86002437e-07  4.20372473e+02  1.93941879e+01  4.21183230e+02 
 4.91002437e-07  4.20578759e+02  1.93876710e+01  4.21389501e+02 
