 time            v(out)          i(Lboost)       v(anode)       
 4.48010763e-07  4.11489762e+02  2.26551205e+01  4.12307799e+02 
 4.53010763e-07  4.11730738e+02  2.26483782e+01  4.12548761e+02 
 4.58010763e-07  4.11971642e+02  2.26416292e+01  4.12789651e+02 
 4.63010763e-07  4.12212474e+02  2.26348735e+01  4.13030469e+02 
 4.68010763e-07  4.12453235e+02  2.26281112e+01  4.13271215e+02 
 4.73010763e-07  4.12693923e+02  2.26213421e+01  4.13511889e+02 
 4.78010763e-07  4.12934540e+02  2.26145664e+01  4.13752491e+02 
 4.83010763e-07  4.13175084e+02  2.26077840e+01  4.13993021e+02 
 4.88010763e-07  4.13415557e+02  2.26009949e+01  4.14233478e+02 
 4.93010763e-07  4.13655957e+02  2.25941991e+01  4.14473864e+02 
 4.98010763e-07  4.13896284e+02  2.25873966e+01  4.14714177e+02 
 5.03010763e-07  4.14136539e+02  2.25805875e+01  4.14954417e+02 
 5.08010763e-07  4.14376722e+02  2.25737717e+01  4.15194585e+02 
 5.13010763e-07  4.14616832e+02  2.25669492e+01  4.15434681e+02 
 5.18010763e-07  4.14856870e+02  2.25601201e+01  4.15674704e+02 
 5.23010763e-07  4.15096835e+02  2.25532843e+01  4.15914654e+02 
 5.28010763e-07  4.15336727e+02  2.25464418e+01  4.16154532e+02 
 5.33010763e-07  4.15576546e+02  2.25395927e+01  4.16394336e+02 
 5.38010763e-07  4.15816293e+02  2.25327369e+01  4.16634068e+02 
 5.43010763e-07  4.16055966e+02  2.25258744e+01  4.16873727e+02 
 5.48010763e-07  4.16295567e+02  2.25190053e+01  4.17113312e+02 
 5.53010763e-07  4.16535094e+02  2.25121296e+01  4.17352825e+02 
 5.58010763e-07  4.16774548e+02  2.25052472e+01  4.17592264e+02 
 5.63010763e-07  4.17013929e+02  2.24983581e+01  4.17831630e+02 
 5.68010763e-07  4.17253236e+02  2.24914624e+01  4.18070923e+02 
 5.73010763e-07  4.17492470e+02  2.24845600e+01  4.18310142e+02 
 5.78010763e-07  4.17731631e+02  2.24776510e+01  4.18549288e+02 
 5.83010763e-07  4.17970718e+02  2.24707354e+01  4.18788360e+02 
 5.88010763e-07  4.18209732e+02  2.24638131e+01  4.19027359e+02 
 5.93010763e-07  4.18448672e+02  2.24568842e+01  4.19266284e+02 
 5.98010763e-07  4.18687538e+02  2.24499486e+01  4.19505135e+02 
 6.03010763e-07  4.18926330e+02  2.24430064e+01  4.19743912e+02 
 6.08010763e-07  4.19165049e+02  2.24360576e+01  4.19982616e+02 
