 time            v(drv)          v(qol)          v(qoh)          v(qrl)          v(qrh)          v(col)          v(coh)         
 5.41828400e-04  0.00000000e+00  5.51296090e-02  1.32258517e-01  0.00000000e+00  0.00000000e+00  6.06425700e-01  1.45484369e+00 
 5.42328400e-04  0.00000000e+00  5.49371846e-02  1.31905357e-01  0.00000000e+00  0.00000000e+00  6.04309030e-01  1.45095893e+00 
 5.42828400e-04  0.00000000e+00  5.47454318e-02  1.31553140e-01  0.00000000e+00  0.00000000e+00  6.02199749e-01  1.44708454e+00 
 5.43328400e-04  0.00000000e+00  5.45543482e-02  1.31201863e-01  0.00000000e+00  0.00000000e+00  6.00097830e-01  1.44322049e+00 
 5.43828400e-04  0.00000000e+00  5.43639317e-02  1.30851524e-01  0.00000000e+00  0.00000000e+00  5.98003248e-01  1.43936676e+00 
 5.44328400e-04  0.00000000e+00  5.41741797e-02  1.30502121e-01  0.00000000e+00  0.00000000e+00  5.95915977e-01  1.43552333e+00 
 5.44828400e-04  0.00000000e+00  5.39850901e-02  1.30153651e-01  0.00000000e+00  0.00000000e+00  5.93835991e-01  1.43169016e+00 
 5.45328400e-04  0.00000000e+00  5.37966604e-02  1.29806111e-01  0.00000000e+00  0.00000000e+00  5.91763265e-01  1.42786722e+00 
 5.45828400e-04  0.00000000e+00  5.36088885e-02  1.29459499e-01  0.00000000e+00  0.00000000e+00  5.89697774e-01  1.42405449e+00 
 5.46328400e-04  0.00000000e+00  5.34217720e-02  1.29113813e-01  0.00000000e+00  0.00000000e+00  5.87639492e-01  1.42025194e+00 
 5.46828400e-04  0.00000000e+00  5.32353085e-02  1.28769050e-01  0.00000000e+00  0.00000000e+00  5.85588394e-01  1.41645954e+00 
 5.47328400e-04  0.00000000e+00  5.30494959e-02  1.28425207e-01  0.00000000e+00  0.00000000e+00  5.83544455e-01  1.41267728e+00 
 5.47828400e-04  0.00000000e+00  5.28643319e-02  1.28082283e-01  0.00000000e+00  0.00000000e+00  5.81507651e-01  1.40890511e+00 
 5.48328400e-04  0.00000000e+00  5.26798142e-02  1.27740274e-01  0.00000000e+00  0.00000000e+00  5.79477956e-01  1.40514301e+00 
 5.48828400e-04  0.00000000e+00  5.24959405e-02  1.27399178e-01  0.00000000e+00  0.00000000e+00  5.77455345e-01  1.40139096e+00 
 5.49328400e-04  0.00000000e+00  5.23127086e-02  1.27058993e-01  0.00000000e+00  0.00000000e+00  5.75439794e-01  1.39764893e+00 
 5.49828400e-04  0.00000000e+00  5.21301162e-02  1.26719717e-01  0.00000000e+00  0.00000000e+00  5.73431278e-01  1.39391689e+00 
 5.50328400e-04  0.00000000e+00  5.19481612e-02  1.26381347e-01  0.00000000e+00  0.00000000e+00  5.71429773e-01  1.39019481e+00 
 5.50828400e-04  0.00000000e+00  5.17668413e-02  1.26043880e-01  0.00000000e+00  0.00000000e+00  5.69435254e-01  1.38648268e+00 
 5.51328400e-04  0.00000000e+00  5.15861542e-02  1.25707314e-01  0.00000000e+00  0.00000000e+00  5.67447696e-01  1.38278045e+00 
 5.51828400e-04  0.00000000e+00  5.14060978e-02  1.25371647e-01  0.00000000e+00  0.00000000e+00  5.65467076e-01  1.37908812e+00 
 5.52328400e-04  0.00000000e+00  5.12266699e-02  1.25036876e-01  0.00000000e+00  0.00000000e+00  5.63493369e-01  1.37540564e+00 
 5.52828400e-04  0.00000000e+00  5.10478683e-02  1.24702999e-01  0.00000000e+00  0.00000000e+00  5.61526551e-01  1.37173299e+00 
 5.53328400e-04  0.00000000e+00  5.08696907e-02  1.24370014e-01  0.00000000e+00  0.00000000e+00  5.59566598e-01  1.36807016e+00 
 5.53828400e-04  0.00000000e+00  5.06921351e-02  1.24037918e-01  0.00000000e+00  0.00000000e+00  5.57613486e-01  1.36441710e+00 
 5.54328400e-04  0.00000000e+00  5.05151992e-02  1.23706709e-01  0.00000000e+00  0.00000000e+00  5.55667191e-01  1.36077379e+00 
 5.54828400e-04  0.00000000e+00  5.03388808e-02  1.23376384e-01  0.00000000e+00  0.00000000e+00  5.53727689e-01  1.35714022e+00 
 5.55328400e-04  0.00000000e+00  5.01631779e-02  1.23046941e-01  0.00000000e+00  0.00000000e+00  5.51794957e-01  1.35351635e+00 
 5.55828400e-04  0.00000000e+00  4.99880883e-02  1.22718377e-01  0.00000000e+00  0.00000000e+00  5.49868972e-01  1.34990215e+00 
 5.56328400e-04  0.00000000e+00  4.98136098e-02  1.22390691e-01  0.00000000e+00  0.00000000e+00  5.47949708e-01  1.34629761e+00 
 5.56828400e-04  0.00000000e+00  4.96397403e-02  1.22063881e-01  0.00000000e+00  0.00000000e+00  5.46037144e-01  1.34270269e+00 
 5.57328400e-04  0.00000000e+00  4.94664777e-02  1.21737942e-01  0.00000000e+00  0.00000000e+00  5.44131255e-01  1.33911736e+00 
 5.57828400e-04  0.00000000e+00  4.92938199e-02  1.21412874e-01  0.00000000e+00  0.00000000e+00  5.42232018e-01  1.33554162e+00 
 5.58328400e-04  0.00000000e+00  4.91217646e-02  1.21088674e-01  0.00000000e+00  0.00000000e+00  5.40339411e-01  1.33197542e+00 
 5.58828400e-04  0.00000000e+00  4.89503100e-02  1.20765340e-01  0.00000000e+00  0.00000000e+00  5.38453410e-01  1.32841874e+00 
 5.59328400e-04  0.00000000e+00  4.87794537e-02  1.20442869e-01  0.00000000e+00  0.00000000e+00  5.36573991e-01  1.32487156e+00 
 5.59828400e-04  0.00000000e+00  4.86091939e-02  1.20121259e-01  0.00000000e+00  0.00000000e+00  5.34701132e-01  1.32133385e+00 
 5.60328400e-04  0.00000000e+00  4.84395283e-02  1.19800508e-01  0.00000000e+00  0.00000000e+00  5.32834811e-01  1.31780559e+00 
 5.60828400e-04  0.00000000e+00  4.82704549e-02  1.19480614e-01  0.00000000e+00  0.00000000e+00  5.30975003e-01  1.31428675e+00 
 5.61328400e-04  0.00000000e+00  4.81019716e-02  1.19161574e-01  0.00000000e+00  0.00000000e+00  5.29121688e-01  1.31077731e+00 
 5.61828400e-04  0.00000000e+00  4.79340764e-02  1.18843385e-01  0.00000000e+00  0.00000000e+00  5.27274840e-01  1.30727724e+00 
 5.62328400e-04  0.00000000e+00  4.77667672e-02  1.18526046e-01  0.00000000e+00  0.00000000e+00  5.25434440e-01  1.30378651e+00 
 5.62828400e-04  0.00000000e+00  4.76000421e-02  1.18209555e-01  0.00000000e+00  0.00000000e+00  5.23600463e-01  1.30030510e+00 
 5.63328400e-04  0.00000000e+00  4.74338988e-02  1.17893908e-01  0.00000000e+00  0.00000000e+00  5.21772887e-01  1.29683299e+00 
 5.63828400e-04  0.00000000e+00  4.72683355e-02  1.17579105e-01  0.00000000e+00  0.00000000e+00  5.19951690e-01  1.29337016e+00 
 5.64328400e-04  0.00000000e+00  4.71033500e-02  1.17265142e-01  0.00000000e+00  0.00000000e+00  5.18136850e-01  1.28991656e+00 
 5.64828400e-04  0.00000000e+00  4.69389404e-02  1.16952018e-01  0.00000000e+00  0.00000000e+00  5.16328344e-01  1.28647219e+00 
 5.65328400e-04  0.00000000e+00  4.67751046e-02  1.16639729e-01  0.00000000e+00  0.00000000e+00  5.14526151e-01  1.28303702e+00 
 5.65828400e-04  0.00000000e+00  4.66118408e-02  1.16328275e-01  0.00000000e+00  0.00000000e+00  5.12730248e-01  1.27961102e+00 
 5.66328400e-04  0.00000000e+00  4.64491467e-02  1.16017652e-01  0.00000000e+00  0.00000000e+00  5.10940614e-01  1.27619417e+00 
 5.66828400e-04  0.00000000e+00  4.62870206e-02  1.15707858e-01  0.00000000e+00  0.00000000e+00  5.09157226e-01  1.27278644e+00 
 5.67328400e-04  0.00000000e+00  4.61254603e-02  1.15398892e-01  0.00000000e+00  0.00000000e+00  5.07380063e-01  1.26938781e+00 
 5.67828400e-04  0.00000000e+00  4.59644639e-02  1.15090751e-01  0.00000000e+00  0.00000000e+00  5.05609103e-01  1.26599826e+00 
 5.68328400e-04  0.00000000e+00  4.58040295e-02  1.14783432e-01  0.00000000e+00  0.00000000e+00  5.03844324e-01  1.26261776e+00 
 5.68828400e-04  0.00000000e+00  4.56441550e-02  1.14476934e-01  0.00000000e+00  0.00000000e+00  5.02085705e-01  1.25924628e+00 
 5.69328400e-04  0.00000000e+00  4.54848386e-02  1.14171255e-01  0.00000000e+00  0.00000000e+00  5.00333225e-01  1.25588381e+00 
 5.69828400e-04  0.00000000e+00  4.53260783e-02  1.13866392e-01  0.00000000e+00  0.00000000e+00  4.98586861e-01  1.25253031e+00 
 5.70328400e-04  0.00000000e+00  4.51678721e-02  1.13562343e-01  0.00000000e+00  0.00000000e+00  4.96846593e-01  1.24918577e+00 
 5.70828400e-04  0.00000000e+00  4.50102180e-02  1.13259106e-01  0.00000000e+00  0.00000000e+00  4.95112399e-01  1.24585016e+00 
 5.71328400e-04  0.00000000e+00  4.48531143e-02  1.12956678e-01  0.00000000e+00  0.00000000e+00  4.93384258e-01  1.24252346e+00 
 5.71828400e-04  0.00000000e+00  4.46965589e-02  1.12655058e-01  0.00000000e+00  0.00000000e+00  4.91662148e-01  1.23920564e+00 
 5.72328400e-04  0.00000000e+00  4.45405500e-02  1.12354244e-01  0.00000000e+00  0.00000000e+00  4.89946050e-01  1.23589668e+00 
 5.72828400e-04  0.00000000e+00  4.43850856e-02  1.12054232e-01  0.00000000e+00  0.00000000e+00  4.88235942e-01  1.23259655e+00 
 5.73328400e-04  0.00000000e+00  4.42301639e-02  1.11755022e-01  0.00000000e+00  0.00000000e+00  4.86531802e-01  1.22930524e+00 
 5.73828400e-04  0.00000000e+00  4.40757828e-02  1.11456611e-01  0.00000000e+00  0.00000000e+00  4.84833611e-01  1.22602272e+00 
 5.74328400e-04  0.00000000e+00  4.39219407e-02  1.11158996e-01  0.00000000e+00  0.00000000e+00  4.83141347e-01  1.22274896e+00 
 5.74828400e-04  0.00000000e+00  4.37686354e-02  1.10862177e-01  0.00000000e+00  0.00000000e+00  4.81454990e-01  1.21948394e+00 
 5.75328400e-04  0.00000000e+00  4.36158653e-02  1.10566149e-01  0.00000000e+00  0.00000000e+00  4.79774519e-01  1.21622764e+00 
 5.75828400e-04  0.00000000e+00  4.34636285e-02  1.10270913e-01  0.00000000e+00  0.00000000e+00  4.78099913e-01  1.21298004e+00 
 5.76328400e-04  0.00000000e+00  4.33119230e-02  1.09976464e-01  0.00000000e+00  0.00000000e+00  4.76431153e-01  1.20974111e+00 
 5.76828400e-04  0.00000000e+00  4.31607470e-02  1.09682802e-01  0.00000000e+00  0.00000000e+00  4.74768217e-01  1.20651082e+00 
 5.77328400e-04  0.00000000e+00  4.30100986e-02  1.09389924e-01  0.00000000e+00  0.00000000e+00  4.73111085e-01  1.20328917e+00 
 5.77828400e-04  0.00000000e+00  4.28599761e-02  1.09097828e-01  0.00000000e+00  0.00000000e+00  4.71459737e-01  1.20007611e+00 
 5.78328400e-04  0.00000000e+00  4.27103776e-02  1.08806512e-01  0.00000000e+00  0.00000000e+00  4.69814154e-01  1.19687163e+00 
 5.78828400e-04  0.00000000e+00  4.25613012e-02  1.08515974e-01  0.00000000e+00  0.00000000e+00  4.68174314e-01  1.19367572e+00 
 5.79328400e-04  0.00000000e+00  4.24127452e-02  1.08226212e-01  0.00000000e+00  0.00000000e+00  4.66540197e-01  1.19048833e+00 
 5.79828400e-04  0.00000000e+00  4.22647077e-02  1.07937223e-01  0.00000000e+00  0.00000000e+00  4.64911785e-01  1.18730946e+00 
 5.80328400e-04  0.00000000e+00  4.21171869e-02  1.07649006e-01  0.00000000e+00  0.00000000e+00  4.63289056e-01  1.18413907e+00 
 5.80828400e-04  0.00000000e+00  4.19701810e-02  1.07361559e-01  0.00000000e+00  0.00000000e+00  4.61671991e-01  1.18097715e+00 
 5.81328400e-04  0.00000000e+00  4.18236882e-02  1.07074879e-01  0.00000000e+00  0.00000000e+00  4.60060571e-01  1.17782367e+00 
 5.81828400e-04  0.00000000e+00  4.16777068e-02  1.06788965e-01  0.00000000e+00  0.00000000e+00  4.58454775e-01  1.17467862e+00 
 5.82328400e-04  0.00000000e+00  4.15322349e-02  1.06503814e-01  0.00000000e+00  0.00000000e+00  4.56854583e-01  1.17154196e+00 
