 time            v(doh)          v(qol)          v(qoh)          v(qrl)          v(qrh)          v(col)          v(coh)         
 1.45960000e-02  9.56520588e+00  9.43361538e+00  9.56570588e+00  9.43361538e+00  9.56570588e+00  9.43861538e+00  9.57070588e+00 
 1.46960000e-02  9.56226471e+00  9.42976923e+00  9.56276471e+00  9.42976923e+00  9.56276471e+00  9.43476923e+00  9.56776471e+00 
 1.47960000e-02  9.55932353e+00  9.42592308e+00  9.55982353e+00  9.42592308e+00  9.55982353e+00  9.43092308e+00  9.56482353e+00 
 1.48960000e-02  9.55638235e+00  9.42207692e+00  9.55688235e+00  9.42207692e+00  9.55688235e+00  9.42707692e+00  9.56188235e+00 
 1.49960000e-02  9.55344118e+00  9.41823077e+00  9.55394118e+00  9.41823077e+00  9.55394118e+00  9.42323077e+00  9.55894118e+00 
 1.50960000e-02  9.55050000e+00  9.41438462e+00  9.55100000e+00  9.41438462e+00  9.55100000e+00  9.41938462e+00  9.55600000e+00 
 1.51960000e-02  9.54755882e+00  9.41053846e+00  9.54805882e+00  9.41053846e+00  9.54805882e+00  9.41553846e+00  9.55305882e+00 
 1.52960000e-02  9.54461765e+00  9.40669231e+00  9.54511765e+00  9.40669231e+00  9.54511765e+00  9.41169231e+00  9.55011765e+00 
 1.53960000e-02  9.54167647e+00  9.40284615e+00  9.54217647e+00  9.40284615e+00  9.54217647e+00  9.40784615e+00  9.54717647e+00 
 1.54960000e-02  9.53873529e+00  9.39900000e+00  9.53923529e+00  9.39900000e+00  9.53923529e+00  9.40400000e+00  9.54423529e+00 
 1.55960000e-02  9.53579412e+00  9.39515385e+00  9.53629412e+00  9.39515385e+00  9.53629412e+00  9.40015385e+00  9.54129412e+00 
 1.56960000e-02  9.53285294e+00  9.39130769e+00  9.53335294e+00  9.39130769e+00  9.53335294e+00  9.39630769e+00  9.53835294e+00 
 1.57960000e-02  9.52991176e+00  9.38746154e+00  9.53041176e+00  9.38746154e+00  9.53041176e+00  9.39246154e+00  9.53541176e+00 
 1.58960000e-02  9.52697059e+00  9.38361538e+00  9.52747059e+00  9.38361538e+00  9.52747059e+00  9.38861538e+00  9.53247059e+00 
 1.59960000e-02  9.52402941e+00  9.37976923e+00  9.52452941e+00  9.37976923e+00  9.52452941e+00  9.38476923e+00  9.52952941e+00 
 1.60960000e-02  9.52108824e+00  9.37592308e+00  9.52158824e+00  9.37592308e+00  9.52158824e+00  9.38092308e+00  9.52658824e+00 
 1.61960000e-02  9.51814706e+00  9.37207692e+00  9.51864706e+00  9.37207692e+00  9.51864706e+00  9.37707692e+00  9.52364706e+00 
 1.62960000e-02  9.51520588e+00  9.36823077e+00  9.51570588e+00  9.36823077e+00  9.51570588e+00  9.37323077e+00  9.52070588e+00 
 1.63960000e-02  9.51226471e+00  9.36438462e+00  9.51276471e+00  9.36438462e+00  9.51276471e+00  9.36938462e+00  9.51776471e+00 
 1.64960000e-02  9.50932353e+00  9.36053846e+00  9.50982353e+00  9.36053846e+00  9.50982353e+00  9.36553846e+00  9.51482353e+00 
 1.65960000e-02  9.50638235e+00  9.35669231e+00  9.50688235e+00  9.35669231e+00  9.50688235e+00  9.36169231e+00  9.51188235e+00 
 1.66960000e-02  9.50344118e+00  9.35284615e+00  9.50394118e+00  9.35284615e+00  9.50394118e+00  9.35784615e+00  9.50894118e+00 
 1.67960000e-02  9.50050000e+00  9.34900000e+00  9.50100000e+00  9.34900000e+00  9.50100000e+00  9.35400000e+00  9.50600000e+00 
 1.68960000e-02  9.49755882e+00  9.34515385e+00  9.49805882e+00  9.34515385e+00  9.49805882e+00  9.35015385e+00  9.50305882e+00 
 1.69960000e-02  9.49461765e+00  9.34130769e+00  9.49511765e+00  9.34130769e+00  9.49511765e+00  9.34630769e+00  9.50011765e+00 
