role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
RIGHT	21	25502634	5.56795909037595904e-1	9.29452909863364027e1	3.82115497241157925e2	3.82052178177061023e2	3.83343770635688372e2	-8.86686587746916431e-6	3.78617795546724123e0	3.83343770635687974e-10	1.32284077759101091e-9	-3.78618772319879326e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	22	25646694	5.59917358218763872e-1	-9.54253022694356758e1	3.79823887881599433e2	3.79754128296574606e2	3.81060566902486414e2	-9.03095775792093021e-6	4.22750379804606968e0	3.81060566902486002e-10	1.23553116147760324e-9	4.22751543273647368e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	22	25646695	5.59917358218763983e-1	-9.54253022694396691e1	3.79823887881597784e2	3.79754128296574720e2	3.81060566902482435e2	-9.03095778967525689e-6	4.22750379792148046e0	3.81060566902482021e-10	1.22349266021065947e-9	4.22751543264355156e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	22	25646696	5.59917358218763983e-1	-9.54253022694396407e1	3.79823887881596931e2	3.79754128296574891e2	3.81060566902480275e2	-9.03095780700783289e-6	4.22750379785491592e0	3.81060566902479850e-10	1.25236563446274411e-9	4.22751543255342810e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	22	25646697	5.59917358218763983e-1	-9.54253022694396691e1	3.79823887881595851e2	3.79754128296575061e2	3.81060566902477547e2	-9.03095782870182898e-6	4.22750379777053276e0	3.81060566902477213e-10	1.26962299768664149e-9	4.22751543245025641e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	22	25646698	5.59917358218764094e-1	-9.54253022694476272e1	3.79823887881593691e2	3.79754128296575118e2	3.81060566902472146e2	-9.03095787186108499e-6	4.22750379760176376e0	3.81060566902471785e-10	1.27619726539456734e-9	4.22751543229688576e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	23	25913805	5.65099116572736593e-1	-9.45518655336941549e1	3.82492847660948030e2	3.82428401310143329e2	3.83722613506237735e2	-1.50461251291796784e-5	3.86283849095230813e0	3.83722613506237349e-10	1.38250913430028315e-9	3.86284813318979570e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	23	25913806	5.65099116572736704e-1	-9.45518655336901617e1	3.82492847660945813e2	3.82428401310143556e2	3.83722613506232335e2	-1.50461251689416309e-5	3.86283849078772334e0	3.83722613506231973e-10	1.33389195675460285e-9	3.86284813300278973e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	23	25913807	5.65099116572736704e-1	-9.45518655336901901e1	3.82492847660944904e2	3.82428401310143613e2	3.83722613506230061e2	-1.50461251854116191e-5	3.86283849071748486e0	3.83722613506229698e-10	1.34443322656370913e-9	3.86284813293049023e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	23	25913808	5.65099116572736815e-1	-9.45518655336822036e1	3.82492847660943596e2	3.82428401310143670e2	3.83722613506226992e2	-1.50461252077174406e-5	3.86283849062385665e0	3.83722613506226596e-10	1.36920176333963623e-9	3.86284813290842433e0	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
