role	group_id	source_row	time	v(acsrc,acn)	v(vd)	v(vb)	v(sw)	v(gate)	i(Lboost)	i(Vchannel)	i(Vbody)	i(Vac)	v(q)	v(en)	v(fault)	v(f2ctl)	v(standby_req)	v(arm)	v(permit)
GROUP	47	30650494	6.54224792491243434e-1	1.69664884826508285e2	3.84325765475146682e2	3.84325518000066609e2	5.96744662963168346e-2	1.10278217711034583e-6	5.96744668228736899e1	5.96744662963169006e1	-1.66161937733628717e-9	-5.96744626847926156e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	47	30650495	6.54224792491243545e-1	1.69664884826508086e2	3.84325765475146738e2	3.84325518000066666e2	5.96744662963649558e-2	1.10278218376058657e-6	5.96744668229202091e1	5.96744662963650185e1	-1.66164566102389745e-9	-5.96744626848195594e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	48	30651430	6.54229245429675643e-1	1.69658403536850187e2	3.84321775989665582e2	3.84321528517168133e2	6.32904524012442710e-2	1.08562984236164249e-6	6.32904529241966287e1	6.32904524012443375e1	-1.65405901315678127e-9	-6.32904488053987961e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	48	30651431	6.54229245429675754e-1	1.69658403536849960e2	3.84321775989665468e2	3.84321528517167962e2	6.32904524013354619e-2	1.08562984238042947e-6	6.32904529242878198e1	6.32904524013355285e1	-1.65404429533588477e-9	-6.32904488055821730e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	48	30651432	6.54229245429675754e-1	1.69658403536849960e2	3.84321775989665468e2	3.84321528517167962e2	6.32904524013395003e-2	1.08562984238216652e-6	6.32904529242918485e1	6.32904524013395644e1	-1.65404809903122665e-9	-6.32904488060634094e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	48	30651433	6.54229245429675754e-1	1.69658403536849931e2	3.84321775989665468e2	3.84321528517167962e2	6.32904524013475911e-2	1.08562984238607515e-6	6.32904529242999203e1	6.32904524013476575e1	-1.65403657988754963e-9	-6.32904488068235196e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	48	30651434	6.54229245429675754e-1	1.69658403536849931e2	3.84321775989665468e2	3.84321528517167962e2	6.32904524013638142e-2	1.08562984239609407e-6	6.32904529243160852e1	6.32904524013638792e1	-1.65405270798700280e-9	-6.32904488052499801e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	48	30651435	6.54229245429675754e-1	1.69658403536849931e2	3.84321775989665468e2	3.84321528517168019e2	6.32904524013962189e-2	1.08562984242343820e-6	6.32904529243484077e1	6.32904524013962870e1	-1.65414511096466057e-9	-6.32904488054681451e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	48	30651436	6.54229245429675865e-1	1.69658403536849818e2	3.84321775989665355e2	3.84321528517168019e2	6.32904524014609587e-2	1.08562984250622148e-6	6.32904529244130742e1	6.32904524014610246e1	-1.65414606511925036e-9	-6.32904488056634591e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	49	30654595	6.54245023629654421e-1	1.69631589925249102e2	3.84307640286615367e2	3.84307392823256009e2	7.58512114087149247e-2	1.05245936125502547e-6	7.58512119181876727e1	7.58512114087150024e1	-1.66889625805859240e-9	-7.58512078663013654e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	49	30654596	6.54245023629673517e-1	1.69631589925213063e2	3.84307640286598144e2	3.84307392823238729e2	7.58512114237095691e-2	1.05245936121108331e-6	7.58512119331827819e1	7.58512114237096569e1	-1.66888900856559887e-9	-7.58512078812980235e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	49	30654597	6.54245023629673517e-1	1.69631589925213035e2	3.84307640286598257e2	3.84307392823238672e2	7.58512114237263890e-2	1.05245936121116738e-6	7.58512119331995933e1	7.58512114237264683e1	-1.66887569292113453e-9	-7.58512078812958634e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	49	30654598	6.54245023629673517e-1	1.69631589925213092e2	3.84307640286598371e2	3.84307392823238501e2	7.58512114237600149e-2	1.05245936121126606e-6	7.58512119332332020e1	7.58512114237600912e1	-1.66890069072289203e-9	-7.58512078811663741e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	49	30654599	6.54245023629673628e-1	1.69631589925212779e2	3.84307640286598428e2	3.84307392823238331e2	7.58512114238272667e-2	1.05245936121152207e-6	7.58512119333004620e1	7.58512114238273512e1	-1.66885643365144694e-9	-7.58512078814743518e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	50	30654602	6.54245023629674294e-1	1.69631589925211500e2	3.84307640286597746e2	3.84307392823237421e2	7.58512114242913399e-2	1.05245936121950599e-6	7.58512119337644890e1	7.58512114242914208e1	-1.66878131589564187e-9	-7.58512078819051112e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	50	30654603	6.54245023629674405e-1	1.69631589925211244e2	3.84307640286597746e2	3.84307392823237421e2	7.58512114243473923e-2	1.05245936125147090e-6	7.58512119338205366e1	7.58512114243474684e1	-1.66879185492435276e-9	-7.58512078818172313e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	50	30654604	6.54245023629674405e-1	1.69631589925211188e2	3.84307640286597803e2	3.84307392823237421e2	7.58512114243774377e-2	1.05245936128113167e-6	7.58512119338505499e1	7.58512114243775244e1	-1.66879175578849404e-9	-7.58512078820116358e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	50	30654605	6.54245023629674405e-1	1.69631589925211188e2	3.84307640286597859e2	3.84307392823237365e2	7.58512114244151853e-2	1.05245936133123557e-6	7.58512119338882798e1	7.58512114244152684e1	-1.66880755284831103e-9	-7.58512078819910585e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	50	30654606	6.54245023629674516e-1	1.69631589925211102e2	3.84307640286597689e2	3.84307392823237194e2	7.58512114244907359e-2	1.05245936147329041e-6	7.58512119339637820e1	7.58512114244908133e1	-1.66883232077997415e-9	-7.58512078821058822e1	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	51	30664005	6.54292274490463899e-1	1.69515396737025270e2	3.84265311309188348e2	3.84265063873180623e2	1.11214563935172178e-1	9.58842018473897560e-7	1.11214564406577139e2	1.11214563935172293e2	-1.64822083269417202e-9	-1.11214560546256052e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	51	30664006	6.54292274490471892e-1	1.69515396737000799e2	3.84265311309181186e2	3.84265063873173574e2	1.11214563940896127e-1	9.58842018441776165e-7	1.11214564412302963e2	1.11214563940896241e2	-1.64813805166700867e-9	-1.11214560551979275e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	51	30664007	6.54292274490471892e-1	1.69515396737000799e2	3.84265311309181243e2	3.84265063873173517e2	1.11214563940899694e-1	9.58842018441930748e-7	1.11214564412306530e2	1.11214563940899808e2	-1.64815549461722394e-9	-1.11214560552231546e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	51	30664008	6.54292274490471892e-1	1.69515396737000771e2	3.84265311309181413e2	3.84265063873173460e2	1.11214563940906841e-1	9.58842018441883526e-7	1.11214564412313649e2	1.11214563940906956e2	-1.64811348475403839e-9	-1.11214560553033039e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	51	30664009	6.54292274490471892e-1	1.69515396737000799e2	3.84265311309181641e2	3.84265063873173460e2	1.11214563940921107e-1	9.58842018441716449e-7	1.11214564412327888e2	1.11214563940921224e2	-1.64806579212727541e-9	-1.11214560552045327e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	51	30664010	6.54292274490471892e-1	1.69515396737000799e2	3.84265311309181641e2	3.84265063873173517e2	1.11214563940949640e-1	9.58842018441501726e-7	1.11214564412356452e2	1.11214563940949759e2	-1.64812978665246155e-9	-1.11214560551856948e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	51	30664011	6.54292274490472003e-1	1.69515396737000771e2	3.84265311309181641e2	3.84265063873173517e2	1.11214563941006733e-1	9.58842018440799747e-7	1.11214564412413552e2	1.11214563941006858e2	-1.64809933670656931e-9	-1.11214560552067041e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	52	30664019	6.54292274490483661e-1	1.69515396736965187e2	3.84265311309171864e2	3.84265063873162433e2	1.11214563949308426e-1	9.58842018414702239e-7	1.11214564420715433e2	1.11214563949308541e2	-1.64819662467962190e-9	-1.11214560560395512e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	52	30664020	6.54292274490483883e-1	1.69515396736964476e2	3.84265311309171807e2	3.84265063873162205e2	1.11214563949434256e-1	9.58842018461296674e-7	1.11214564420841214e2	1.11214563949434378e2	-1.64821847597733256e-9	-1.11214560560507721e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	52	30664021	6.54292274490483883e-1	1.69515396736964504e2	3.84265311309171807e2	3.84265063873162148e2	1.11214563949439488e-1	9.58842018465625224e-7	1.11214564420846429e2	1.11214563949439608e2	-1.64820468153038269e-9	-1.11214560560891869e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	52	30664022	6.54292274490483883e-1	1.69515396736964448e2	3.84265311309171807e2	3.84265063873162092e2	1.11214563949449952e-1	9.58842018474781227e-7	1.11214564420856846e2	1.11214563949450067e2	-1.64822053023705653e-9	-1.11214560560905170e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	52	30664023	6.54292274490483883e-1	1.69515396736964476e2	3.84265311309171921e2	3.84265063873162148e2	1.11214563949470810e-1	9.58842018496847917e-7	1.11214564420877721e2	1.11214563949470929e2	-1.64822137232724869e-9	-1.11214560560926088e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	52	30664024	6.54292274490483994e-1	1.69515396736964249e2	3.84265311309172148e2	3.84265063873162262e2	1.11214563949512499e-1	9.58842018555855409e-7	1.11214564420919444e2	1.11214563949512623e2	-1.64820393568516467e-9	-1.11214560560527275e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	53	30665613	6.54300145269289812e-1	1.69490814689794803e2	3.84258260842606205e2	3.84258013411148227e2	1.16791386813917125e-1	9.44038463044120740e-7	1.16791387279241377e2	1.16791386813917256e2	-1.64047394259250729e-9	-1.16791383449696809e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	53	30665614	6.54300145269289923e-1	1.69490814689794519e2	3.84258260842606319e2	3.84258013411148056e2	1.16791386813965697e-1	9.44038463073602674e-7	1.16791387279289921e2	1.16791386813965815e2	-1.64049422150609093e-9	-1.16791383449808450e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	53	30665615	6.54300145269289923e-1	1.69490814689794547e2	3.84258260842606319e2	3.84258013411147942e2	1.16791386813991871e-1	9.44038463101325851e-7	1.16791387279316055e2	1.16791386813991991e2	-1.64051144126517064e-9	-1.16791383449986597e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	53	30665616	6.54300145269289923e-1	1.69490814689794547e2	3.84258260842606205e2	3.84258013411147886e2	1.16791386814024539e-1	9.44038463147037361e-7	1.16791387279348754e2	1.16791386814024662e2	-1.64052892140516776e-9	-1.16791383449775026e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	53	30665617	6.54300145269290034e-1	1.69490814689794064e2	3.84258260842606035e2	3.84258013411147886e2	1.16791386814089931e-1	9.44038463278096545e-7	1.16791387279414124e2	1.16791386814090060e2	-1.64049065912231694e-9	-1.16791383449845739e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	54	30665616	6.54300145269289923e-1	1.69490814689794547e2	3.84258260842606205e2	3.84258013411147886e2	1.16791386814024539e-1	9.44038463147037361e-7	1.16791387279348754e2	1.16791386814024662e2	-1.64052892140516776e-9	-1.16791383449775026e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	54	30665617	6.54300145269290034e-1	1.69490814689794064e2	3.84258260842606035e2	3.84258013411147886e2	1.16791386814089931e-1	9.44038463278096545e-7	1.16791387279414124e2	1.16791386814090060e2	-1.64049065912231694e-9	-1.16791383449845739e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	54	30665618	6.54300145269290034e-1	1.69490814689794007e2	3.84258260842605978e2	3.84258013411147886e2	1.16791386814106293e-1	9.44038463321019622e-7	1.16791387279430467e2	1.16791386814106417e2	-1.64048121905392144e-9	-1.16791383449889281e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	54	30665619	6.54300145269290034e-1	1.69490814689794007e2	3.84258260842605921e2	3.84258013411147886e2	1.16791386814139003e-1	9.44038463412720468e-7	1.16791387279463180e2	1.16791386814139130e2	-1.64048430407948297e-9	-1.16791383449938053e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
RIGHT	54	30665620	6.54300145269290145e-1	1.69490814689794036e2	3.84258260842605637e2	3.84258013411147772e2	1.16791386814204395e-1	9.44038463634418954e-7	1.16791387279528593e2	1.16791386814204515e2	-1.64046965395498431e-9	-1.16791383449970340e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
LEFT	55	30667222	6.54308018829671267e-1	1.69464730907498961e2	3.84251208013788982e2	3.84250960586892575e2	1.22283996457124164e-1	9.29445776289677305e-7	1.22283996916545362e2	1.22283996457124289e2	-1.63145535933545393e-9	-1.22283993117599152e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
GROUP	55	30667223	6.54308018829671378e-1	1.69464730907498648e2	3.84251208013788755e2	3.84250960586892404e2	1.22283996457199923e-1	9.29445776590331332e-7	1.22283996916621177e2	1.22283996457200047e2	-1.63148883477890393e-9	-1.22283993117568230e2	5.00000000000000000e0	4.99999999999999378e0	0.00000000000000000e0	5.00000000000000000e0	0.00000000000000000e0	5.00000000000000000e0	5.00000000000000000e0
