role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	16	24817382	5.43264516558090715e-1	-2.24487865977285805e0	9.39105386982677999e1	4.32844032606470819e0	3.78879228049787173e2	3.78909553393815088e2	4.32842879831410698e0	3.78980790154394811e2	3.80219332735279522e2	-1.30413161107739850e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89201698893646819e0	2.63299603405126259e0
RIGHT	16	24817383	5.43264516558090826e-1	-2.24487866001064695e0	9.39105386980339887e1	4.32844032498110209e0	3.78879228049787173e2	3.78909553393815088e2	4.32842879820515769e0	3.78980790154393333e2	3.80219332735275941e2	-1.30413161374713149e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89201698893646864e0	2.63299603405076299e0
LEFT	17	25084322	5.48438495742623378e-1	-2.11775017371047980e0	9.21126693046854967e1	3.94219582037158034e0	3.81611558364117400e2	3.81642102402786350e2	3.94218618378266106e0	3.81707693311793946e2	3.82938988906141333e2	-5.92663026986420965e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89080037490243802e0	2.60191994524367942e0
GROUP	17	25084323	5.48438495742623489e-1	-2.11775017285313316e0	9.21126693055348085e1	3.94219581882816783e0	3.81611558364117627e2	3.81642102402786577e2	3.94218618364676487e0	3.81707693311792127e2	3.82938988906137013e2	-5.92663030561377899e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89080037490243758e0	2.60191994524285564e0
GROUP	17	25084324	5.48438495742623489e-1	-2.11775017398476573e0	9.21126693044031839e1	3.94219582217687048e0	3.81611558364117627e2	3.81642102402786577e2	3.94218618357910788e0	3.81707693311791331e2	3.82938988906134966e2	-5.92663032321791291e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89080037490243713e0	2.60191994524244485e0
GROUP	17	25084325	5.48438495742623489e-1	-2.11775017318392456e0	9.21126693052040224e1	3.94219582045690231e0	3.81611558364117457e2	3.81642102402786406e2	3.94218618349269034e0	3.81707693311790422e2	3.82938988906132295e2	-5.92663034573690045e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89080037490243580e0	2.60191994524191994e0
RIGHT	17	25084326	5.48438495742623600e-1	-2.11775017304757940e0	9.21126693053363539e1	3.94219581849796441e0	3.81611558364117570e2	3.81642102402786520e2	3.94218618331985571e0	3.81707693311788717e2	3.82938988906126497e2	-5.92663039504528193e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89080037490243358e0	2.60191994524087011e0
LEFT	18	25229530	5.51583193679073824e-1	9.44361590720713764e1	-9.45163389292460465e-1	-4.25063320961676538e0	3.79275979557737060e2	3.79306336657599218e2	4.25062157671176610e0	3.79376442275411421e2	3.80613549948879154e2	-1.19670397596710321e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89283397555401978e0	2.60731941638823006e0
GROUP	18	25229531	5.51583193679073935e-1	9.44361590716902697e1	-9.45163389681567878e-1	-4.25063320947905154e0	3.79275979557737230e2	3.79306336657599388e2	4.25062157660091522e0	3.79376442275410056e2	3.80613549948875573e2	-1.19670397866166019e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89283397555401933e0	2.60731941638772202e0
GROUP	18	25229532	5.51583193679073935e-1	9.44361590762587610e1	-9.45163385113076515e-1	-4.25063322769164742e0	3.79275979557737230e2	3.79306336657599388e2	4.25062157654123585e0	3.79376442275409204e2	3.80613549948873697e2	-1.19670397996044410e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	2.89283397555401889e0	2.60731941638744846e0
