 time                     v(pwm_input)             v(xdriver.pwm_state)     v(xdriver.inm_state)     v(xdriver.aux_state)     v(xdriver.driver_req)    v(xdriver.drv_delay)     v(driver_out)            v(gate)                 
 1.89800000000000108e-02  8.32154065165466306e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912783546355157e-19  2.62889144819381082e-19  2.62652757549640385e-19 
 1.94800000000000112e-02  8.54075932003334204e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905846151717119e-19  2.62876963912192092e-19  2.62588141516941481e-19 
 1.99800000000000116e-02  8.75997798841201963e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912776270730558e-19  2.62889131308195395e-19  2.62652681682843525e-19 
 2.04800000000000121e-02  8.97919665679070000e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905853418929786e-19  2.62876977407644521e-19  2.62588217294792107e-19 
 2.09800000000000125e-02  9.19841532516937899e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912769011920098e-19  2.62889117828457832e-19  2.62652605993834941e-19 
 2.14800000000000130e-02  9.41763399354805936e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905860669347910e-19  2.62876990871685658e-19  2.62588292895062844e-19 
 2.19800000000000134e-02  9.63685266192673695e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912761769884487e-19  2.62889104380094824e-19  2.62652530482198148e-19 
 2.24800000000000139e-02  9.85607133030541732e-02  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905867903010781e-19  2.62877004304388882e-19  2.62588368318169644e-19 
 2.29800000000000143e-02  1.00752899986840963e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912754544584485e-19  2.62889090963032944e-19  2.62652455147517532e-19 
 2.34800000000000147e-02  1.02945086670627753e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905875119957736e-19  2.62877017705827762e-19  2.62588443564527738e-19 
 2.39800000000000152e-02  1.05137273354414557e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912747335980900e-19  2.62889077577198863e-19  2.62652379989378441e-19 
 2.44800000000000156e-02  1.07329460038201333e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905882320227678e-19  2.62877031076075244e-19  2.62588518634551154e-19 
 2.49800000000000161e-02  1.09521646721988136e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912740144034779e-19  2.62889064222519587e-19  2.62652305007367375e-19 
 2.54800000000000165e-02  1.11713833405774926e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905889503859752e-19  2.62877044415204610e-19  2.62588593528653098e-19 
 2.59800000000000170e-02  1.13906020089561730e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912732968707123e-19  2.62889050898922076e-19  2.62652230201071514e-19 
 2.64800000000000174e-02  1.16098206773348506e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905896670892813e-19  2.62877057723288514e-19  2.62588668247245769e-19 
 2.69800000000000179e-02  1.18290393457135296e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912725809958931e-19  2.62889037606333530e-19  2.62652155570079189e-19 
 2.74800000000000183e-02  1.20482580140922099e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905903821365669e-19  2.62877071000399758e-19  2.62588742790740353e-19 
 2.79800000000000187e-02  1.22674766824708889e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912718667751539e-19  2.62889024344681389e-19  2.62652081113979647e-19 
 2.84800000000000192e-02  1.24866953508495693e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905910955317225e-19  2.62877084246610852e-19  2.62588817159547216e-19 
 2.89800000000000196e-02  1.27059140192282483e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912711542046335e-19  2.62889011113893335e-19  2.62652006832363243e-19 
 2.94800000000000201e-02  1.29251326876069272e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905918072785950e-19  2.62877097461994115e-19  2.62588891354075572e-19 
 2.99800000000000205e-02  1.31443513559856062e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912704432804460e-19  2.62888997913896904e-19  2.62651932724820958e-19 
 3.04800000000000210e-02  1.33635700243642852e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905925173810410e-19  2.62877110646621624e-19  2.62588965374733668e-19 
 3.09800000000000214e-02  1.35827886927429642e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912697339987687e-19  2.62888984744620164e-19  2.62651858790945024e-19 
 3.14800000000000219e-02  1.38020073611216432e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905932258429126e-19  2.62877123800565507e-19  2.62589039221929080e-19 
 3.19800000000000223e-02  1.40212260295003222e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912690263557448e-19  2.62888971605991179e-19  2.62651785030328637e-19 
 3.24800000000000227e-02  1.42404446978790039e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905939326680470e-19  2.62877136923897552e-19  2.62589112896068083e-19 
 3.29800000000000232e-02  1.44596633662576829e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912683203475417e-19  2.62888958497938163e-19  2.62651711442565618e-19 
 3.34800000000000236e-02  1.46788820346363619e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905946378602769e-19  2.62877150016689452e-19  2.62589186397556229e-19 
 3.39800000000000241e-02  1.48981007030150409e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912676159703365e-19  2.62888945420389517e-19  2.62651638027251137e-19 
 3.44800000000000245e-02  1.51173193713937171e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905953414234060e-19  2.62877163079012610e-19  2.62589259726798013e-19 
 3.49800000000000250e-02  1.53365380397723988e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912669132203206e-19  2.62888932373273887e-19  2.62651564783981133e-19 
 3.54800000000000254e-02  1.55557567081510778e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905960433612621e-19  2.62877176110938479e-19  2.62589332884197059e-19 
 3.59800000000000259e-02  1.57749753765297568e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912662120936758e-19  2.62888919356520012e-19  2.62651491712352461e-19 
 3.64800000000000263e-02  1.59941940449084358e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905967436776392e-19  2.62877189112538173e-19  2.62589405870155938e-19 
 3.69800000000000267e-02  1.62134127132871148e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912655125866178e-19  2.62888906370056779e-19  2.62651418811962940e-19 
 3.74800000000000272e-02  1.64326313816657965e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905974423763411e-19  2.62877202083882760e-19  2.62589478685076444e-19 
 3.79800000000000276e-02  1.66518500500444755e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912648146953475e-19  2.62888893413813313e-19  2.62651346082411397e-19 
 3.84800000000000281e-02  1.68710687184231545e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905981394611282e-19  2.62877215025042921e-19  2.62589551329359172e-19 
 3.89800000000000285e-02  1.70902873868018335e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912641184160855e-19  2.62888880487718690e-19  2.62651273523297383e-19 
 3.94800000000000290e-02  1.73095060551805097e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905988349357945e-19  2.62877227936089386e-19  2.62589623803403993e-19 
 3.99800000000000294e-02  1.75287247235591914e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912634237450664e-19  2.62888867591702616e-19  2.62651201134221847e-19 
 4.04800000000000298e-02  1.77479433919378704e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62905995288041052e-19  2.62877240817092789e-19  2.62589696107609960e-19 
 4.09800000000000303e-02  1.79671620603165494e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912627306785396e-19  2.62888854725694553e-19  2.62651128914786264e-19 
 4.14800000000000307e-02  1.81863807286952284e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62906002210698063e-19  2.62877253668123232e-19  2.62589768242374729e-19 
 4.19800000000000312e-02  1.84055993970739101e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912620392127254e-19  2.62888841889624155e-19  2.62651056864593027e-19 
 4.24800000000000316e-02  1.86248180654525891e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62906009117366581e-19  2.62877266489251013e-19  2.62589840208095426e-19 
 4.29800000000000321e-02  1.88440367338312681e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62912613493438971e-19  2.62888829083421417e-19  2.62650984983245780e-19 
 4.34800000000000325e-02  1.90632554022099471e-01  9.99900009999000154e-05  9.99900009999000154e-05  9.99990000099998944e-01  2.62935575072133383e-19  2.62906016008083922e-19  2.62877279280546139e-19  2.62589912005168168e-19 
