role	group_id	source_row	time	v(acsrc)	v(acn)	i(Vac)	v(load)	v(vb)	i(Lboost)	v(vd)	v(sw)	v(gate)	v(q)	v(en)	v(fault)	v(vcomp)	v(icomp)
GROUP	13	24056575	5.26480013643415234e-1	-3.10936248471807231e0	9.57263288131866688e1	6.97417577942644584e0	3.73581675546473889e2	3.73635497940499818e2	6.97416458054746702e0	3.73746041499284274e2	3.75028314189657578e2	-1.40856361158602527e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15629415323886908e0	3.12496658109979908e0
RIGHT	13	24056576	5.26480013643415345e-1	-3.10936248422105121e0	9.57263288136926747e1	6.97417578088771961e0	3.73581675546473718e2	3.73635497940499647e2	6.97416458045275167e0	3.73746041499283251e2	3.75028314189654964e2	-1.40856361340385640e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15629415323886908e0	3.12496658109940029e0
LEFT	14	24333513	5.31894114812044738e-1	-2.93196570751385011e0	9.34565731557862875e1	6.42925088468251715e0	3.78084204912235350e2	3.78138675991476589e2	6.42924176070832765e0	3.78241284727946265e2	3.79515162244212036e2	-1.23410033270488323e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15461698508930866e0	3.09609777566957201e0
GROUP	14	24333514	5.31894114812044849e-1	-2.93196570815415880e0	9.34565731551369083e1	6.42925088695960767e0	3.78084204912235577e2	3.78138675991476816e2	6.42924176056103036e0	3.78241284727944276e2	3.79515162244207886e2	-1.23410033568165380e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15461698508930910e0	3.09609777566861455e0
GROUP	14	24333515	5.31894114812044849e-1	-2.93196570933513545e0	9.34565731539559295e1	6.42925088740219053e0	3.78084204912235634e2	3.78138675991476873e2	6.42924176049394891e0	3.78241284727943480e2	3.79515162244206067e2	-1.23410033697868842e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15461698508930910e0	3.09609777566817757e0
GROUP	14	24333516	5.31894114812044849e-1	-2.93196570738560203e0	9.34565731559054598e1	6.42925088577192128e0	3.78084204912235634e2	3.78138675991476873e2	6.42924176040739592e0	3.78241284727942514e2	3.79515162244203736e2	-1.23410033858278654e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15461698508930821e0	3.09609777566761313e0
RIGHT	14	24333517	5.31894114812044960e-1	-2.93196570849649385e0	9.34565731547900214e1	6.42925088549941393e0	3.78084204912235748e2	3.78138675991476987e2	6.42924176023429172e0	3.78241284727940467e2	3.79515162244198905e2	-1.23410034220281562e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15461698508930599e0	3.09609777566648514e0
LEFT	15	24334715	5.31917335607291597e-1	-2.89039918648506244e0	9.20949889113161362e1	6.30168612280442630e0	3.78064910032881528e2	3.78119378332284612e2	6.30167688700018047e0	3.78220104932332333e2	3.79491981108539107e2	-7.39342524738178233e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15448431195565782e0	3.05817217168336875e0
GROUP	15	24334716	5.31917335607291708e-1	-2.89039918517309946e0	9.20949889126189873e1	6.30168612535175043e0	3.78064910032881642e2	3.78119378332284725e2	6.30167688687462579e0	3.78220104932330798e2	3.79491981108535413e2	-7.39342527588115028e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15448431195565737e0	3.05817217168255651e0
GROUP	15	24334717	5.31917335607291708e-1	-2.89039918548978791e0	9.20949889123022984e1	6.30168612606905754e0	3.78064910032881642e2	3.78119378332284725e2	6.30167688680757365e0	3.78220104932330059e2	3.79491981108533366e2	-7.39342529248122575e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15448431195565693e0	3.05817217168212263e0
GROUP	15	24334718	5.31917335607291708e-1	-2.89039918535261631e0	9.20949889124394616e1	6.30168612229709879e0	3.78064910032881585e2	3.78119378332284668e2	6.30167688672249415e0	3.78220104932329036e2	3.79491981108530581e2	-7.39342531476614759e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15448431195565604e0	3.05817217168157285e0
RIGHT	15	24334719	5.31917335607291819e-1	-2.89039918601422174e0	9.20949889117732852e1	6.30168612400944994e0	3.78064910032881585e2	3.78119378332284668e2	6.30167688655233338e0	3.78220104932326763e2	3.79491981108525010e2	-7.39342535960679704e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15448431195565471e0	3.05817217168047240e0
LEFT	16	24335131	5.31925067098099502e-1	-2.87738253374311004e0	9.16391982598112520e1	6.26174886395511976e0	3.78058342535084080e2	3.78112809888299239e2	6.26173958964762889e0	3.78212934157887332e2	3.79484180743345803e2	-2.16144561636265255e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15444056492248537e0	3.04461723610549706e0
GROUP	16	24335132	5.31925067098099613e-1	-2.87738253463533944e0	9.16391982589098859e1	6.26174886393829411e0	3.78058342535084421e2	3.78112809888299580e2	6.26173958947730114e0	3.78212934157884888e2	3.79484180743340914e2	-2.16144565956763860e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15444056492248404e0	3.04461723610440194e0
GROUP	16	24335133	5.31925067098099613e-1	-2.87738253272994138e0	9.16391982608152915e1	6.26174886568014699e0	3.78058342535084535e2	3.78112809888299694e2	6.26173958939259734e0	3.78212934157883694e2	3.79484180743338584e2	-2.16144567961998277e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15444056492248404e0	3.04461723610385748e0
RIGHT	16	24335134	5.31925067098099724e-1	-2.87738253353567375e0	9.16391982600049744e1	6.26174886267784814e0	3.78058342535084591e2	3.78112809888299751e2	6.26173958928915919e0	3.78212934157882444e2	3.79484180743335855e2	-2.16144570419955202e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15444056492248404e0	3.04461723610319179e0
LEFT	17	24464429	5.34759928273462748e-1	9.46146620008333912e1	-1.01198780355881013e0	-6.70708613137006537e0	3.74154355797145115e2	3.74208260697953676e2	6.70707456955333559e0	3.74314874066802304e2	3.75593061844498664e2	-1.84421812718850894e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15797183120954550e0	3.02980319198292491e0
GROUP	17	24464430	5.34759928273462859e-1	9.46146620025636906e1	-1.01198780183763404e0	-6.70708611307767200e0	3.74154355797145229e2	3.74208260697953790e2	6.70707456940836622e0	3.74314874066800542e2	3.75593061844494343e2	-1.84421816611709436e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15797183120954639e0	3.02980319198236225e0
GROUP	17	24464431	5.34759928273462859e-1	9.46146620037602730e1	-1.01198780064105165e0	-6.70708609485833307e0	3.74154355797145286e2	3.74208260697953847e2	6.70707456932663870e0	3.74314874066799462e2	3.75593061844492070e2	-1.84421818664845641e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15797183120954683e0	3.02980319198204384e0
RIGHT	17	24464432	5.34759928273462970e-1	9.46146620032924659e1	-1.01198780111342046e0	-6.70708612471016696e0	3.74154355797145286e2	3.74208260697953847e2	6.70707456922801448e0	3.74314874066798041e2	3.75593061844489341e2	-1.84421821143586532e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15797183120954683e0	3.02980319198165970e0
LEFT	18	24465226	5.34775424811962496e-1	9.55471704121842151e1	-1.01445983207901236e0	-6.80311142665895829e0	3.74142205657056991e2	3.74196108807379176e2	6.80309996564376362e0	3.74304132657392870e2	3.75583795441521204e2	-3.57582333451544991e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15808601981981818e0	3.06470219536826294e0
GROUP	18	24465227	5.34775424811962607e-1	9.55471704130749941e1	-1.01445983119276661e0	-6.80311143455717104e0	3.74142205657057161e2	3.74196108807379346e2	6.80309996548564566e0	3.74304132657390653e2	3.75583795441516827e2	-3.57582337145952035e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15808601981981907e0	3.06470219536762611e0
GROUP	18	24465228	5.34775424811962607e-1	9.55471704136230500e1	-1.01445983064471079e0	-6.80311137201161831e0	3.74142205657057275e2	3.74196108807379460e2	6.80309996540173856e0	3.74304132657389516e2	3.75583795441514496e2	-3.57582339110458312e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15808601981981951e0	3.06470219536728727e0
RIGHT	18	24465229	5.34775424811962719e-1	9.55471704112650428e1	-1.01445983301179865e0	-6.80311136452247567e0	3.74142205657057389e2	3.74196108807379574e2	6.80309996529387373e0	3.74304132657388323e2	3.75583795441511597e2	-3.57582341556460723e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15808601981981996e0	3.06470219536685118e0
LEFT	19	24465630	5.34783178415152549e-1	9.60125162161480574e1	-1.01569107474480802e0	-6.85105156282933869e0	3.74136239777360061e2	3.74190142068170246e2	6.85104017204850013e0	3.74298878272835964e2	3.75579274734052092e2	-6.37447673970182029e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15814333179830342e0	3.08173669321181709e0
GROUP	19	24465631	5.34783178415152660e-1	9.60125162152464640e1	-1.01569107565545380e0	-6.85105155826587442e0	3.74136239777360288e2	3.74190142068170474e2	6.85104017187825143e0	3.74298878272834031e2	3.75579274734047260e2	-6.37447677884176520e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15814333179830387e0	3.08173669321112031e0
GROUP	19	24465632	5.34783178415152660e-1	9.60125162111664707e1	-1.01569107973544703e0	-6.85105162603239570e0	3.74136239777360402e2	3.74190142068170587e2	6.85104017179189384e0	3.74298878272832837e2	3.75579274734044816e2	-6.37447679839055125e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15814333179830387e0	3.08173669321076593e0
RIGHT	19	24465633	5.34783178415152771e-1	9.60125162168845634e1	-1.01569107402188763e0	-6.85105154761133672e0	3.74136239777360572e2	3.74190142068170758e2	6.85104017167655943e0	3.74298878272831132e2	3.75579274734041576e2	-6.37447682420228959e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15814333179830342e0	3.08173669321029120e0
LEFT	20	24466036	5.34790949175256936e-1	9.64787112435282381e1	-1.01627373952382527e0	-6.87376429482973439e0	3.74130374804044436e2	3.74184276249880384e2	6.87375292697711249e0	3.74293374824477780e2	3.75574118261769627e2	-1.45445074411483557e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15820088738551030e0	3.09841196041771649e0
GROUP	20	24466037	5.34790949175257047e-1	9.64787112457896114e1	-1.01627373727150427e0	-6.87376426727635614e0	3.74130374804044777e2	3.74184276249880725e2	6.87375292679240246e0	3.74293374824475336e2	3.75574118261764397e2	-1.45445074778272320e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15820088738551075e0	3.09841196041692291e0
GROUP	20	24466038	5.34790949175257047e-1	9.64787112472092332e1	-1.01627373585188252e0	-6.87376426012792763e0	3.74130374804044834e2	3.74184276249880782e2	6.87375292671469129e0	3.74293374824474199e2	3.75574118261762180e2	-1.45445074929151656e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15820088738551119e0	3.09841196041658939e0
RIGHT	20	24466039	5.34790949175257158e-1	9.64787112419378445e1	-1.01627374112779023e0	-6.87376431387966669e0	3.74130374804044891e2	3.74184276249880838e2	6.87375292661100801e0	3.74293374824472778e2	3.75574118261759281e2	-1.45445075132434905e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15820088738551163e0	3.09841196041614486e0
LEFT	21	24745592	5.40251506949714466e-1	9.39343272103158000e1	-1.00028622131095801e0	-6.25681332895584585e0	3.78594735570743751e2	3.78649280202795694e2	6.25680408526103093e0	3.78749353764477632e2	3.80020522443086918e2	-7.17212327398500228e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15633263525878549e0	3.05423610044205729e0
GROUP	21	24745593	5.40251506949714577e-1	9.39343272117735779e1	-1.00028621984404253e0	-6.25681336527068055e0	3.78594735570743921e2	3.78649280202795865e2	6.25680408511594521e0	3.78749353764475643e2	3.80020522443082712e2	-7.17212330724987161e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15633263525878460e0	3.05423610044108962e0
GROUP	21	24745594	5.40251506949714577e-1	9.39343272126203601e1	-1.00028621899726033e0	-6.25681339575418427e0	3.78594735570743978e2	3.78649280202795921e2	6.25680408505023422e0	3.78749353764474847e2	3.80020522443080836e2	-7.17212332223476451e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15633263525878371e0	3.05423610044065130e0
GROUP	21	24745595	5.40251506949714577e-1	9.39343272113291476e1	-1.00028622028847280e0	-6.25681329851055512e0	3.78594735570743921e2	3.78649280202795865e2	6.25680408496485274e0	3.78749353764473994e2	3.80020522443078562e2	-7.17212333976684389e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15633263525878194e0	3.05423610044008109e0
RIGHT	21	24745596	5.40251506949714688e-1	9.39343272092128956e1	-1.00028622240472487e0	-6.25681336960082657e0	3.78594735570743921e2	3.78649280202795865e2	6.25680408479408712e0	3.78749353764472346e2	3.80020522443073617e2	-7.17212338022252658e-6	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15633263525877972e0	3.05423610043894067e0
LEFT	22	25154633	5.48562453534305661e-1	-2.92843158648822488e0	9.33593163633996426e1	6.41840306148168338e0	3.79041670075371428e2	3.79096279097854108e2	6.41839389464743171e0	3.79198744312574945e2	3.80472452202231182e2	-1.04434934186395409e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15875860108237561e0	3.09049527596742246e0
GROUP	22	25154634	5.48562453534305772e-1	-2.92843158581329632e0	9.33593163640700254e1	6.41840306134105276e0	3.79041670075371542e2	3.79096279097854222e2	6.41839389448576458e0	3.79198744312572899e2	3.80472452202226521e2	-1.04434934538228670e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15875860108237605e0	3.09049527596636686e0
GROUP	22	25154635	5.48562453534305772e-1	-2.92843158667407755e0	9.33593163632092455e1	6.41840306109685343e0	3.79041670075371655e2	3.79096279097854335e2	6.41839389440072683e0	3.79198744312571705e2	3.80472452202224133e2	-1.04434934712912631e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15875860108237649e0	3.09049527596581086e0
RIGHT	22	25154636	5.48562453534305883e-1	-2.92843158587323993e0	9.33593163640009891e1	6.41840306145195427e0	3.79041670075371769e2	3.79096279097854449e2	6.41839389429004115e0	3.79198744312570227e2	3.80472452202221007e2	-1.04434934925318068e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.15875860108237516e0	3.09049527596508611e0
LEFT	23	25564557	5.56896627892072393e-1	9.52323008288780954e1	-1.00473600469150881e0	-6.42718617031377271e0	3.79480191186681509e2	3.79534863387466544e2	6.42717699388844377e0	3.79637473756834197e2	3.80911318995974170e2	-1.11723699820658794e-5	5.00000000000000000e0	4.99999999999999467e0	0.00000000000000000e0	3.16169614920419084e0	3.09656561864504765e0
