runner_wall_s	case	tracked_wall_s	sim_s	percent	sim_per_wall	callbacks
5.007	LL09	wall_s	sim_s	percent	recent_sim_s_per_wall_s	callbacks	first_invalid	duplicate_count	backwards_count
1417.614	LL09	1416.912777	4.98191656474749056e-1	76.644870	3.012935586438e-4	22672328	false	0	0
1427.629	LL09	1426.961549	5.01431165198340301e-1	77.143256	3.223785475583e-4	22822346	true	1	0
1437.644	LL09	1436.985463	5.04468934707885230e-1	77.610605	3.030522469637e-4	22977419	true	3	0
1447.657	LL09	1447.004533	5.07487376646923893e-1	78.074981	3.012696538446e-4	23130401	true	5	0
1457.671	LL09	1457.078804	5.10734452217964208e-1	78.574531	3.223137076699e-4	23281911	true	7	0
1467.686	LL09	1467.106203	5.13763220613887461e-1	79.040495	3.020492611346e-4	23437165	true	7	0
1477.701	LL09	1477.138458	5.16920839030044488e-1	79.526283	3.147466185290e-4	23589115	true	11	0
1487.715	LL09	1487.179662	5.20033772777471426e-1	80.005196	3.100159990191e-4	23741884	true	11	0
1497.730	LL09	1497.277914	5.23054522870331717e-1	80.469927	2.991359351567e-4	23897224	true	11	0
1507.745	LL09	1507.327072	5.26308922305483873e-1	80.970603	3.238479662743e-4	24047948	true	15	0
1517.756	LL09	1517.331698	5.29332313143123123e-1	81.435740	3.021992939255e-4	24202543	true	19	0
1527.770	LL09	1527.371699	5.32350581340697127e-1	81.900089	3.006242875544e-4	24355877	true	24	0
1537.787	LL09	1537.408555	5.35540511370918959e-1	82.390848	3.178216329692e-4	24504144	true	28	0
1547.802	LL09	1547.408756	5.38553917625769207e-1	82.854449	3.013345824912e-4	24658617	true	28	0
1557.813	LL09	1557.417165	5.41613532834588129e-1	83.325159	3.057044590769e-4	24808098	true	30	0
1567.828	LL09	1567.420010	5.44726601673341415e-1	83.804093	3.112183124507e-4	24958568	true	30	0
1577.838	LL09	1577.447479	5.47771932983623921e-1	84.272605	3.036989156618e-4	25114355	true	30	0
1587.853	LL09	1587.474700	5.51015901577883160e-1	84.771677	3.235162307113e-4	25265422	true	31	0
1597.868	LL09	1597.505492	5.54021109327505479e-1	85.234017	2.995982420786e-4	25417539	true	31	0
1607.883	LL09	1607.547571	5.57026370763027301e-1	85.696365	2.992668448892e-4	25571035	true	32	0
1617.898	LL09	1617.550692	5.60235433939261229e-1	86.190067	3.208062073516e-4	25719524	true	32	0
1627.914	LL09	1627.585332	5.63272586950920084e-1	86.657321	3.026668732261e-4	25874760	true	32	0
1637.928	LL09	1637.604652	5.66375970422728248e-1	87.134765	3.097399141796e-4	26027843	true	32	0
1647.943	LL09	1647.632298	5.69538602510603731e-1	87.621323	3.153912675552e-4	26178997	true	33	0
1657.960	LL09	1657.644436	5.72525145764935961e-1	88.080792	2.982922744379e-4	26331321	true	33	0
1667.975	LL09	1667.686232	5.75663100987793830e-1	88.563554	3.124894258570e-4	26479205	true	37	0
1677.990	LL09	1677.711181	5.78706327302161316e-1	89.031743	3.035652689668e-4	26631353	true	37	0
1688.005	LL09	1687.722207	5.81703547219693751e-1	89.492853	2.993918897404e-4	26784454	true	37	0
1698.019	LL09	1697.780955	5.84958824388097098e-1	89.993665	3.236264867650e-4	26934973	true	39	0
1708.033	LL09	1707.784807	5.87969670778030307e-1	90.456872	3.009687121056e-4	27088780	true	39	0
1718.049	LL09	1717.803126	5.90998348121400396e-1	90.922823	3.023139166455e-4	27240784	true	39	0
1728.063	LL09	1727.833763	5.94174367112063839e-1	91.411441	3.166318249303e-4	27390169	true	41	0
1738.078	LL09	1737.854928	5.97181194234089108e-1	91.874030	3.000476550696e-4	27544044	true	41	0
1748.090	LL09	1747.867121	6.00114654298488093e-1	92.325331	2.929887823282e-4	27685563	true	44	0
1758.101	LL09	1757.963228	6.03146576493822084e-1	92.791781	3.003060481659e-4	27832987	true	45	0
1768.116	LL09	1767.974115	6.06140714151463644e-1	93.252418	2.990881584457e-4	27986371	true	45	0
1778.129	LL09	1778.008340	6.09379877990077201e-1	93.750750	3.228115505799e-4	28136858	true	49	0
1788.143	LL09	1788.054577	6.12387248187517330e-1	94.213423	2.993529141578e-4	28289443	true	54	0
1798.158	LL09	1798.072877	6.15412022825917115e-1	94.678773	3.019249524991e-4	28443744	true	57	0
1808.173	LL09	1808.112272	6.18644588451352506e-1	95.176091	3.219880824430e-4	28593311	true	60	0
1818.188	LL09	1818.158281	6.21686100345973047e-1	95.644015	3.027582378956e-4	28748824	true	60	0
1828.203	LL09	1828.174974	6.24768792631336889e-1	96.118276	3.077554833523e-4	28900443	true	60	0
1838.219	LL09	1838.179944	6.27909119288837747e-1	96.601403	3.138766716495e-4	29050769	true	60	0
1848.234	LL09	1848.194958	6.30991281813462535e-1	97.075582	3.077541916118e-4	29208653	true	60	0
1863.257	LL09	1858.251292	6.34256858923186284e-1	97.577978	3.247283901186e-4	29360961	true	63	0
1873.272	LL09	1868.263197	6.37277609148488855e-1	98.042709	3.017158034661e-4	29513450	true	66	0
1883.289	LL09	1878.348303	6.40315454772355075e-1	98.510070	3.012209984874e-4	29668987	true	67	0
1893.304	LL09	1888.360894	6.43326855125327501e-1	98.973362	3.007613466856e-4	29807158	true	71	0
1903.316	LL09	1898.412528	6.46061229739562704e-1	99.394035	2.720328571700e-4	29947213	true	71	0
1913.335	LL09	1911.648373	6.50000000000000022e-1	100.000000	3.160051550864e-4	30141001	true	73	0
